Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.46,-35.73
58,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,14.53,-35.98
106,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x163F5994    ,13.50,-37.24
122,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x163F5991    ,12.85,-39.04
138,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x153F5A88    ,13.14,-38.12
155,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x163F59A1    ,12.44,-38.08
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.93,-35.34
58,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,14.95,-34.38
106,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x163F599C    ,13.84,-34.09
122,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x163F598D    ,13.34,-35.85
138,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x153F5A83    ,14.13,-35.59
155,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0x163F5997    ,13.85,-35.29
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0x163F59AF    ,12.52,-34.96
58,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0x163F5999    ,12.10,-36.59
106,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0x0F3F5895    ,11.42,-34.80
122,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0x0F3F588A    ,11.33,-36.50
138,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0x163F5977    ,12.15,-35.60
155,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0x163F597A    ,11.98,-36.16
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,14.11,-33.27
58,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F59A8    ,12.96,-36.74
106,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F5987    ,12.58,-35.03
122,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F597F    ,12.50,-36.77
138,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F5987    ,13.33,-35.67
155,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F5987    ,13.05,-35.75
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,14.53,-37.21
58,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F59AB    ,14.02,-35.69
106,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F597F    ,13.10,-35.37
122,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F5983    ,12.49,-36.64
138,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F5991    ,12.90,-37.91
155,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0x163F5991    ,12.49,-37.72
