BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#TT_H2_3,testmode20_2024_1112_2037.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.45,-35.19,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,14.31,-35.61,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F599A    ,14.25,-36.25,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F5993    ,13.8,-37.72,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A89    ,14.18,-38.05,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A2    ,13.67,-39.07,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CA2    ,16.56,-34.98,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CAB    ,16.43,-35.75,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C66    ,15.21,-35.09,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,15.96,-34.91,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,15.27,-35.84,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C79    ,14.68,-35.7,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DB1    ,19.85,-30.59,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DBB    ,20.21,-27.97,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D9A    ,19.98,-28.94,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9C    ,18.45,-31.22,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9C    ,17.71,-31.63,NA,NA,NA
#TT_H2_3,testmode20_2024_1112_2037.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D98    ,17.65,-32.6,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#TT_H2_3,testmode_8820_1119_apc_1.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.94,-35.99,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,13.48,-36.15,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F599E    ,13.04,-37.26,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F5996    ,12.55,-37.2,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A7D    ,12.39,-39.44,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A4    ,12.4,-39.81,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CA2    ,15.24,-35.62,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CAB    ,15.04,-37.14,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C66    ,14.28,-37.14,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,15.14,-36.83,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,14.4,-36.3,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C79    ,13.71,-35.9,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DAD    ,18.04,-34.27,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DBB    ,18.96,-31.01,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D98    ,18.96,-30.98,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C97    ,17.38,-32.79,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C99    ,16.66,-32.22,NA,NA,NA
#TT_H2_3,testmode_8820_1119_apc_1.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D95    ,16.51,-32.45,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#TT_H2_2,testmode20_2024_1112_2037.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.81,-35.37,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,13.65,-35.55,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F599E    ,13.88,-35.95,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F5995    ,13.44,-36.87,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A89    ,13.96,-38.23,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A4    ,13.30,-38.76,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CA2    ,15.92,-34.85,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CAB    ,15.69,-35.95,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C66    ,14.83,-35.95,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,15.63,-34.71,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,14.97,-36.34,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C79    ,14.25,-36.18,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DB3    ,19.33,-32.51,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DBE    ,19.69,-29.65,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D9C    ,19.89,-28.71,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9C    ,18.18,-31.60,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C9D    ,17.46,-32.24,NA,NA,NA
#TT_H2_2,testmode20_2024_1112_2037.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D97    ,17.31,-33.32,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#TT_H2_2,testmode_8820_1119_apc_1.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.10,-36.18,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,12.67,-36.80,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A3    ,12.51,-36.61,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F599A    ,12.03,-37.24,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A7F    ,11.89,-38.39,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x163F59A6    ,11.82,-39.03,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CA2    ,14.46,-36.72,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CAB    ,14.19,-37.76,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C66    ,13.83,-37.28,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,14.74,-36.47,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C73    ,13.98,-37.98,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C79    ,13.23,-37.60,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DAC    ,17.25,-35.31,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DBF    ,18.44,-32.46,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D99    ,18.71,-31.70,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C98    ,17.07,-33.87,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0B3F6C99    ,16.32,-33.49,NA,NA,NA
#TT_H2_2,testmode_8820_1119_apc_1.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D96    ,16.16,-33.73,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
