Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,5 11,0 0,20000,20,r 403422c8  [0x403422C8] = 0x10FFCB72    ,20.50,-37.38
42,5 11,0 0,20000,21,r 403422c8  [0x403422C8] = 0x10FFCB80    ,21.54,-34.73
42,5 11,0 0,20000,22,r 403422c8  [0x403422C8] = 0x18FFCC72    ,22.62,-31.50
42,5 11,0 0,20000,23,r 403422c8  [0x403422C8] = 0x18FFCC80    ,23.55,-30.03
42,5 11,0 0,20000,24,r 403422c8  [0x403422C8] = 0x18FFCD72    ,25.85,-27.70
42,5 11,0 0,20000,25,r 403422c8  [0x403422C8] = 0x18FFCD80    ,26.43,-26.41
42,5 11,0 0,20000,26,r 403422c8  [0x403422C8] = 0x18FFCE72    ,27.87,-14.74
42,5 11,0 0,20000,27,r 403422c8  [0x403422C8] = 0x18FFCE80    ,27.86,-14.99
42,5 11,0 0,20000,28,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.85,-15.26
42,5 11,0 0,20000,29,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.85,-15.25
58,5 11,0 0,20000,20,r 403422c8  [0x403422C8] = 0x10FFCB72    ,20.58,-38.68
58,5 11,0 0,20000,21,r 403422c8  [0x403422C8] = 0x10FFCB80    ,21.60,-35.90
58,5 11,0 0,20000,22,r 403422c8  [0x403422C8] = 0x18FFCC72    ,22.64,-32.16
58,5 11,0 0,20000,23,r 403422c8  [0x403422C8] = 0x18FFCC80    ,23.57,-30.25
58,5 11,0 0,20000,24,r 403422c8  [0x403422C8] = 0x18FFCD72    ,25.10,-28.97
58,5 11,0 0,20000,25,r 403422c8  [0x403422C8] = 0x18FFCD80    ,25.79,-28.03
58,5 11,0 0,20000,26,r 403422c8  [0x403422C8] = 0x18FFCE72    ,27.91,-17.19
58,5 11,0 0,20000,27,r 403422c8  [0x403422C8] = 0x18FFCE80    ,27.95,-15.98
58,5 11,0 0,20000,28,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.97,-15.06
58,5 11,0 0,20000,29,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.97,-15.03
106,5 11,0 0,20000,20,r 403422c8  [0x403422C8] = 0x10FFCB72    ,19.23,-40.03
106,5 11,0 0,20000,21,r 403422c8  [0x403422C8] = 0x10FFCB80    ,20.24,-38.83
106,5 11,0 0,20000,22,r 403422c8  [0x403422C8] = 0x18FFCC72    ,20.85,-37.52
106,5 11,0 0,20000,23,r 403422c8  [0x403422C8] = 0x18FFCC80    ,21.81,-33.88
106,5 11,0 0,20000,24,r 403422c8  [0x403422C8] = 0x18FFCD72    ,24.10,-29.62
106,5 11,0 0,20000,25,r 403422c8  [0x403422C8] = 0x18FFCD80    ,24.88,-28.99
106,5 11,0 0,20000,26,r 403422c8  [0x403422C8] = 0x18FFCE72    ,27.45,-19.45
106,5 11,0 0,20000,27,r 403422c8  [0x403422C8] = 0x18FFCE80    ,27.54,-17.88
106,5 11,0 0,20000,28,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.58,-16.66
106,5 11,0 0,20000,29,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.59,-16.65
122,5 11,0 0,20000,20,r 403422c8  [0x403422C8] = 0x10FFCB72    ,19.16,-40.31
122,5 11,0 0,20000,21,r 403422c8  [0x403422C8] = 0x10FFCB80    ,20.17,-39.22
122,5 11,0 0,20000,22,r 403422c8  [0x403422C8] = 0x18FFCC72    ,20.81,-37.63
122,5 11,0 0,20000,23,r 403422c8  [0x403422C8] = 0x18FFCC80    ,21.80,-34.05
122,5 11,0 0,20000,24,r 403422c8  [0x403422C8] = 0x18FFCD72    ,24.11,-29.65
122,5 11,0 0,20000,25,r 403422c8  [0x403422C8] = 0x18FFCD80    ,24.89,-29.00
122,5 11,0 0,20000,26,r 403422c8  [0x403422C8] = 0x18FFCE72    ,27.55,-18.29
122,5 11,0 0,20000,27,r 403422c8  [0x403422C8] = 0x18FFCE80    ,27.60,-16.89
122,5 11,0 0,20000,28,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.62,-15.89
122,5 11,0 0,20000,29,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.62,-15.90
138,5 11,0 0,20000,20,r 403422c8  [0x403422C8] = 0x10FFCB72    ,20.37,-38.51
138,5 11,0 0,20000,21,r 403422c8  [0x403422C8] = 0x10FFCB80    ,21.38,-35.32
138,5 11,0 0,20000,22,r 403422c8  [0x403422C8] = 0x18FFCC72    ,22.68,-31.43
138,5 11,0 0,20000,23,r 403422c8  [0x403422C8] = 0x18FFCC80    ,23.59,-30.04
138,5 11,0 0,20000,24,r 403422c8  [0x403422C8] = 0x18FFCD72    ,24.61,-29.33
138,5 11,0 0,20000,25,r 403422c8  [0x403422C8] = 0x18FFCD80    ,25.34,-28.56
138,5 11,0 0,20000,26,r 403422c8  [0x403422C8] = 0x18FFCE72    ,26.79,-24.98
138,5 11,0 0,20000,27,r 403422c8  [0x403422C8] = 0x18FFCE80    ,27.13,-23.17
138,5 11,0 0,20000,28,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.39,-21.32
138,5 11,0 0,20000,29,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.38,-21.28
155,5 11,0 0,20000,20,r 403422c8  [0x403422C8] = 0x10FFCB72    ,19.46,-39.37
155,5 11,0 0,20000,21,r 403422c8  [0x403422C8] = 0x10FFCB80    ,20.47,-36.97
155,5 11,0 0,20000,22,r 403422c8  [0x403422C8] = 0x18FFCC72    ,21.83,-33.19
155,5 11,0 0,20000,23,r 403422c8  [0x403422C8] = 0x18FFCC80    ,22.78,-30.93
155,5 11,0 0,20000,24,r 403422c8  [0x403422C8] = 0x18FFCD72    ,23.88,-29.79
155,5 11,0 0,20000,25,r 403422c8  [0x403422C8] = 0x18FFCD80    ,24.69,-29.23
155,5 11,0 0,20000,26,r 403422c8  [0x403422C8] = 0x18FFCE72    ,26.39,-26.42
155,5 11,0 0,20000,27,r 403422c8  [0x403422C8] = 0x18FFCE80    ,26.83,-24.86
155,5 11,0 0,20000,28,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.16,-23.02
155,5 11,0 0,20000,29,r 403422c8  [0x403422C8] = 0x18FFCE90    ,27.16,-23.04
