Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
42,2 0,0 0,4000,15,r 403422c8  [0x403422C8] = 0x0B3F6CC8    ,15.53,-36.86
42,2 0,0 0,4000,16,r 403422c8  [0x403422C8] = 0x0A3F6D9B    ,16.51,-35.55
42,2 0,0 0,4000,17,r 403422c8  [0x403422C8] = 0x0A3F6DAE    ,17.52,-34.65
42,2 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0A3F6DC3    ,18.51,-32.63
42,2 0,0 0,4000,19,r 403422c8  [0x403422C8] = 0x113F6EAB    ,19.58,-31.58
42,2 0,0 0,4000,20,r 403422c8  [0x403422C8] = 0x113F6EC0    ,20.57,-28.29
42,2 0,0 0,4000,21,r 403422c8  [0x403422C8] = 0x113F6ED7    ,21.47,-24.20
42,2 0,0 0,4000,22,r 403422c8  [0x403422C8] = 0x183F2FA1    ,22.29,-22.56
42,2 0,0 0,4000,23,r 403422c8  [0x403422C8] = 0x183F2FB5    ,23.09,-19.42
42,2 0,0 0,4000,24,r 403422c8  [0x403422C8] = 0x183F2FCB    ,23.77,-16.83
58,2 0,0 0,4000,15,r 403422c8  [0x403422C8] = 0x0B3F6CB8    ,15.47,-37.08
58,2 0,0 0,4000,16,r 403422c8  [0x403422C8] = 0x0A3F6D96    ,16.46,-31.64
58,2 0,0 0,4000,17,r 403422c8  [0x403422C8] = 0x0A3F6DA9    ,17.49,-31.48
58,2 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0A3F6DBD    ,18.45,-30.60
58,2 0,0 0,4000,19,r 403422c8  [0x403422C8] = 0x113F6EAB    ,19.61,-29.80
58,2 0,0 0,4000,20,r 403422c8  [0x403422C8] = 0x113F6EC0    ,20.58,-27.42
58,2 0,0 0,4000,21,r 403422c8  [0x403422C8] = 0x113F6ED7    ,21.47,-23.84
58,2 0,0 0,4000,22,r 403422c8  [0x403422C8] = 0x183F2FA4    ,22.24,-23.18
58,2 0,0 0,4000,23,r 403422c8  [0x403422C8] = 0x183F2FB8    ,23.04,-20.40
58,2 0,0 0,4000,24,r 403422c8  [0x403422C8] = 0x183F2FCF    ,23.75,-17.39
106,2 0,0 0,4000,15,r 403422c8  [0x403422C8] = 0x0B3F6CA1    ,15.30,-36.71
106,2 0,0 0,4000,16,r 403422c8  [0x403422C8] = 0x0B3F6CB5    ,16.35,-36.09
106,2 0,0 0,4000,17,r 403422c8  [0x403422C8] = 0x0B3F6CCB    ,17.37,-35.01
106,2 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0A3F6DB3    ,18.39,-34.24
106,2 0,0 0,4000,19,r 403422c8  [0x403422C8] = 0x0A3F6DC8    ,19.36,-31.09
106,2 0,0 0,4000,20,r 403422c8  [0x403422C8] = 0x113F6EB5    ,20.53,-28.37
106,2 0,0 0,4000,21,r 403422c8  [0x403422C8] = 0x113F6ECB    ,21.41,-23.88
106,2 0,0 0,4000,22,r 403422c8  [0x403422C8] = 0x113F6EE4    ,22.22,-19.95
106,2 0,0 0,4000,23,r 403422c8  [0x403422C8] = 0x183F2FBE    ,22.95,-19.88
106,2 0,0 0,4000,24,r 403422c8  [0x403422C8] = 0x183F2FD5    ,23.63,-16.97
122,2 0,0 0,4000,15,r 403422c8  [0x403422C8] = 0x0B3F6C9B    ,15.72,-35.36
122,2 0,0 0,4000,16,r 403422c8  [0x403422C8] = 0x0B3F6CAE    ,16.75,-35.19
122,2 0,0 0,4000,17,r 403422c8  [0x403422C8] = 0x0B3F6CC4    ,17.81,-34.02
122,2 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0A3F6DAD    ,18.77,-33.44
122,2 0,0 0,4000,19,r 403422c8  [0x403422C8] = 0x0A3F6DC2    ,19.74,-29.65
122,2 0,0 0,4000,20,r 403422c8  [0x403422C8] = 0x113F6EB5    ,20.91,-26.40
122,2 0,0 0,4000,21,r 403422c8  [0x403422C8] = 0x183F2F9F    ,21.61,-24.73
122,2 0,0 0,4000,22,r 403422c8  [0x403422C8] = 0x183F2FB3    ,22.47,-21.59
122,2 0,0 0,4000,23,r 403422c8  [0x403422C8] = 0x183F2FC9    ,23.20,-18.32
122,2 0,0 0,4000,24,r 403422c8  [0x403422C8] = 0x183F2FE1    ,23.83,-15.91
138,2 0,0 0,4000,15,r 403422c8  [0x403422C8] = 0x0B3F6C96    ,15.74,-36.82
138,2 0,0 0,4000,16,r 403422c8  [0x403422C8] = 0x0B3F6CA9    ,16.79,-36.05
138,2 0,0 0,4000,17,r 403422c8  [0x403422C8] = 0x0B3F6CBD    ,17.78,-34.08
138,2 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0A3F6DAB    ,18.82,-33.30
138,2 0,0 0,4000,19,r 403422c8  [0x403422C8] = 0x0A3F6DC0    ,19.80,-29.09
138,2 0,0 0,4000,20,r 403422c8  [0x403422C8] = 0x113F6EB5    ,20.89,-26.16
138,2 0,0 0,4000,21,r 403422c8  [0x403422C8] = 0x183F2FA1    ,21.57,-24.74
138,2 0,0 0,4000,22,r 403422c8  [0x403422C8] = 0x183F2FB5    ,22.41,-21.55
138,2 0,0 0,4000,23,r 403422c8  [0x403422C8] = 0x183F2FCB    ,23.14,-18.21
138,2 0,0 0,4000,24,r 403422c8  [0x403422C8] = 0x183F2FE4    ,23.77,-15.78
155,2 0,0 0,4000,15,r 403422c8  [0x403422C8] = 0x0B3F6C9D    ,16.07,-38.08
155,2 0,0 0,4000,16,r 403422c8  [0x403422C8] = 0x0B3F6CB0    ,17.07,-36.49
155,2 0,0 0,4000,17,r 403422c8  [0x403422C8] = 0x0A3F6DA1    ,18.14,-35.70
155,2 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x0A3F6DB5    ,19.15,-31.66
155,2 0,0 0,4000,19,r 403422c8  [0x403422C8] = 0x113F6EAB    ,20.22,-28.37
155,2 0,0 0,4000,20,r 403422c8  [0x403422C8] = 0x183F2F97    ,20.90,-26.23
155,2 0,0 0,4000,21,r 403422c8  [0x403422C8] = 0x183F2FA9    ,21.75,-23.55
155,2 0,0 0,4000,22,r 403422c8  [0x403422C8] = 0x183F2FBE    ,22.55,-20.21
155,2 0,0 0,4000,23,r 403422c8  [0x403422C8] = 0x183F2FD5    ,23.24,-17.16
155,2 0,0 0,4000,24,r 403422c8  [0x403422C8] = 0x183F2FD5    ,23.23,-17.15
