Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,0 3,0 0,200,10,r 403422c8  [0x403422C8] = 0x00FFD772    ,9.18,3.19
7,0 3,0 0,200,11,r 403422c8  [0x403422C8] = 0x00FFD780    ,10.21,3.55
7,0 3,0 0,200,12,r 403422c8  [0x403422C8] = 0x00FFD872    ,10.95,3.24
7,0 3,0 0,200,13,r 403422c8  [0x403422C8] = 0x00FFD880    ,11.99,3.65
7,0 3,0 0,200,14,r 403422c8  [0x403422C8] = 0x00FFD972    ,13.26,2.82
7,0 3,0 0,200,15,r 403422c8  [0x403422C8] = 0x00FFD980    ,14.28,3.34
7,0 3,0 0,200,16,r 403422c8  [0x403422C8] = 0x00FFDA72    ,15.70,2.63
7,0 3,0 0,200,17,r 403422c8  [0x403422C8] = 0x00FFDA80    ,16.72,3.62
7,0 3,0 0,200,18,r 403422c8  [0x403422C8] = 0x00FFDB72    ,17.57,3.77
7,0 3,0 0,200,19,r 403422c8  [0x403422C8] = 0x00FFDB80    ,18.59,4.15
7,0 3,0 0,200,20,r 403422c8  [0x403422C8] = 0x00FFDC72    ,20.15,4.91
7,0 3,0 0,200,21,r 403422c8  [0x403422C8] = 0x00FFDC80    ,21.04,5.69
7,0 3,0 0,200,22,r 403422c8  [0x403422C8] = 0x00FFDD72    ,22.42,6.57
7,0 3,0 0,200,23,r 403422c8  [0x403422C8] = 0x00FFDD80    ,23.06,6.80
7,0 3,0 0,200,24,r 403422c8  [0x403422C8] = 0x00FFDDA0    ,24.02,7.80
7,0 3,0 0,200,25,r 403422c8  [0x403422C8] = 0x00FFDE60    ,25.10,9.96
7,0 3,0 0,200,26,r 403422c8  [0x403422C8] = 0x00FFDF80    ,26.19,12.55
7,0 3,0 0,200,27,r 403422c8  [0x403422C8] = 0x00FFDFD0    ,26.39,13.50
7,0 3,0 0,200,28,r 403422c8  [0x403422C8] = 0x00FFDFD0    ,26.38,13.68
7,0 3,0 0,200,29,r 403422c8  [0x403422C8] = 0x00FFDFD0    ,26.38,13.33
7,0 3,0 0,200,30,r 403422c8  [0x403422C8] = 0x00FFDFD0    ,26.37,13.81
7,0 3,0 0,200,31,r 403422c8  [0x403422C8] = 0x00FFDFCB    ,26.35,13.77
7,2 0,0 0,200,10,r 403422c8  [0x403422C8] = 0x08FFC95B    ,9.44,-28.31
7,2 0,0 0,200,11,r 403422c8  [0x403422C8] = 0x08FFC966    ,10.54,-27.65
7,2 0,0 0,200,12,r 403422c8  [0x403422C8] = 0x08FFC972    ,11.61,-27.17
7,2 0,0 0,200,13,r 403422c8  [0x403422C8] = 0x08FFC980    ,12.74,-26.89
7,2 0,0 0,200,14,r 403422c8  [0x403422C8] = 0x08FFCA72    ,13.67,-26.87
7,2 0,0 0,200,15,r 403422c8  [0x403422C8] = 0x08FFCA80    ,14.79,-27.26
7,2 0,0 0,200,16,r 403422c8  [0x403422C8] = 0x10FFCB72    ,16.14,-31.26
7,2 0,0 0,200,17,r 403422c8  [0x403422C8] = 0x10FFCB80    ,17.12,-29.11
7,2 0,0 0,200,18,r 403422c8  [0x403422C8] = 0x10FFCB90    ,18.08,-26.79
7,2 0,0 0,200,19,r 403422c8  [0x403422C8] = 0x10DF8C6E    ,18.30,-23.53
7,2 0,0 0,200,20,r 403422c8  [0x403422C8] = 0x10D98C80    ,19.39,-19.98
7,2 0,0 0,200,21,r 403422c8  [0x403422C8] = 0x18FFCD74    ,21.01,-18.12
7,2 0,0 0,200,22,r 403422c8  [0x403422C8] = 0x18FFCD8E    ,22.13,-16.37
7,2 0,0 0,200,23,r 403422c8  [0x403422C8] = 0x18FFCDB5    ,23.26,-14.69
7,2 0,0 0,200,24,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.66,-13.61
7,2 0,0 0,200,25,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.67,-13.67
7,2 0,0 0,200,26,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.66,-13.63
7,2 0,0 0,200,27,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.62,-13.61
7,2 0,0 0,200,28,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.63,-13.67
7,2 0,0 0,200,29,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.62,-13.61
7,2 0,0 0,200,30,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.62,-13.59
7,2 0,0 0,200,31,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.61,-13.63
