Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,0 3,0 0,200,10,r 403422c8  [0x403422C8] = 0xC0FFD574    ,10.43,2.86
7,0 3,0 0,200,11,r 403422c8  [0x403422C8] = 0xC0FFD582    ,11.54,2.96
7,0 3,0 0,200,12,r 403422c8  [0x403422C8] = 0xC0FFD674    ,12.78,3.10
7,0 3,0 0,200,13,r 403422c8  [0x403422C8] = 0xC0FFD682    ,13.89,2.99
7,0 3,0 0,200,14,r 403422c8  [0x403422C8] = 0xC0FFD774    ,14.87,2.99
7,0 3,0 0,200,15,r 403422c8  [0x403422C8] = 0xC0FFD782    ,15.96,2.82
7,0 3,0 0,200,16,r 403422c8  [0x403422C8] = 0xC0FFD874    ,16.99,3.20
7,0 3,0 0,200,17,r 403422c8  [0x403422C8] = 0xC0FFD882    ,18.04,3.10
7,0 3,0 0,200,18,r 403422c8  [0x403422C8] = 0xC0FFD973    ,18.96,3.08
7,0 3,0 0,200,19,r 403422c8  [0x403422C8] = 0xC0FFD981    ,19.96,3.10
7,0 3,0 0,200,20,r 403422c8  [0x403422C8] = 0xC0FFDA71    ,20.71,3.50
7,0 3,0 0,200,21,r 403422c8  [0x403422C8] = 0xC0FFDA7F    ,21.56,3.82
7,0 3,0 0,200,22,r 403422c8  [0x403422C8] = 0xC0FFDB72    ,22.36,4.50
7,0 3,0 0,200,23,r 403422c8  [0x403422C8] = 0xC0FFDB80    ,23.02,5.58
7,0 3,0 0,200,24,r 403422c8  [0x403422C8] = 0xC0FFDC6D    ,23.81,6.26
7,0 3,0 0,200,25,r 403422c8  [0x403422C8] = 0xC0FFDC7A    ,24.23,6.59
7,0 3,0 0,200,26,r 403422c8  [0x403422C8] = 0xC0FFDD74    ,24.76,7.31
7,0 3,0 0,200,27,r 403422c8  [0x403422C8] = 0xC0FFDD82    ,24.77,7.98
7,0 3,0 0,200,28,r 403422c8  [0x403422C8] = 0xC0FFDE7C    ,25.23,9.06
7,0 3,0 0,200,29,r 403422c8  [0x403422C8] = 0xC0FFDE8B    ,25.42,9.55
7,0 3,0 0,200,30,r 403422c8  [0x403422C8] = 0xC0FFDFAC    ,25.92,12.42
7,0 3,0 0,200,31,r 403422c8  [0x403422C8] = 0xC0FFDFD8    ,25.92,11.23
