Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
1,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F4756    ,9.84,-39.72
1,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F4760    ,10.78,-40.60
1,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCB3F476C    ,11.75,-40.88
1,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F4961    ,12.76,-41.76
1,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F496D    ,13.74,-41.38
1,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F497A    ,14.70,-40.42
1,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xCC3F4989    ,15.71,-39.12
1,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B78    ,16.37,-38.16
1,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B87    ,17.34,-35.98
1,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4B97    ,18.27,-33.79
1,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xD53F4BAA    ,19.25,-31.50
1,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D7A    ,20.18,-30.55
1,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4D89    ,21.07,-29.80
1,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4D99    ,21.89,-29.27
1,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDE3F4DAC    ,22.61,-28.56
1,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F9E    ,22.78,-27.39
7,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F4761    ,9.36,-42.24
7,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F476D    ,10.43,-42.38
7,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,11.36,-40.51
7,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,12.38,-40.75
7,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,13.36,-40.80
7,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,14.36,-40.53
7,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B6B    ,15.10,-41.50
7,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B78    ,16.03,-41.25
7,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B87    ,17.01,-39.84
7,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4B97    ,17.97,-37.36
7,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D6A    ,18.90,-33.48
7,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D77    ,19.85,-31.57
7,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4D85    ,20.73,-30.19
7,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4D96    ,21.56,-29.53
7,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F81    ,22.01,-28.05
7,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F91    ,22.69,-27.83
13,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCC3F4961    ,9.81,-40.47
13,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCC3F496D    ,10.88,-41.02
13,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F497A    ,11.85,-41.28
13,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F4989    ,12.86,-41.30
13,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xD53F4B64    ,13.67,-41.63
13,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xD53F4B70    ,14.69,-42.06
13,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B7E    ,15.67,-41.40
13,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B8D    ,16.64,-39.35
13,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xDE3F4D5E    ,17.59,-36.69
13,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xDE3F4D6A    ,18.53,-35.31
13,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D77    ,19.42,-32.79
13,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D85    ,20.37,-30.64
13,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDF3F4F6E    ,21.01,-28.69
13,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDF3F4F7B    ,21.82,-28.39
13,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F8A    ,22.55,-28.05
13,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F9B    ,23.15,-27.34
