Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
7,2 0,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,18.74,-20.35,,,
7,2 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB75    ,19.4,-19.18,,,
7,2 0,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED6B    ,20.45,-17.4,,,
7,2 0,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED78    ,21.09,-16.28,,,
7,2 0,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED87    ,21.67,-15.29,,,
7,2 0,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED97    ,22.17,-14.49,,setpwr 22,D97
7,2 0,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFEF63    ,24.05,-10.43,,setpwr 24,F63
7,2 0,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEF6F    ,24.25,-9.95,,,
7,2 0,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEF7D    ,24.33,-9.5,,setpwr 23,DC3
7,2 0,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF8C    ,24.48,-9.1,,,
7,2 0,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF9D    ,24.59,-8.77,,,
7,2 0,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEFB0    ,24.66,-8.49,,,
7,2 0,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEFC5    ,25.04,-8.19,,setpwr 25,FC5
7,2 0,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFDD    ,25.05,-8.03,,setpwr 26,FE0
7,2 0,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFDD    ,24.75,-8.11,,,
7,2 0,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFDD    ,24.8,-8.08,,,
