Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,2 0,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB61    ,15.80,-26.12
7,2 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6D    ,16.67,-24.35
7,2 0,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED5B    ,17.67,-23.58
7,2 0,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED66    ,18.50,-21.89
7,2 0,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED73    ,19.27,-20.34
7,2 0,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED81    ,20.02,-18.77
7,2 0,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFED91    ,20.68,-17.48
7,2 0,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEDA2    ,21.31,-16.28
7,2 0,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEDB6    ,21.88,-15.07
7,2 0,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF6A    ,23.33,-11.09
7,2 0,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF77    ,23.61,-10.45
7,2 0,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEF86    ,23.86,-9.93
7,2 0,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEF96    ,24.07,-9.46
7,2 0,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFA8    ,24.26,-9.00
7,2 0,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFA8    ,24.28,-8.99
7,2 0,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFA8    ,24.28,-9.01
7,2 0,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFA8    ,24.27,-8.95
Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,2 0,0 0,2000,18,r 403422c8  [0x403422C8] = 0xD0FFEB60    ,15.87,-25.17
7,2 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6C    ,16.71,-23.72
7,2 0,0 0,2000,20,r 403422c8  [0x403422C8] = 0xD8FFED5B    ,17.78,-23.03
7,2 0,0 0,2000,21,r 403422c8  [0x403422C8] = 0xD8FFED66    ,18.60,-21.38
7,2 0,0 0,2000,22,r 403422c8  [0x403422C8] = 0xD8FFED73    ,19.41,-19.72
7,2 0,0 0,2000,23,r 403422c8  [0x403422C8] = 0xD8FFED81    ,20.14,-18.37
7,2 0,0 0,2000,24,r 403422c8  [0x403422C8] = 0xD8FFED91    ,20.84,-17.08
7,2 0,0 0,2000,25,r 403422c8  [0x403422C8] = 0xD8FFEDA2    ,21.45,-15.89
7,2 0,0 0,2000,26,r 403422c8  [0x403422C8] = 0xD8FFEDB6    ,22.03,-14.80
7,2 0,0 0,2000,27,r 403422c8  [0x403422C8] = 0xD8FFEF6B    ,23.49,-10.81
7,2 0,0 0,2000,28,r 403422c8  [0x403422C8] = 0xD8FFEF78    ,23.76,-10.21
7,2 0,0 0,2000,29,r 403422c8  [0x403422C8] = 0xD8FFEF87    ,24.00,-9.56
7,2 0,0 0,2000,30,r 403422c8  [0x403422C8] = 0xD8FFEF97    ,24.16,-9.25
7,2 0,0 0,2000,31,r 403422c8  [0x403422C8] = 0xD8FFEFAA    ,24.35,-8.83
7,2 0,0 0,2000,32,r 403422c8  [0x403422C8] = 0xD8FFEFAA    ,24.35,-8.75
7,2 0,0 0,2000,33,r 403422c8  [0x403422C8] = 0xD8FFEFAA    ,24.35,-8.74
7,2 0,0 0,2000,34,r 403422c8  [0x403422C8] = 0xD8FFEFAA    ,24.51,-8.82
