Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474B    ,12.68,-38.95
7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4754    ,13.81,-39.31
7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F475E    ,14.82,-39.75
7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476A    ,15.87,-39.94
7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,16.89,-38.39
7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,17.90,-38.20
7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,18.87,-37.24
7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,19.85,-34.89
7,5 11,1 1,4000,16,r 403422c8  [0x403422C8] = 0xD53F4B7C    ,20.59,-35.69
7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B8B    ,21.53,-32.94
7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4B9C    ,22.46,-30.75
7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BAF    ,23.32,-29.87
7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D8E    ,24.17,-29.58
7,5 11,1 1,4000,21,r 403422c8  [0x403422C8] = 0xDE3F4D9F    ,24.94,-28.85
7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DB3    ,25.62,-28.11
7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DC9    ,26.19,-27.20
7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FAE    ,26.10,-26.37
