BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474C    ,11.73,-39.80
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4755    ,12.66,-40.31
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,10,r 40342"c8  [0x403422C8] = 0xCB3F475F    ,13.69,-41.08
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,14.62,-41.54
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,12,r 003422c8  [0x403422C8] = 0xCC3F4961    ,15.62,-40.54
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.58,-39.66
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.55,-37.93
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,18.57,-35.78
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,16,r 403422c8  [0x403422C8] = 0xD53F4B83    ,19.43,-34.70
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B93    ,20.41,-32.07
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4BA5    ,21.31,-30.35
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BB9    ,22.20,-29.61
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D9D    ,23.03,-29.16
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,21,r 403422c8  [0x403422C8] = 0xDE3F4DB0    ,23.77,-28.48
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,22,r 401422c8  [0x403422C8] = 0xDE3F4DC5    ,24.41,-27.65
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,23,r 4422c8  [0x403422C8] = 0xDE3F4DDD    ,24.96,-26.68
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FB5    ,24.49,-26.38
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,8,r 40340c8  [0x403422C8] = 0xCB3F474C    ,11.34,-43.50
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4755    ,12.39,-43.66
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F475F    ,13.38,-43.58
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,14.42,-42.80
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,15.42,-42.34
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.42,-42.06
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.40,-40.67
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,18.38,-37.32
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,16,r 403422c8  [0x403422C8] = 0xD53F4B80    ,19.19,-36.05
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B90    ,20.14,-32.82
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4BA2    ,21.08,-30.49
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BB5    ,21.90,-29.73
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D95    ,22.75,-29.25
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,21,r 40422c8  [0x403422C8] = 0xDE3F4DA8    ,23.51,-28.62
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DBC    ,24.16,-27.87
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DD3    ,24.74,-26.91
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FB3    ,24.77,-26.25
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
