BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,0,r 403422c8  [0x403422C8] = 0xC0FFD066    ,-30.65,-39.83,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,1,r 403422c8  [0x403422C8] = 0xC0FFD066    ,-30.65,-39.83,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,2,r 403422c8  [0x403422C8] = 0xC0FFD066    ,-30.64,-39.78,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,3,r 403422c8  [0x403422C8] = 0xC0FFD072    ,-29.69,-40.01,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,4,r 403422c8  [0x403422C8] = 0xC0FFD080    ,-28.68,-40.12,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,5,r 403422c8  [0x403422C8] = 0xC0FFD172    ,-27.71,-39.94,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,6,r 403422c8  [0x403422C8] = 0xC0FFD180    ,-26.7,-40.13,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,7,r 403422c8  [0x403422C8] = 0xC0FFD272    ,-25.79,-39.8,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,8,r 403422c8  [0x403422C8] = 0xC0FFD280    ,-24.79,-39.92,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,9,r 403422c8  [0x403422C8] = 0xC0FFD372    ,-23.73,-39.56,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xC0FFD380    ,-22.73,-39.34,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xC0FFD472    ,-21.59,-39.2,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xC0FFD480    ,-20.6,-39.04,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xC0FFD572    ,-19.69,-38.7,NA,NA,NA
#OK1,ANT0,lmacfw.bin,42,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xC0FFD580    ,-18.69,-38.31,NA,NA,NA
