BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,0,r 403422c8  [0x403422C8] = 0xC0FFD066    ,-29.11,-40.32,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,2,r 403422c8  [0x403422C8] = 0xC0FFD072    ,-28.14,-40.33,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,4,r 403422c8  [0x403422C8] = 0xC0FFD172    ,-26.21,-40.48,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,6,r 403422c8  [0x403422C8] = 0xC0FFD272    ,-24.45,-40.47,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,8,r 403422c8  [0x403422C8] = 0xC0FFD372    ,-22.64,-40.41,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xC0FFD472    ,-20.7,-39.5,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xC0FFD572    ,-18.47,-39.58,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xC0FFD672    ,-16.84,-39.52,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xC0FFD772    ,-14.75,-39.25,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xC8FFD872    ,-12.9,-38.84,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xD0FFD972    ,-11.41,-38.61,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xD0FFDA72    ,-9.1,-37.61,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xD0FFDB72    ,-7.17,-37.98,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,26,r 403422c8  [0x403422C8] = 0xD8FFDC72    ,-5.26,-37.95,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,28,r 403422c8  [0x403422C8] = 0xD8FFDD72    ,-3.34,-36.79,NA,NA,NA
#OK1,ANT0,testmode_8822_fem_360.bin,155,5 11,1 1,40000,30,r 403422c8  [0x403422C8] = 0xD8FFDD90    ,-1.32,-36.2,NA,NA,NA
