Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg,
7,5 11,1 1,20000,0,-0.08,-40.16,0xC93F434F
7,5 11,1 1,20000,1,0.92,-40.36,0xC93F4359
7,5 11,1 1,20000,2,2.02,-40.27,0xC93F4364
7,5 11,1 1,20000,3,3.08,-40.45,0xC93F4371
7,5 11,1 1,20000,4,4.09,-40.56,0xC93F437F
7,5 11,1 1,20000,5,5.08,-40.57,0xC93F438F
7,5 11,1 1,20000,6,6.02,-40.59,0xC93F439F
7,5 11,1 1,20000,7,7.12,-40.67,0xC93F43B3
7,5 11,1 1,20000,8,7.98,-41.28,0xCA3F4752
7,5 11,1 1,20000,9,9.04,-41.79,0xCA3F475C
7,5 11,1 1,20000,10,10.1,-42.21,0xCA3F4768
7,5 11,1 1,20000,11,11.02,-42.36,0xCA3F4774
7,5 11,1 1,20000,12,12.07,-42.3,0xCA3F4784
7,5 11,1 1,20000,13,13.07,-41.8,0xCA3F4794
7,5 11,1 1,20000,14,13.93,-41.3,0xCA3F47A4
7,5 11,1 1,20000,15,15.15,-37.92,0xCA3F47BC
7,5 11,1 1,20000,16,16.19,-37.56,0xD33F4C53
7,5 11,1 1,20000,17,17.12,-37.48,0xD33F4C5D
7,5 11,1 1,20000,18,18.03,-35.84,0xD33F4C68
7,5 11,1 1,20000,19,18.99,-33.21,0xD33F4C75
7,5 11,1 1,20000,20,19.82,-30.6,0xDC3F4D7F
7,5 11,1 1,20000,21,20.66,-29.78,0xDC3F4D8F
7,5 11,1 1,20000,22,21.49,-29.23,0xDC3F4DA0
7,5 11,1 1,20000,23,22.22,-28.55,0xDC3F4DB4
7,5 7,1 1,20000,0,-0.1,-39.4,0xC93F434F
7,5 7,1 1,20000,1,0.91,-39.86,0xC93F4359
7,5 7,1 1,20000,2,1.97,-40.02,0xC93F4364
7,5 7,1 1,20000,3,3.05,-40.02,0xC93F4371
7,5 7,1 1,20000,4,4.11,-40.11,0xC93F437F
7,5 7,1 1,20000,5,5.1,-40.19,0xC93F438F
7,5 7,1 1,20000,6,6.05,-40.1,0xC93F439F
7,5 7,1 1,20000,7,7.09,-40.07,0xC93F43B3
7,5 7,1 1,20000,8,7.9,-41.28,0xCA3F4752
7,5 7,1 1,20000,9,8.89,-41.54,0xCA3F475C
7,5 7,1 1,20000,10,10.01,-41.62,0xCA3F4768
7,5 7,1 1,20000,11,10.94,-41.74,0xCA3F4774
7,5 7,1 1,20000,12,12.1,-41.75,0xCA3F4784
7,5 7,1 1,20000,13,13.06,-41.41,0xCA3F4794
7,5 7,1 1,20000,14,13.93,-40.65,0xCA3F47A4
7,5 7,1 1,20000,15,15.13,-38.12,0xCA3F47BC
7,5 7,1 1,20000,16,16.18,-37.89,0xD33F4C53
7,5 7,1 1,20000,17,17.11,-37.6,0xD33F4C5D
7,5 7,1 1,20000,18,18.02,-35.83,0xD33F4C68
