Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
7,5 0,1 1,2000,10,10.04,-43.09,0xCA3F4768
7,5 0,1 1,2000,11,10.99,-42.75,0xCA3F4774
7,5 0,1 1,2000,12,12.10,-42.22,0xCA3F4784
7,5 0,1 1,2000,13,13.01,-40.83,0xCA3F4794
7,5 0,1 1,2000,14,13.88,-39.37,0xCA3F47A4
7,5 0,1 1,2000,15,15.03,-35.70,0xCA3F47BC
7,5 0,1 1,2000,16,15.95,-36.47,0xD33F4C53
7,5 0,1 1,2000,17,16.88,-36.15,0xD33F4C5D
7,5 0,1 1,2000,18,17.80,-34.36,0xD33F4C68
7,5 0,1 1,2000,19,18.75,-31.40,0xD33F4C75
7,5 0,1 1,2000,20,19.60,-26.53,0xDC3F4D7F
7,5 0,1 1,2000,21,20.49,-23.50,0xDC3F4D8F
7,5 0,1 1,2000,22,21.26,-20.70,0xDC3F4DA0
7,5 0,1 1,2000,23,22.01,-18.30,0xDC3F4DB4
155,5 11,2 2,20000,10,9.60,-41.42,0xC23F5894
155,5 11,2 2,20000,11,10.67,-41.00,0xC23F58A7
155,5 11,2 2,20000,12,11.67,-39.95,0xC23F58BB
155,5 11,2 2,20000,13,12.89,-39.08,0xD33F5C58
155,5 11,2 2,20000,14,13.88,-39.09,0xD33F5C63
155,5 11,2 2,20000,15,14.86,-38.63,0xD33F5C6F
155,5 11,2 2,20000,16,15.82,-37.63,0xD33F5C7C
155,5 11,2 2,20000,17,16.77,-35.41,0xD33F5C8B
155,5 11,2 2,20000,18,17.21,-34.79,0xD43F5D7C
155,5 11,2 2,20000,19,18.14,-31.80,0xD43F5D8B
155,5 11,2 2,20000,20,19.02,-30.09,0xD43F5D9C
155,5 11,2 2,20000,21,19.82,-29.73,0xD43F5DAF
155,5 11,2 2,20000,22,20.54,-29.30,0xD43F5DC5
155,5 11,2 2,20000,23,20.84,-28.06,0xD83F5F9F
