Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
7,5 11,1 1,20000,10,r 403422c8  [0x403422C8] = 0xCA3F4768    ,10.04,-42.66
7,5 11,1 1,20000,11,r 403422c8  [0x403422C8] = 0xCA3F4774    ,11.00,-42.49
7,5 11,1 1,20000,12,r 403422c8  [0x403422C8] = 0xCA3F4784    ,12.13,-41.84
7,5 11,1 1,20000,13,r 403422c8  [0x403422C8] = 0xCA3F4794    ,13.08,-41.08
7,5 11,1 1,20000,14,r 403422c8  [0x403422C8] = 0xCA3F47A4    ,13.97,-40.38
7,5 11,1 1,20000,15,r 403422c8  [0x403422C8] = 0xCA3F47BC    ,15.13,-37.65
7,5 11,1 1,20000,16,r 403422c8  [0x403422C8] = 0xD33F4C53    ,16.22,-38.87
7,5 11,1 1,20000,17,r 403422c8  [0x403422C8] = 0xD33F4C5D    ,17.16,-37.91
7,5 11,1 1,20000,18,r 403422c8  [0x403422C8] = 0xD33F4C68    ,18.08,-35.38
7,5 11,1 1,20000,19,r 403422c8  [0x403422C8] = 0xD33F4C75    ,19.04,-32.54
7,5 11,1 1,20000,20,r 403422c8  [0x403422C8] = 0xDC3F4D7E    ,19.77,-30.47
7,5 11,1 1,20000,21,r 403422c8  [0x403422C8] = 0xDC3F4D8E    ,20.63,-29.72
7,5 11,1 1,20000,22,r 403422c8  [0x403422C8] = 0xDC3F4D9F    ,21.44,-29.20
7,5 11,1 1,20000,23,r 403422c8  [0x403422C8] = 0xDC3F4DB2    ,22.16,-28.52
7,5 7,1 1,20000,10,r 403422c8  [0x403422C8] = 0xCA3F4768    ,9.97,-42.62
7,5 7,1 1,20000,11,r 403422c8  [0x403422C8] = 0xCA3F4774    ,10.94,-43.11
7,5 7,1 1,20000,12,r 403422c8  [0x403422C8] = 0xCA3F4784    ,12.07,-42.86
7,5 7,1 1,20000,13,r 403422c8  [0x403422C8] = 0xCA3F4794    ,13.02,-41.73
7,5 7,1 1,20000,14,r 403422c8  [0x403422C8] = 0xCA3F47A4    ,13.90,-41.14
7,5 7,1 1,20000,15,r 403422c8  [0x403422C8] = 0xCA3F47BC    ,15.06,-37.92
7,5 7,1 1,20000,16,r 403422c8  [0x403422C8] = 0xD33F4C53    ,16.14,-39.11
7,5 7,1 1,20000,17,r 403422c8  [0x403422C8] = 0xD33F4C5D    ,17.07,-38.10
7,5 7,1 1,20000,18,r 403422c8  [0x403422C8] = 0xD33F4C68    ,17.98,-35.92
7,5 7,1 1,20000,19,r 403422c8  [0x403422C8] = 0xD33F4C75    ,18.94,-32.48
7,5 7,1 1,20000,20,r 403422c8  [0x403422C8] = 0xDC3F4D7E    ,19.75,-28.02
7,5 7,1 1,20000,21,r 403422c8  [0x403422C8] = 0xDC3F4D8E    ,20.62,-24.64
7,5 7,1 1,20000,22,r 403422c8  [0x403422C8] = 0xDC3F4D9F    ,21.42,-21.67
7,5 7,1 1,20000,23,r 403422c8  [0x403422C8] = 0xDC3F4DB2    ,22.13,-19.52
7,5 0,1 1,2000,10,r 403422c8  [0x403422C8] = 0xCA3F4768    ,9.94,-43.04
7,5 0,1 1,2000,11,r 403422c8  [0x403422C8] = 0xCA3F4774    ,10.92,-42.86
7,5 0,1 1,2000,12,r 403422c8  [0x403422C8] = 0xCA3F4784    ,12.04,-42.29
7,5 0,1 1,2000,13,r 403422c8  [0x403422C8] = 0xCA3F4794    ,13.00,-41.43
7,5 0,1 1,2000,14,r 403422c8  [0x403422C8] = 0xCA3F47A4    ,13.88,-40.50
7,5 0,1 1,2000,15,r 403422c8  [0x403422C8] = 0xCA3F47BC    ,15.04,-37.81
7,5 0,1 1,2000,16,r 403422c8  [0x403422C8] = 0xD33F4C53    ,16.11,-38.76
7,5 0,1 1,2000,17,r 403422c8  [0x403422C8] = 0xD33F4C5D    ,17.05,-37.95
7,5 0,1 1,2000,18,r 403422c8  [0x403422C8] = 0xD33F4C68    ,17.97,-35.48
7,5 0,1 1,2000,19,r 403422c8  [0x403422C8] = 0xD33F4C75    ,18.92,-32.13
7,5 0,1 1,2000,20,r 403422c8  [0x403422C8] = 0xDC3F4D7E    ,19.73,-27.67
7,5 0,1 1,2000,21,r 403422c8  [0x403422C8] = 0xDC3F4D8D    ,20.58,-24.40
7,5 0,1 1,2000,22,r 403422c8  [0x403422C8] = 0xDC3F4D9F    ,21.39,-21.37
7,5 0,1 1,2000,23,r 403422c8  [0x403422C8] = 0xDC3F4DB2    ,22.11,-18.62
42,5 11,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F589D    ,7.58,-42.25
42,5 11,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58B0    ,8.59,-41.92
42,5 11,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58C6    ,9.58,-40.81
42,5 11,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,10.79,-38.74
42,5 11,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,11.78,-39.51
42,5 11,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,12.77,-39.68
42,5 11,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,13.71,-39.35
42,5 11,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,14.69,-37.95
42,5 11,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D78    ,15.18,-36.61
42,5 11,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D87    ,16.15,-34.12
42,5 11,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D97    ,17.06,-31.31
42,5 11,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DAA    ,17.96,-29.95
42,5 11,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DBE    ,18.77,-29.57
42,5 11,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5FB4    ,19.00,-28.48
42,5 7,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F589E    ,7.40,-41.59
42,5 7,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58B1    ,8.47,-41.16
42,5 7,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58C7    ,9.47,-40.07
42,5 7,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,10.62,-37.71
42,5 7,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,11.63,-38.68
42,5 7,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,12.62,-39.20
42,5 7,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,13.56,-39.15
42,5 7,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,14.52,-37.97
42,5 7,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D78    ,15.04,-36.44
42,5 7,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D87    ,16.01,-34.19
42,5 7,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D97    ,16.90,-30.24
42,5 7,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DAA    ,17.80,-25.42
42,5 7,2 2,20000,22,r 403422c8  [0x403422C8] = 0xD43F5DBF    ,18.59,-21.43
42,5 7,2 2,20000,23,r 403422c8  [0x403422C8] = 0xD83F5FB4    ,18.85,-18.59
42,5 0,2 2,20000,10,r 403422c8  [0x403422C8] = 0xC23F589E    ,7.39,-41.20
42,5 0,2 2,20000,11,r 403422c8  [0x403422C8] = 0xC23F58B1    ,8.40,-40.71
42,5 0,2 2,20000,12,r 403422c8  [0x403422C8] = 0xC23F58C7    ,9.42,-39.75
42,5 0,2 2,20000,13,r 403422c8  [0x403422C8] = 0xD33F5C58    ,10.54,-37.36
42,5 0,2 2,20000,14,r 403422c8  [0x403422C8] = 0xD33F5C63    ,11.54,-38.02
42,5 0,2 2,20000,15,r 403422c8  [0x403422C8] = 0xD33F5C6F    ,12.51,-38.69
42,5 0,2 2,20000,16,r 403422c8  [0x403422C8] = 0xD33F5C7C    ,13.45,-38.61
42,5 0,2 2,20000,17,r 403422c8  [0x403422C8] = 0xD33F5C8B    ,14.40,-37.65
42,5 0,2 2,20000,18,r 403422c8  [0x403422C8] = 0xD43F5D79    ,14.92,-36.24
42,5 0,2 2,20000,19,r 403422c8  [0x403422C8] = 0xD43F5D87    ,15.88,-34.18
42,5 0,2 2,20000,20,r 403422c8  [0x403422C8] = 0xD43F5D98    ,16.81,-30.05
42,5 0,2 2,20000,21,r 403422c8  [0x403422C8] = 0xD43F5DAA    ,17.64,-25.63
