Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
42,5 11,2 2,20000,0,-1.29,-40.47
42,5 11,2 2,20000,1,-0.50,-40.87
42,5 11,2 2,20000,2,0.67,-41.30
42,5 11,2 2,20000,3,1.60,-41.58
42,5 11,2 2,20000,4,2.52,-41.59
42,5 11,2 2,20000,5,3.57,-41.81
42,5 11,2 2,20000,6,4.50,-41.81
42,5 11,2 2,20000,7,5.91,-41.80
42,5 11,2 2,20000,8,6.92,-42.20
42,5 11,2 2,20000,9,7.92,-42.47
42,5 11,2 2,20000,10,8.87,-42.22
42,5 11,2 2,20000,11,9.84,-41.81
42,5 11,2 2,20000,12,10.85,-40.36
42,5 11,2 2,20000,13,11.89,-38.50
42,5 11,2 2,20000,14,12.89,-39.35
42,5 11,2 2,20000,15,13.86,-39.77
42,5 11,2 2,20000,16,14.80,-39.25
42,5 11,2 2,20000,17,15.78,-37.71
42,5 11,2 2,20000,18,16.67,-35.17
42,5 11,2 2,20000,19,17.69,-33.01
42,5 11,2 2,20000,20,18.60,-30.66
42,5 11,2 2,20000,21,19.49,-29.83
42,5 11,2 2,20000,22,20.28,-29.47
42,5 11,2 2,20000,23,20.45,-28.15
58,5 11,2 2,20000,0,-1.97,-39.03
58,5 11,2 2,20000,1,-1.18,-39.55
58,5 11,2 2,20000,2,0.09,-40.18
58,5 11,2 2,20000,3,1.06,-40.57
58,5 11,2 2,20000,4,1.99,-40.97
58,5 11,2 2,20000,5,3.02,-41.32
58,5 11,2 2,20000,6,3.92,-41.27
58,5 11,2 2,20000,7,5.33,-41.59
58,5 11,2 2,20000,8,6.32,-41.99
58,5 11,2 2,20000,9,7.31,-41.94
58,5 11,2 2,20000,10,8.28,-41.47
58,5 11,2 2,20000,11,9.31,-41.08
58,5 11,2 2,20000,12,10.29,-40.13
58,5 11,2 2,20000,13,11.39,-38.40
58,5 11,2 2,20000,14,12.38,-39.56
58,5 11,2 2,20000,15,13.30,-40.33
58,5 11,2 2,20000,16,14.24,-40.65
58,5 11,2 2,20000,17,15.23,-39.87
58,5 11,2 2,20000,18,16.21,-37.46
58,5 11,2 2,20000,19,17.16,-34.96
58,5 11,2 2,20000,20,18.09,-32.00
58,5 11,2 2,20000,21,18.99,-30.14
58,5 11,2 2,20000,22,19.81,-29.71
58,5 11,2 2,20000,23,20.14,-28.60
106,5 11,2 2,20000,0,-0.96,-38.41
106,5 11,2 2,20000,1,-0.10,-38.96
106,5 11,2 2,20000,2,1.08,-39.78
106,5 11,2 2,20000,3,2.08,-40.47
106,5 11,2 2,20000,4,2.94,-41.21
106,5 11,2 2,20000,5,4.03,-41.56
106,5 11,2 2,20000,6,4.91,-41.69
106,5 11,2 2,20000,7,5.87,-40.46
106,5 11,2 2,20000,8,6.90,-40.37
106,5 11,2 2,20000,9,7.90,-40.29
106,5 11,2 2,20000,10,8.89,-40.22
106,5 11,2 2,20000,11,9.91,-40.20
106,5 11,2 2,20000,12,10.89,-39.95
106,5 11,2 2,20000,13,12.01,-38.61
106,5 11,2 2,20000,14,13.01,-39.67
106,5 11,2 2,20000,15,13.97,-40.68
106,5 11,2 2,20000,16,14.91,-40.95
106,5 11,2 2,20000,17,15.87,-39.94
106,5 11,2 2,20000,18,16.83,-37.18
106,5 11,2 2,20000,19,17.79,-33.66
106,5 11,2 2,20000,20,18.67,-31.07
106,5 11,2 2,20000,21,19.55,-29.96
106,5 11,2 2,20000,22,20.34,-29.62
106,5 11,2 2,20000,23,20.89,-28.17
122,5 11,2 2,20000,0,-0.47,-39.47
122,5 11,2 2,20000,1,0.38,-40.02
122,5 11,2 2,20000,2,1.54,-40.64
122,5 11,2 2,20000,3,2.51,-41.12
122,5 11,2 2,20000,4,3.39,-41.46
122,5 11,2 2,20000,5,4.48,-41.56
122,5 11,2 2,20000,6,5.40,-41.32
122,5 11,2 2,20000,7,6.48,-41.15
122,5 11,2 2,20000,8,7.52,-41.24
122,5 11,2 2,20000,9,8.50,-41.44
122,5 11,2 2,20000,10,9.48,-41.20
122,5 11,2 2,20000,11,10.51,-40.76
122,5 11,2 2,20000,12,11.47,-40.13
122,5 11,2 2,20000,13,12.56,-37.71
122,5 11,2 2,20000,14,13.56,-38.95
122,5 11,2 2,20000,15,14.51,-39.74
122,5 11,2 2,20000,16,15.45,-39.85
