Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
42,5 11,2 2,20000,14,11.82,-39.53,0xD33F5C63
42,5 11,2 2,20000,15,12.77,-39.93,0xD33F5C6F
42,5 11,2 2,20000,16,13.70,-39.33,0xD33F5C7C
42,5 11,2 2,20000,17,14.68,-37.53,0xD33F5C8B
42,5 11,2 2,20000,18,15.12,-36.40,0xD43F5D78
42,5 11,2 2,20000,19,16.10,-34.13,0xD43F5D87
42,5 11,2 2,20000,20,17.01,-31.48,0xD43F5D97
42,5 11,2 2,20000,21,17.87,-30.02,0xD43F5DAA
42,5 11,2 2,20000,22,18.69,-29.63,0xD43F5DBE
42,5 11,2 2,20000,23,18.96,-28.43,0xD83F5FB4
58,5 11,2 2,20000,14,11.54,-39.56,0xD33F5C63
58,5 11,2 2,20000,15,12.49,-40.08,0xD33F5C6F
58,5 11,2 2,20000,16,13.45,-40.20,0xD33F5C7C
58,5 11,2 2,20000,17,14.43,-39.21,0xD33F5C8B
58,5 11,2 2,20000,18,15.04,-37.98,0xD43F5D79
58,5 11,2 2,20000,19,16.04,-34.99,0xD43F5D88
58,5 11,2 2,20000,20,16.95,-31.83,0xD43F5D98
58,5 11,2 2,20000,21,17.86,-30.15,0xD43F5DAB
58,5 11,2 2,20000,22,18.68,-29.73,0xD43F5DC0
58,5 11,2 2,20000,23,19.06,-28.72,0xD83F5FAA
106,5 11,2 2,20000,14,12.30,-39.77,0xD33F5C63
106,5 11,2 2,20000,15,13.29,-40.13,0xD33F5C6F
106,5 11,2 2,20000,16,14.25,-39.90,0xD33F5C7C
106,5 11,2 2,20000,17,15.21,-38.92,0xD33F5C8B
106,5 11,2 2,20000,18,15.84,-37.30,0xD43F5D7C
106,5 11,2 2,20000,19,16.78,-34.26,0xD43F5D8C
106,5 11,2 2,20000,20,17.72,-31.05,0xD43F5D9D
106,5 11,2 2,20000,21,18.58,-29.97,0xD43F5DB0
106,5 11,2 2,20000,22,19.40,-29.61,0xD43F5DC5
106,5 11,2 2,20000,23,19.77,-28.55,0xD83F5F9A
122,5 11,2 2,20000,14,12.71,-39.71,0xD33F5C63
122,5 11,2 2,20000,15,13.72,-39.93,0xD33F5C6F
122,5 11,2 2,20000,16,14.67,-39.57,0xD33F5C7C
122,5 11,2 2,20000,17,15.63,-37.73,0xD33F5C8B
122,5 11,2 2,20000,18,16.20,-36.50,0xD43F5D7C
122,5 11,2 2,20000,19,17.14,-33.29,0xD43F5D8B
122,5 11,2 2,20000,20,18.06,-30.62,0xD43F5D9C
122,5 11,2 2,20000,21,18.90,-29.87,0xD43F5DAF
122,5 11,2 2,20000,22,19.67,-29.56,0xD43F5DC4
122,5 11,2 2,20000,23,20.04,-28.30,0xD83F5F9E
138,5 11,2 2,20000,14,13.04,-39.39,0xD33F5C63
