bits_1,6~3,init_value1,1,"
","
",bits_2,2~0,init_value2,1
Out\Inner,pwr0,pwr1,pwr2,pwr3,pwr4,pwr5,pwr6,pwr7,
pwr0,6.108,8.426,8.707,7.055,5.491,9.37,9.119,5.245,
pwr1,5.508,5.155,6.77,6.358,7.828,7.71,7.731,9.9,
pwr2,8.759,5.425,6.242,5.262,9.714,7.519,5.212,5.017,
pwr3,5.935,6.233,8.678,8.874,6.468,5.339,8.309,9.277,
pwr4,6.226,5.958,9.916,5.701,7.212,7.889,8.788,9.085,
pwr5,6.188,9.189,7.13,5.83,5.853,5.194,7.892,9.68,
pwr6,9.502,6.244,7.051,6.169,8.316,8.711,8.71,5.177,
pwr7,5.781,7.829,5.88,7.093,7.84,6.306,9.647,7.855,
pwr8,8.255,8.987,6.043,8.126,9.777,8.856,7.509,9.445,
pwr9,6.364,6.368,5.758,8.974,7.153,6.656,5.76,9.731,
pwr10,6.001,6.713,7.486,7.809,5.285,7.264,8.187,7.636,
pwr11,7.169,6.579,8.242,7.75,6.521,9.149,8.031,6.744,
pwr12,6.816,9.6,8.402,8.766,8.885,6.434,5.241,5.742,
pwr13,6.314,6.343,7.537,6.792,6.748,5.492,5.799,7.004,
pwr14,7.437,7.938,9.865,9.031,6.749,6.077,8.854,9.171,
pwr15,8.475,9.419,7.943,6.46,8.081,9.771,6.794,7.56,
