test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0814_172748,#OK8,ANT,40,0.9,-180,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.59,7.01,-32.5,2382.78,13.77,2443.36,-34.45,2488.97,-39.07,4948.48,-37.8,6616.35,-39.06,7367.28,-26.13,24923.87
0814_172813,#OK8,ANT,40,0.9,-165,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,15.88,7.17,-34.17,2394.79,14.03,2443.28,-34.84,2488.97,-39.52,4884.0,-38.14,6632.05,-38.55,7227.36,-24.86,25480.49
0814_172839,#OK8,ANT,40,0.9,-150,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.23,6.81,-31.31,2402.0,14.45,2443.36,-37.1,2488.97,-39.57,4964.0,-37.31,6042.4,-38.16,7440.0,-25.78,25721.69
0814_172904,#OK8,ANT,40,0.9,-135,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.6,6.43,-26.88,2402.0,14.84,2443.44,-37.46,2482.0,-39.92,4851.04,-37.84,6289.02,-38.81,7249.44,-24.15,25703.14
0814_172930,#OK8,ANT,40,0.9,-120,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.89,6.16,-22.56,2402.0,15.2,2443.36,-32.81,2482.0,-39.08,4902.08,-38.56,5997.56,-38.54,7292.16,-25.91,25814.46
0814_172956,#OK8,ANT,40,0.9,-105,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.22,6.33,-18.51,2402.0,15.51,2443.44,-29.08,2482.0,-39.53,4959.36,-37.65,5941.51,-38.64,7367.76,-25.33,25536.15
0814_173021,#OK8,ANT,40,0.9,-90,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.58,7.1,-18.7,2402.0,15.75,2443.28,-26.64,2482.0,-38.75,4963.04,-37.67,7075.96,-38.67,7411.44,-25.08,25758.8
0814_173047,#OK8,ANT,40,0.9,-75,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.71,7.39,-18.93,2402.0,15.81,2443.2,-22.21,2482.0,-37.12,4884.16,-37.16,7001.98,-37.85,7323.84,-26.05,25907.23
0814_173112,#OK8,ANT,40,0.9,-60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.08,6.53,-19.87,2402.0,15.82,2442.16,-17.83,2482.0,-36.99,4884.32,-37.9,6665.68,-37.83,7315.44,-26.05,25684.58
0814_173138,#OK8,ANT,40,0.9,-45,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.05,6.33,-20.53,2402.0,17.39,2443.36,-15.77,2482.0,-34.61,4884.0,-37.35,6033.43,-38.16,7343.52,-25.43,25294.95
0814_173204,#OK8,ANT,40,0.9,-30,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.76,6.64,-21.65,2402.0,18.05,2443.44,-18.09,2482.0,-33.14,4883.84,-37.94,6002.05,-38.53,7318.8,-26.13,25740.24
0814_173229,#OK8,ANT,40,0.9,-15,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.3,7.1,-26.05,2394.79,17.53,2440.72,-19.66,2488.97,-33.18,4884.32,-36.95,6889.88,-38.87,7220.88,-25.79,25183.62
0814_173255,#OK8,ANT,40,0.9,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.44,7.47,-26.82,2392.39,17.48,2443.2,-21.11,2500.58,-34.18,4884.0,-38.23,6436.99,-38.58,7352.88,-25.92,25536.15
0814_173320,#OK8,ANT,40,0.9,15,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,19.32,7.55,-26.94,2394.79,17.55,2443.36,-22.9,2500.58,-35.02,4883.84,-37.74,7143.22,-38.02,7355.52,-25.09,25536.15
0814_173346,#OK8,ANT,40,0.9,30,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.91,7.26,-27.98,2392.39,17.11,2443.36,-24.6,2500.58,-37.76,4883.68,-38.12,6257.63,-37.49,7333.92,-25.03,25758.8
0814_173412,#OK8,ANT,40,0.9,45,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,18.44,7.07,-27.42,2394.79,16.78,2443.28,-25.7,2488.97,-38.71,4883.84,-37.69,6883.15,-37.59,7328.16,-25.64,25814.46
0814_173437,#OK8,ANT,40,0.9,60,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.89,6.99,-28.68,2394.79,16.15,2443.44,-26.88,2488.97,-39.52,4859.04,-37.79,5968.42,-37.96,7324.8,-25.2,25350.61
0814_173503,#OK8,ANT,40,0.9,75,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,17.36,6.98,-29.16,2394.79,15.65,2443.36,-27.85,2491.29,-39.07,4956.32,-37.42,6921.27,-38.04,7330.56,-25.8,25795.91
0814_173528,#OK8,ANT,40,0.9,90,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.78,6.98,-28.36,2394.79,14.91,2443.44,-28.79,2491.29,-38.1,4883.84,-37.89,5997.56,-38.11,7395.84,-25.21,25925.78
0814_173554,#OK8,ANT,40,0.9,105,testmode_8819h_0805.bin,2442,7,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFDF79    ,16.14,7.03,-29.02,2394.79,13.98,2441.92,-29.89,2488.97,-40.16,4950.56,-37.89,6241.94,-38.88,7207.92,-25.17,25795.91
