test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0815_181051,#OK1,ANT,40,0.1,-180,testmode_8819h_0805.bin,2442,7,0 3,0 0,24,r 403422c8  [0x403422C8] = 0x023F5D79    ,21.62,9.87,-35.95,12.04,20.4,2443.36,-37.78,3598.88,-31.86,4884.0,-37.79,6934.72,-38.37,7366.08,-25.51,25758.8
0815_181130,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,24,r 403422c8  [0x403422C8] = 0x023F5D79    ,22.04,9.57,-34.64,12.04,20.75,2443.36,-37.13,3638.36,-33.14,4884.16,-38.19,5952.72,-38.7,7377.84,-25.76,25443.38
0815_181230,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,24,r 403422c8  [0x403422C8] = 0x023F5D79    ,22.07,9.49,-35.78,14.44,20.78,2443.36,-37.19,3666.22,-33.21,4884.16,-37.45,6053.61,-38.62,7320.24,-25.32,25536.15
0815_181328,#OK1,ANT,40,0.1,-180,testmode_8819h_0805.bin,2472,13,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,20.6,-17.68,-7.21,2427.14,15.99,2482.24,-10.95,2523.76,-34.69,4944.32,-37.79,6010.05,-37.58,7375.68,-24.7,25796.9
0815_181354,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2472,13,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,21.01,-17.31,-7.09,2400.38,17.32,2487.92,-11.96,2519.06,-34.92,4957.6,-37.93,6927.94,-38.27,7488.96,-24.49,25316.83
0815_181420,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2472,13,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,21.01,-17.32,-8.99,2407.68,17.34,2460.72,-9.71,2530.82,-34.67,4951.04,-37.48,5980.51,-38.56,7529.52,-25.21,25741.5
0815_181449,#OK1,ANT,40,0.1,-180,testmode_8819h_0805.bin,2442,7,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,19.6,-16.8,-9.5,2394.79,15.21,2423.6,-11.24,2509.86,-37.57,4863.2,-37.98,6396.64,-38.28,7321.92,-25.03,25480.49
0815_181515,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,20.07,-16.55,-8.8,2402.0,15.42,2437.6,-12.9,2484.32,-37.08,4878.08,-38.01,6681.37,-38.63,7280.16,-25.79,25294.95
0815_181541,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,20.0,-16.83,-9.68,2399.6,15.14,2432.4,-11.26,2482.0,-37.41,4883.04,-37.83,6600.66,-38.43,7238.4,-25.14,24775.44
0815_181610,#OK1,ANT,40,0.1,-180,testmode_8819h_0805.bin,2412,1,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,19.82,-22.7,-8.69,2367.26,15.03,2422.48,-11.49,2458.88,-37.86,4798.4,-37.67,6001.15,-38.65,7166.4,-25.75,24918.65
0815_181636,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2412,1,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,20.14,-22.31,-9.01,2367.26,15.58,2395.6,-11.84,2458.88,-37.86,4828.48,-37.76,6029.91,-38.44,7264.8,-25.29,24881.36
