test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0818_144859,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,0 3,0 0,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,22.6,9.11,-32.27,12.04,21.04,2443.36,-37.91,3703.37,-32.16,4884.0,-38.12,6562.55,-38.73,7239.6,-25.34,25851.57
0818_144929,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2472,13,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,21.8,-22.26,-7.43,2427.14,17.48,2461.92,-9.64,2512.0,-35.35,4944.32,-37.69,6541.7,-37.55,7442.16,-26.18,25723.04
0818_144958,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2442,7,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,21.1,-21.01,-9.29,2394.79,17.35,2434.0,-12.43,2498.25,-36.34,4891.2,-37.74,6235.21,-38.67,7415.04,-25.17,25795.91
0818_145027,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,2412,1,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFD179    ,21.4,-28.97,-8.15,2369.63,16.25,2403.36,-10.66,2452.0,-36.53,4821.92,-38.12,6005.58,-38.59,7270.8,-25.22,25403.39
0818_145056,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5180,36,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,23.47,-12.9,-3.66,5140.0,18.59,5163.84,-2.96,5220.0,-38.86,10338.24,-32.93,15325.38,-33.32,15432.0,-25.39,25338.24
0818_145126,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5300,60,5 0,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,23.01,-13.5,-4.25,5260.0,16.88,5297.92,-1.92,5340.0,-38.01,10634.24,-33.11,15453.6,-33.21,15935.76,-23.98,25451.1
0818_145155,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5500,100,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,22.49,-17.43,-9.35,5460.0,16.66,5481.92,-4.92,5540.0,-37.33,11047.36,-32.84,15505.5,-33.11,16578.24,-25.4,25174.56
0818_145224,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5745,149,5 7,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,21.92,-18.11,-6.81,5699.3,16.33,5729.4,-6.69,5785.0,-38.03,11514.0,-31.7,17009.65,-31.38,17340.84,-25.45,25247.88
0818_145253,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5785,157,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,20.75,-27.65,-12.59,5745.0,15.26,5790.92,-11.39,5825.0,-37.88,11634.32,-31.81,16916.65,-31.11,17338.68,-24.4,25479.97
0818_145322,#OK1,ANT,40,0.0,0,testmode_8819h_0805.bin,5825,165,5 11,1 1,24,r 403422c8  [0x403422C8] = 0x00FFE179    ,20.48,-28.08,-10.85,5785.0,14.78,5823.96,-14.18,5865.0,-37.62,11718.0,-31.22,17141.25,-30.29,17380.44,-24.94,25697.42
