test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_171139,5,0.9,-180,testmode_8819h_820_high_apc,2442,7,18,3.63,2446.06,383.16
0821_171147,5,0.9,-165,testmode_8819h_820_high_apc,2442,7,18,4.57,2446.06,381.43
0821_171155,5,0.9,-150,testmode_8819h_820_high_apc,2442,7,18,5.62,2446.06,378.92
0821_171204,5,0.9,-135,testmode_8819h_820_high_apc,2442,7,18,6.82,2446.08,375.43
0821_171212,5,0.9,-120,testmode_8819h_820_high_apc,2442,7,18,8.03,2446.06,370.31
0821_171220,5,0.9,-105,testmode_8819h_820_high_apc,2442,7,18,9.16,2446.06,363.78
0821_171229,5,0.9,-90,testmode_8819h_820_high_apc,2442,7,18,10.17,2446.06,358.01
0821_171237,5,0.9,-75,testmode_8819h_820_high_apc,2442,7,18,10.62,2446.06,359.32
0821_171246,5,0.9,-60,testmode_8819h_820_high_apc,2442,7,18,10.85,2446.06,372.19
0821_171254,5,0.9,-45,testmode_8819h_820_high_apc,2442,7,18,10.87,2446.06,388.78
0821_171302,5,0.9,-30,testmode_8819h_820_high_apc,2442,7,18,9.97,2446.06,393.68
0821_171311,5,0.9,-15,testmode_8819h_820_high_apc,2442,7,18,8.2,2446.06,393.87
0821_171319,5,0.9,0,testmode_8819h_820_high_apc,2442,7,18,7.25,2446.08,393.56
0821_171327,5,0.9,15,testmode_8819h_820_high_apc,2442,7,18,6.48,2446.08,392.65
0821_171336,5,0.9,30,testmode_8819h_820_high_apc,2442,7,18,5.72,2446.08,391.98
0821_171344,5,0.9,45,testmode_8819h_820_high_apc,2442,7,18,5.12,2446.08,391.23
0821_171352,5,0.9,60,testmode_8819h_820_high_apc,2442,7,18,4.52,2446.08,390.48
0821_171401,5,0.9,75,testmode_8819h_820_high_apc,2442,7,18,3.99,2446.08,389.75
0821_171409,5,0.9,90,testmode_8819h_820_high_apc,2442,7,18,3.5,2446.08,388.96
0821_171418,5,0.9,105,testmode_8819h_820_high_apc,2442,7,18,2.91,2446.06,388.42
0821_171426,5,0.9,120,testmode_8819h_820_high_apc,2442,7,18,2.99,2446.06,387.52
0821_171434,5,0.9,135,testmode_8819h_820_high_apc,2442,7,18,2.17,2446.06,386.71
0821_171443,5,0.9,150,testmode_8819h_820_high_apc,2442,7,18,2.59,2446.06,385.72
0821_171451,5,0.9,165,testmode_8819h_820_high_apc,2442,7,18,2.98,2446.06,384.67
0821_171459,5,0.8,-180,testmode_8819h_820_high_apc,2442,7,18,7.94,2446.06,383.23
0821_171508,5,0.8,-165,testmode_8819h_820_high_apc,2442,7,18,8.57,2446.08,381.2
0821_171516,5,0.8,-150,testmode_8819h_820_high_apc,2442,7,18,9.38,2446.08,378.94
0821_171524,5,0.8,-135,testmode_8819h_820_high_apc,2442,7,18,10.46,2446.08,375.59
0821_171533,5,0.8,-120,testmode_8819h_820_high_apc,2442,7,18,11.79,2446.08,370.97
0821_171541,5,0.8,-105,testmode_8819h_820_high_apc,2442,7,18,13.03,2446.08,365.91
0821_171550,5,0.8,-90,testmode_8819h_820_high_apc,2442,7,18,14.06,2446.08,362.91
0821_171558,5,0.8,-75,testmode_8819h_820_high_apc,2442,7,18,14.75,2446.08,366.76
0821_171606,5,0.8,-60,testmode_8819h_820_high_apc,2442,7,18,14.86,2446.06,377.65
0821_171615,5,0.8,-45,testmode_8819h_820_high_apc,2442,7,18,14.29,2446.06,388.03
0821_171623,5,0.8,-30,testmode_8819h_820_high_apc,2442,7,18,13.27,2446.06,392.1
0821_171631,5,0.8,-15,testmode_8819h_820_high_apc,2442,7,18,12.17,2446.06,392.92
0821_171640,5,0.8,0,testmode_8819h_820_high_apc,2442,7,18,10.9,2446.06,392.73
0821_171648,5,0.8,15,testmode_8819h_820_high_apc,2442,7,18,10.1,2446.06,392.19
0821_171656,5,0.8,30,testmode_8819h_820_high_apc,2442,7,18,9.43,2446.08,391.45
0821_171705,5,0.8,45,testmode_8819h_820_high_apc,2442,7,18,8.84,2446.08,390.9
0821_171713,5,0.8,60,testmode_8819h_820_high_apc,2442,7,18,8.34,2446.08,390.14
0821_171722,5,0.8,75,testmode_8819h_820_high_apc,2442,7,18,7.92,2446.08,389.46
0821_171730,5,0.8,90,testmode_8819h_820_high_apc,2442,7,18,7.54,2446.08,388.88
