test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_193328,5,0.9,-180,testmode_8819h_820_high_apc,2442,7,18,-4.07,2446.06,198.95
0821_193334,5,0.9,-165,testmode_8819h_820_high_apc,2442,7,18,-3.01,2446.06,198.85
0821_193340,5,0.9,-150,testmode_8819h_820_high_apc,2442,7,18,-1.66,2446.06,198.71
0821_193345,5,0.9,-135,testmode_8819h_820_high_apc,2442,7,18,-0.09,2446.06,198.61
0821_193351,5,0.9,-120,testmode_8819h_820_high_apc,2442,7,18,1.74,2446.06,198.46
0821_193357,5,0.9,-105,testmode_8819h_820_high_apc,2442,7,18,3.66,2446.06,198.56
0821_193402,5,0.9,-90,testmode_8819h_820_high_apc,2442,7,18,5.23,2446.06,199.65
0821_193408,5,0.9,-75,testmode_8819h_820_high_apc,2442,7,18,5.02,2446.08,201.5
0821_193414,5,0.9,-60,testmode_8819h_820_high_apc,2442,7,18,3.52,2446.08,201.92
0821_193419,5,0.9,-45,testmode_8819h_820_high_apc,2442,7,18,2.21,2446.08,201.52
0821_193425,5,0.9,-30,testmode_8819h_820_high_apc,2442,7,18,0.98,2446.08,201.12
0821_193430,5,0.9,-15,testmode_8819h_820_high_apc,2442,7,18,-0.76,2446.08,200.84
0821_193436,5,0.9,0,testmode_8819h_820_high_apc,2442,7,18,-1.57,2446.08,200.61
0821_193442,5,0.9,15,testmode_8819h_820_high_apc,2442,7,18,-2.31,2446.08,200.4
0821_193447,5,0.9,30,testmode_8819h_820_high_apc,2442,7,18,-3.05,2446.08,200.19
0821_193453,5,0.9,45,testmode_8819h_820_high_apc,2442,7,18,-3.6,2446.08,200.05
0821_193459,5,0.9,60,testmode_8819h_820_high_apc,2442,7,18,-4.12,2446.08,200.0
0821_193504,5,0.9,75,testmode_8819h_820_high_apc,2442,7,18,-4.6,2446.08,199.84
0821_193510,5,0.9,90,testmode_8819h_820_high_apc,2442,7,18,-4.98,2446.08,199.88
0821_193516,5,0.9,105,testmode_8819h_820_high_apc,2442,7,18,-5.47,2446.08,199.74
0821_193521,5,0.9,120,testmode_8819h_820_high_apc,2442,7,18,-5.31,2446.08,199.55
0821_193527,5,0.9,135,testmode_8819h_820_high_apc,2442,7,18,-6.23,2446.08,199.43
0821_193532,5,0.9,150,testmode_8819h_820_high_apc,2442,7,18,-5.72,2446.08,199.27
0821_193538,5,0.9,165,testmode_8819h_820_high_apc,2442,7,18,-5.05,2446.06,199.28
0821_193544,5,0.8,-180,testmode_8819h_820_high_apc,2442,7,18,-0.0,2446.08,199.26
0821_193549,5,0.8,-165,testmode_8819h_820_high_apc,2442,7,18,0.81,2446.08,199.11
0821_193555,5,0.8,-150,testmode_8819h_820_high_apc,2442,7,18,1.91,2446.08,198.86
0821_193601,5,0.8,-135,testmode_8819h_820_high_apc,2442,7,18,3.36,2446.08,198.72
0821_193606,5,0.8,-120,testmode_8819h_820_high_apc,2442,7,18,5.18,2446.08,198.69
0821_193612,5,0.8,-105,testmode_8819h_820_high_apc,2442,7,18,7.06,2446.08,198.99
0821_193618,5,0.8,-90,testmode_8819h_820_high_apc,2442,7,18,8.31,2446.08,199.96
0821_193623,5,0.8,-75,testmode_8819h_820_high_apc,2442,7,18,8.29,2446.08,201.18
0821_193629,5,0.8,-60,testmode_8819h_820_high_apc,2442,7,18,7.18,2446.08,201.56
0821_193635,5,0.8,-45,testmode_8819h_820_high_apc,2442,7,18,5.78,2446.08,201.34
0821_193640,5,0.8,-30,testmode_8819h_820_high_apc,2442,7,18,4.48,2446.08,201.16
0821_193646,5,0.8,-15,testmode_8819h_820_high_apc,2442,7,18,3.35,2446.08,200.84
0821_193651,5,0.8,0,testmode_8819h_820_high_apc,2442,7,18,2.09,2446.08,200.63
0821_193657,5,0.8,15,testmode_8819h_820_high_apc,2442,7,18,1.35,2446.08,200.48
