test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current(mA),efficiency(%),,rate
0821_200054,5,0.5,-80,testmode_8819h_820_high_apc,2442,7,18,19.45,2446.06,358.7,7.443114217,,5.422358517
0821_195913,5,0.6,-80,testmode_8819h_820_high_apc,2442,7,18,19.3,2446.06,355.41,7.256988201,,5.430348049
0821_200224,5,0.4,-90,testmode_8819h_820_high_apc,2442,7,18,19.32,2446.06,359.03,7.216976997,,5.381165919
0821_200049,5,0.5,-100,testmode_8819h_820_high_apc,2442,7,18,19.17,2446.06,355,7.051113526,,5.4
0821_200100,5,0.5,-60,testmode_8819h_820_high_apc,2442,7,18,19.15,2446.06,363.77,6.84950489,,5.264315364
0821_200332,5,0.3,-90,testmode_8819h_820_high_apc,2442,7,18,19.09,2446.06,360.77,6.811702057,,5.291459933
0821_200230,5,0.4,-60,testmode_8819h_820_high_apc,2442,7,18,19.11,2446.06,363.64,6.789134475,,5.255197448
0821_195907,5,0.6,-100,testmode_8819h_820_high_apc,2442,7,18,18.87,2446.06,351.11,6.653388164,,5.374384096
0821_195918,5,0.6,-60,testmode_8819h_820_high_apc,2442,7,18,18.95,2446.06,363.31,6.549508472,,5.215931298
0821_200338,5,0.3,-60,testmode_8819h_820_high_apc,2442,7,18,18.94,2446.06,363.54,6.530310889,,5.209880618
0821_195731,5,0.7,-80,testmode_8819h_820_high_apc,2442,7,18,18.69,2446.06,350.77,6.38945208,,5.328277789
0821_200219,5,0.4,-120,testmode_8819h_820_high_apc,2442,7,18,18.69,2446.06,357.16,6.275137491,,5.232948818
0821_200434,5,0.2,-100,testmode_8819h_820_high_apc,2442,7,18,18.73,2446.06,361.1,6.264098406,,5.186928829
0821_200326,5,0.3,-120,testmode_8819h_820_high_apc,2442,7,18,18.66,2446.06,359.35,6.193960207,,5.192709058
0821_200440,5,0.2,-60,testmode_8819h_820_high_apc,2442,7,18,18.7,2446.06,363.5,6.179902808,,5.144429161
0821_200043,5,0.5,-120,testmode_8819h_820_high_apc,2442,7,18,18.45,2446.06,354.54,5.981647547,,5.203926214
0821_200525,5,0.1,-100,testmode_8819h_820_high_apc,2442,7,18,18.36,2446.06,362.54,5.729676863,,5.06426877
0821_200530,5,0.1,-60,testmode_8819h_820_high_apc,2442,7,18,18.35,2446.06,363.43,5.702499896,,5.049115373
0821_195737,5,0.7,-60,testmode_8819h_820_high_apc,2442,7,18,18.34,2446.06,362.83,5.698792858,,5.054708817
0821_200105,5,0.5,-40,testmode_8819h_820_high_apc,2442,7,18,18.39,2446.06,367.47,5.691990555,,5.004490162
0821_200343,5,0.3,-30,testmode_8819h_820_high_apc,2442,7,18,18.3,2446.06,365.9,5.599169962,,5.001366494
0821_200428,5,0.2,-140,testmode_8819h_820_high_apc,2442,7,18,18.21,2446.06,360.55,5.565709826,,5.050617113
0821_195726,5,0.7,-100,testmode_8819h_820_high_apc,2442,7,18,18.02,2446.06,345.81,5.55454529,,5.210953992
0821_200236,5,0.4,-30,testmode_8819h_820_high_apc,2442,7,18,18.19,2446.06,366.62,5.448411577,,4.96154056
0821_200445,5,0.2,-20,testmode_8819h_820_high_apc,2442,7,18,18.14,2446.06,364.98,5.410245759,,4.97013535
0821_200519,5,0.1,-140,testmode_8819h_820_high_apc,2442,7,18,18.1,2446.06,362.3,5.400298004,,4.995859785
0821_200536,5,0.1,-20,testmode_8819h_820_high_apc,2442,7,18,18.09,2446.06,364.36,5.357415955,,4.964869909
0821_195901,5,0.6,-120,testmode_8819h_820_high_apc,2442,7,18,17.84,2446.06,351.6,5.241277978,,5.073947668
0821_200321,5,0.3,-150,testmode_8819h_820_high_apc,2442,7,18,17.89,2446.06,359.18,5.190078349,,4.980789576
0821_195924,5,0.6,-40,testmode_8819h_820_high_apc,2442,7,18,17.99,2446.06,368.5,5.176647201,,4.881953867
0821_200604,5,0,0,testmode_8819h_820_high_apc,2442,7,18,17.86,2446.06,363.34,5.09533624,,4.915506138
0821_200514,5,0.1,-180,testmode_8819h_820_high_apc,2442,7,18,17.75,2446.06,362.37,4.981198219,,4.898308359
0821_200542,5,0.1,20,testmode_8819h_820_high_apc,2442,7,18,17.73,2446.06,364.66,4.927174376,,4.862063292
0821_200213,5,0.4,-150,testmode_8819h_820_high_apc,2442,7,18,17.64,2446.06,357.99,4.916037248,,4.927511942
0821_200037,5,0.5,-140,testmode_8819h_820_high_apc,2442,7,18,17.5,2446.06,355.76,4.78992754,,4.919046548
0821_200559,5,0.1,140,testmode_8819h_820_high_apc,2442,7,18,17.5,2446.06,362.98,4.694651556,,4.82120227
0821_200423,5,0.2,-180,testmode_8819h_820_high_apc,2442,7,18,17.46,2446.06,361.22,4.674275133,,4.833619401
0821_200349,5,0.3,0,testmode_8819h_820_high_apc,2442,7,18,17.51,2446.06,366.53,4.659899316,,4.777235151
0821_195527,5,0.8,-75,testmode_8819h_820_high_apc,2442,7,18,17.27,2446.06,348.53,4.637093937,,4.955097122
0821_200547,5,0.1,60,testmode_8819h_820_high_apc,2442,7,18,17.44,2446.06,364.15,4.615361743,,4.789235205
0821_200451,5,0.2,20,testmode_8819h_820_high_apc,2442,7,18,17.43,2446.06,365.48,4.587989802,,4.769070811
0821_200111,5,0.5,-20,testmode_8819h_820_high_apc,2442,7,18,17.44,2446.06,368.88,4.556180814,,4.727824767
0821_200553,5,0.1,100,testmode_8819h_820_high_apc,2442,7,18,17.36,2446.06,363.48,4.539474081,,4.776053703
0821_195522,5,0.8,-90,testmode_8819h_820_high_apc,2442,7,18,16.87,2446.06,339.76,4.338242375,,4.965269602
0821_200315,5,0.3,-180,testmode_8819h_820_high_apc,2442,7,18,17.06,2446.06,360.47,4.271859236,,4.732710073
0821_195742,5,0.7,-40,testmode_8819h_820_high_apc,2442,7,18,17.17,2446.06,369.95,4.269165867,,4.641167725
0821_200241,5,0.4,0,testmode_8819h_820_high_apc,2442,7,18,17.11,2446.06,367.58,4.237738819,,4.65476903
0821_195533,5,0.8,-60,testmode_8819h_820_high_apc,2442,7,18,16.95,2446.06,361.94,4.148102488,,4.683096646
0821_200508,5,0.2,140,testmode_8819h_820_high_apc,2442,7,18,16.91,2446.06,362.52,4.103496703,,4.664570231
0821_200457,5,0.2,60,testmode_8819h_820_high_apc,2442,7,18,16.89,2446.06,365.2,4.054667922,,4.624863089
0821_195720,5,0.7,-120,testmode_8819h_820_high_apc,2442,7,18,16.67,2446.06,348.6,4.037928991,,4.781985083
