Info:,ch 100,testmode_8819h_0806.bin,8819,,board 5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
cm_mdllband_high_bit,cm_mdll_freg_bit,name,ana_test_bit,voltage(mV),name,ana_test_bit,voltage(mV),name,ana_test_bit,voltage(mV),name,ana_test_bit,voltage(mV)
2,1,md11_cp_out0,3,0.5033333333333333,md11_cp_out1,2,0.59,avdd_logic,1,7.513333333333333,avdd_sw_mdll,0,9.336666666666668
2,2,md11_cp_out0,3,-0.023333333,md11_cp_out1,2,0.013333333333333334,avdd_logic,1,6.739999999999999,avdd_sw_mdll,0,9.436666666666666
2,3,md11_cp_out0,3,-0.59,md11_cp_out1,2,-0.543333333,avdd_logic,1,6.126666666666666,avdd_sw_mdll,0,9.496666666666666
2,4,md11_cp_out0,3,-1.17,md11_cp_out1,2,-1.106666667,avdd_logic,1,5.390000000000001,avdd_sw_mdll,0,9.633333333333335
2,5,md11_cp_out0,3,-1.82,md11_cp_out1,2,-1.72,avdd_logic,1,4.82,avdd_sw_mdll,0,9.770000000000001
2,6,md11_cp_out0,3,-2.413333333,md11_cp_out1,2,-2.373333333,avdd_logic,1,4.243333333333333,avdd_sw_mdll,0,9.863333333333335
2,7,md11_cp_out0,3,-3.073333333,md11_cp_out1,2,-2.953333333,avdd_logic,1,3.7399999999999998,avdd_sw_mdll,0,9.950000000000001
3,1,md11_cp_out0,3,-5.006666667,md11_cp_out1,2,-5.056666667,avdd_logic,1,2.0933333333333333,avdd_sw_mdll,0,9.89
3,2,md11_cp_out0,3,-5.286666667,md11_cp_out1,2,-5.396666667,avdd_logic,1,1.9799999999999998,avdd_sw_mdll,0,9.9
3,3,md11_cp_out0,3,-5.586666667,md11_cp_out1,2,-5.62,avdd_logic,1,1.8466666666666667,avdd_sw_mdll,0,9.963333333333333
3,4,md11_cp_out0,3,-5.94,md11_cp_out1,2,-5.843333333,avdd_logic,1,1.5633333333333332,avdd_sw_mdll,0,9.94
3,5,md11_cp_out0,3,-6.063333333,md11_cp_out1,2,-6.103333333,avdd_logic,1,1.3800000000000001,avdd_sw_mdll,0,10.123333333333333
3,6,md11_cp_out0,3,-6.333333333,md11_cp_out1,2,-6.356666667,avdd_logic,1,1.18,avdd_sw_mdll,0,10.073333333333332
3,7,md11_cp_out0,3,-6.743333333,md11_cp_out1,2,-6.803333333,avdd_logic,1,0.9133333333333334,avdd_sw_mdll,0,10.196666666666667
