Info:,,testmode_8819_svn3_0813.bin,8819,,dtmx_dvdd_dll和dtmx_lo_reg需要发包且txon开,,,,
,,,,,,,,,
,,,,,,,,,
vco_core_reg_lv_mode,0,,,,1,,,,
vco core reg bit[4:0],0,8,16,31,0,8,16,31,
reg_vco,1021,1114,1144,1152,945,1040,1094,1133,
提升上限复测,1020.18,1115.8,1169.27,1214,944.41,1040.88,1095.69,1178.31,
,,,,,,,,,
,,,,,,,,,
lo_rsvd_bit[3],0,,,,,,,,
vco_buf_reg_hv_mode_bit[l:0],0,,,1,,,3,,
buf reg bit[3:0],0,8,15,0,8,15,0,8,15
reg buf,964.38,1065.2,1108.05,1002.02,1100.96,1130.08,1086.94,1138.72,1144.66
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
trx rsvd bit[3],0,,,1,,,,,
dtmx logen dll reg vbit[3:0],0,8,15,0,8,15,,,
dtmx dvdd dll,998.89,1068.71,1079.93,1036.16,1078.3,1083.17,,,
,,,,,,,,,
,,,,,,,,,
trx rsvd bit[3],0,,,1,,,,,
dtmx loreg vbit[2:0],0,4,7,0,4,7,,,
dtmx lo reg,1007.45,1100.7,1106.57,1103.99,1110.45,1110.85,,,
