ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case
isense_diff,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF_TX_HB_ON/WF_TX_LB_ON
tsout0,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF_TX_HB_ON/WF_TX_LB_ON
tsout1,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF_TX_HB_ON/WF_TX_LB_ON
tsout2,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF_TX_HB_ON/WF_TX_LB_ON
vreg13_sense,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b100,WF_TX_HB_ON/WF_TX_LB_ON
bg_v1v,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b101,WF_TX_HB_ON/WF_TX_LB_ON
vln2testmux1,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b110,WF_TX_HB_ON/WF_TX_LB_ON
vln2testmux2,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF_TX_HB_ON/WF_TX_LB_ON
vm_div2_sense,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF_TX_HB_ON/WF_TX_LB_ON
vh_div3_sense,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF_TX_HB_ON/WF_TX_LB_ON
bt_vh_div3_sense,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,BT_COANT
bt_vm_div2_sense,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b100,BT_COANT
vsw,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b101,WF_TX_HB_ON/WF_TX_LB_ON
vlhb2testmux,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b110,BT_COANT
vllb2testmux,WF,PA,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,BT_COANT
,,,,,,,,,,,
