reg_name,bit_name,address,val,msb,lsb,n,pos_end,pos_start,access,comment
DMA_PAUSE,DMA_PAUSE,0x40000000,0,0,0,1,0,0,rw,
DMA_PAUSE,DMA_PAUSE_STATUS,0x40000000,0,16,16,1,16,16,ro,
DMA_FRAG_WAIT,DMA_FRAG_WAIT,0x40000004,0,15,0,16,15, 0,rw,
DMA_FRAG_WAIT,O_ENDIAN,0x40000004,0,28,28,1,28,28,rw,
REQ_PEND0_EN,REQ_PEND_EN[31:0],0x40000008,0,31,0,32,31, 0,rw,
REQ_PEND1_EN,REQ_PEND_EN[63:32],0x4000000c,0,31,0,32,31, 0,rw,
DMA_INT_RAW_STATUS,DMA_INT_RAW_STATUS,0x40000010,0,31,0,32,31, 0,ro,
DMA_INT_MASK_STATUS,DMA_INT_MASK_STATUS,0x40000014,0,31,0,32,31, 0,ro,
DMA_REQ_STATUS,DMA_REQ_STATUS,0x40000018,0,31,0,32,31, 0,ro,
DMA_EN_STATUS,DMA_EN_STATUS,0x4000001c,0,31,0,32,31, 0,ro,
DMA_DEBUG_STATUS,DEST_FSM_STATUS,0x40000020,0,3,0,4,3, 0,ro,
DMA_DEBUG_STATUS,SRC_FSM_STATUS,0x40000020,0,7,4,4,7, 4,ro,
DMA_DEBUG_STATUS,MAIN_FSM_STATUS,0x40000020,0,12,8,5,12, 8,ro,
DMA_DEBUG_STATUS,HREADY_DMAR,0x40000020,0,16,16,1,16,16,ro,
DMA_DEBUG_STATUS,HREADY_DMAW,0x40000020,0,17,17,1,17,17,ro,
DMA_DEBUG_STATUS,DMA_BUSY,0x40000020,0,20,20,1,20,20,ro,
DMA_ARB_SEL_STATUS,CHN_ARB_SEL,0x40000024,0,5,0,6,5, 0,ro,
CRC_CFG,DATA_MODE,0x40000030,0,3,0,4,3, 0,rw,
CRC_CFG,CRC_GEN_SIZE,0x40000030,0,5,4,2,5, 4,rw,
CRC_CFG,CRC_INIT_MODE,0x40000030,0,9,8,2,9, 8,rw,
CRC_CFG,CRC_CH_NUM,0x40000030,0,20,16,5,20,16,rw,
CRC_CFG,CRC_HOLD,0x40000030,0,24,24,1,24,24,rw,
CRC_CFG,CRC_EN,0x40000030,0,28,28,1,28,28,rw,
CRC_CFG,CRC_CLK_GATE_EN,0x40000030,0,29,29,1,29,29,rw,
CRC_GEN,CRC_GEN,0x40000034,0,31,0,32,31, 0,rw,
CRC_OUT_XOR,CRC_OUT_XOR,0x40000038,0,31,0,32,31, 0,rw,
CRC_INIT,CRC_INIT,0x4000003c,0,31,0,32,31, 0,rw,
I_CRC,I_CRC,0x40000040,0,31,0,32,31, 0,ro,
AES_KEY_0_ADDR,AES_KEY_0_ADDR,0x40000044,0,31,0,32,31, 0,rw,
AES_KEY_1_ADDR,AES_KEY_1_ADDR,0x40000048,0,31,0,32,31, 0,rw,
AES_KEY_2_ADDR,AES_KEY_2_ADDR,0x4000004c,0,31,0,32,31, 0,rw,
AES_KEY_3_ADDR,AES_KEY_3_ADDR,0x40000050,0,31,0,32,31, 0,rw,
AES_KEY_4_ADDR,AES_KEY_4_ADDR,0x40000054,0,31,0,32,31, 0,rw,
AES_KEY_5_ADDR,AES_KEY_5_ADDR,0x40000058,0,31,0,32,31, 0,rw,
AES_KEY_6_ADDR,AES_KEY_6_ADDR,0x4000005c,0,31,0,32,31, 0,rw,
AES_KEY_7_ADDR,AES_KEY_7_ADDR,0x40000060,0,31,0,32,31, 0,rw,
AES_IV_0_ADDR,AES_IV_0_ADDR,0x40000064,0,31,0,32,31, 0,rw,
AES_IV_1_ADDR,AES_IV_1_ADDR,0x40000068,0,31,0,32,31, 0,rw,
AES_IV_2_ADDR,AES_IV_2_ADDR,0x4000006c,0,31,0,32,31, 0,rw,
AES_IV_3_ADDR,AES_IV_3_ADDR,0x40000070,0,31,0,32,31, 0,rw,
AES_PLAIN_LEN_H_ADDR,AES_PLAIN_LEN_H_ADDR,0x40000074,0,31,0,32,31, 0,rw,
AES_PLAIN_LEN_L_ADDR,AES_PLAIN_LEN_L_ADDR,0x40000078,0,31,0,32,31, 0,rw,
AES_A_LEN_H_ADDR,AES_A_LEN_H_ADDR,0x4000007c,0,31,0,32,31, 0,rw,
AES_A_LEN_L_ADDR,AES_A_LEN_L_ADDR,0x40000080,0,31,0,32,31, 0,rw,
CE_CTRL_ADDR,rsa_en,0x40000084,0,0,0,1,0,0,rw,
CE_CTRL_ADDR,ecc_en,0x40000084,0,1,1,1,1,1,rw,
CE_CTRL_ADDR,rsa_mode,0x40000084,0,2,2,1,2,2,rw,
CE_CTRL_ADDR,ecc_mode,0x40000084,0,5,3,3,5, 3,rw,
CE_CTRL_ADDR,kpEccAEqP3En,0x40000084,0,6,6,1,6,6,rw,
CE_CTRL_ADDR,macKeyIndex,0x40000084,0,12,7,6,12, 7,rw,
CE_CTRL_ADDR,aes_en,0x40000084,0,13,13,1,13,13,rw,
CE_CTRL_ADDR,aes_enc_dec_sel,0x40000084,0,14,14,1,14,14,rw,
CE_CTRL_ADDR,aes_mode,0x40000084,0,17,15,3,17,15,rw,
CE_CTRL_ADDR,key192,0x40000084,0,18,18,1,18,18,rw,
CE_CTRL_ADDR,key256,0x40000084,0,19,19,1,19,19,rw,
CE_CTRL_ADDR,hash_en,0x40000084,0,20,20,1,20,20,rw,
CE_CTRL_ADDR,ce_chn_sel,0x40000084,0,26,21,6,26,21,rw,
CE_CTRL_ADDR,dma_clr,0x40000084,0,27,27,1,27,27,rw,
CE_CTRL_ADDR,hash_endian_sel,0x40000084,0,28,28,1,28,28,rw,
CE_CTRL_ADDR,aes_endian_sel,0x40000084,0,29,29,1,29,29,rw,
CE_CTRL_ADDR,hash_done,0x40000084,0,30,30,1,30,30,ro,
CE_CTRL_ADDR,aes_done,0x40000084,0,31,31,1,31,31,ro,
PKA_REG0_ADDR,PKA_REG0_ADDR,0x40000088,0,31,0,32,31, 0,rw,
CE_CLOCK_GATE_CTRL,PKA_CLOCK_GATE_EN,0x4000008c,0,0,0,1,0,0,rw,
CE_CLOCK_GATE_CTRL,AES_CLOCK_GATE_EN,0x4000008c,0,1,1,1,1,1,rw,
CE_CLOCK_GATE_CTRL,HASH_CLOCK_GATE_EN,0x4000008c,0,2,2,1,2,2,rw,
CE_CLOCK_GATE_CTRL,reserved0,0x4000008c,0,3,3,1,3,3,rw,
TRANS_CTRL0_ADDR,fft_len,0x40000090,0,2,0,3,2, 0,rw,
TRANS_CTRL0_ADDR,fft_scale,0x40000090,0,5,3,3,5, 3,rw,
TRANS_CTRL0_ADDR,fft_dir,0x40000090,0,6,6,1,6,6,rw,
TRANS_CTRL0_ADDR,fft_en,0x40000090,0,7,7,1,7,7,rw,
TRANS_CTRL0_ADDR,trans_chn_sel,0x40000090,0,13,8,6,13, 8,rw,
TRANS_CTRL0_ADDR,fft_in_format_sel,0x40000090,0,14,14,1,14,14,rw,
TRANS_CTRL0_ADDR,fft_out_format_sel,0x40000090,0,15,15,1,15,15,rw,
TRANS_CTRL0_ADDR,trans_done,0x40000090,0,31,31,1,31,31,ro,
TRANS_CTRL1_ADDR,fltr_en,0x40000094,0,0,0,1,0,0,rw,
TRANS_CTRL1_ADDR,fltr_cofshw_upd,0x40000094,0,1,1,1,1,1,rw,
TRANS_CTRL1_ADDR,sbc_mode_en,0x40000094,0,2,2,1,2,2,rw,
TRANS_CTRL1_ADDR,fltr_cofcos_upd,0x40000094,0,3,3,1,3,3,rw,
TRANS_CTRL1_ADDR,fltr_cof_len,0x40000094,0,4,4,1,4,4,rw,
TRANS_CTRL1_ADDR,fltr_len,0x40000094,0,18,5,14,18, 5,rw,
TRANS_CTRL1_ADDR,fltr_order,0x40000094,0,23,19,5,23,19,rw,
TRANS_CTRL1_ADDR,fltr_cof_init_sel,0x40000094,0,24,24,1,24,24,rw,
TRANS_CLOCK_GATE_CTRL,fft_clk_gate_en,0x40000098,0,0,0,1,0,0,rw,
TRANS_CLOCK_GATE_CTRL,flt_clk_gate_en,0x40000098,0,1,1,1,1,1,rw,
TRANS_CLOCK_GATE_CTRL,reserved0,0x40000098,0,2,2,1,2,2,rw,
DMA_MON_SEL,dma_mon_sel,0x4000009c,0,31,0,32,31, 0,rw,
dma_reserved0,dma_reserved0,0x400000a0,0,31,0,32,31, 0,rw,
dma_reserved1,dma_reserved1,0x400000a4,0,31,0,32,31, 0,rw,
dma_reserved2,dma_reserved2,0x400000a8,0,31,0,32,31, 0,rw,
CHKSUM_CTRL_ADDR,chksum_len,0x400000b8,0,15,0,16,15, 0,rw,
