ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,
lna_balun_IR_drop,aic8817_wf_trx,lna_8817_a0,,,wf_test_enable_lna,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b0,WF_RX_ON,
lna_dvdd,aic8817_wf_trx,lna_8817_a0,,,wf_test_enable_lna,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,WF_RX_ON,
lna_dvdd_lv,aic8817_wf_trx,lna_8817_a0,,,wf_test_enable_lna,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,WF_RX_ON,wf_lna_reg_lv_mode=1
lna_vbias,aic8817_wf_trx,lna_8817_a0,,,wf_test_enable_lna,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,WF_RX_ON,
lna_vbcg,aic8817_wf_trx,lna_8817_a0,,,wf_test_enable_lna,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,WF_RX_ON,
rmx_dvdd_lo,aic8817_wf_trx,rmx_8817_a0,,,wf_test_enable_rmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b0,WF_RX_ON,
rmx_dvdd_lo_lv,aic8817_wf_trx,rmx_8817_a0,,,wf_test_enable_rmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b0,WF_RX_ON,wf_rmx_reg_lv_mode=1
rmx_lo_vbias,aic8817_wf_trx,rmx_8817_a0,,,wf_test_enable_rmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,WF_RX_ON,
tia_op_vref_threshold,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,WF_RX_ON,
tia_vcm_ref,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,WF_RX_ON,
tia_ldo_out,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,WF_RX_ON,
tia_q_op,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b100,WF_RX_ON,
