ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,
xtal_ib_core_lp,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,,
xtal_dvdd_core,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,,
xtal_dvdd_core_lv,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,,rtc_rg_cm_xtal_reg_lv_mode=1
xtal_dvdd_clk,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,,
xtal_vb_ib,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b0,,
,,,,,,,,,,,,
cp_out0,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,MDLL_ON,
cp_out1,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,MDLL_ON,
avdd_logic,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,MDLL_ON,
avdd_sw_mdll,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b0,MDLL_ON,
cp_out0-cp_out1,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b11,MDLL_ON,
cp_out1-cp_out0,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b10,MDLL_ON,
avdd_clkbuf,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b1,MDLL_ON,
