Info:,ch 100,testmode_8819h_0806.bin,8819


cm_mdllband_high_bit,cm_mdll_freg_bit,name,ana_test_bit,voltage,name,ana_test_bit,voltage,name,ana_test_bit,voltage,name,ana_test_bit,voltage
2,1,md11_cp_out0,3,0.5166585603112148,md11_cp_out1,2,0.6273711089494478,avdd_logic,1,7.577658884565472,avdd_sw_mdll,0,9.508977788586273
2,2,md11_cp_out0,3,-0.06150697146564007,md11_cp_out1,2,-0.012301394293092072,avdd_logic,1,6.839575226977882,avdd_sw_mdll,0,9.791909857328156
2,3,md11_cp_out0,3,-0.5658641374838077,md11_cp_out1,2,-0.6150697146563108,avdd_logic,1,6.10149156939038,avdd_sw_mdll,0,9.742704280155607
2,4,md11_cp_out0,3,-1.2055366407263477,md11_cp_out1,2,-1.1563310635538446,avdd_logic,1,5.461819066147886,avdd_sw_mdll,0,10.025636348897487
2,5,md11_cp_out0,3,-1.7344965953307445,md11_cp_out1,2,-1.7467979896238814,avdd_logic,1,4.920557717250307,avdd_sw_mdll,0,10.062540531776898
2,6,md11_cp_out0,3,-2.4848816472114272,md11_cp_out1,2,-2.3495663099870554,avdd_logic,1,4.293186608300949,avdd_sw_mdll,0,10.247061446173774
2,7,md11_cp_out0,3,-3.0138416018158245,md11_cp_out1,2,-3.0753485732814645,avdd_logic,1,3.8257336251621026,avdd_sw_mdll,0,10.259362840466911
3,1,md11_cp_out0,3,-5.031270265888449,md11_cp_out1,2,-5.105078631647227,avdd_logic,1,1.9928258754863968,avdd_sw_mdll,0,10.271664234760138
3,2,md11_cp_out0,3,-5.351106517509742,md11_cp_out1,2,-5.314202334630377,avdd_logic,1,2.0174286640725807,avdd_sw_mdll,0,10.210157263294454
3,3,md11_cp_out0,3,-5.5971344033722135,md11_cp_out1,2,-5.683244163424128,avdd_logic,1,1.6483868352789202,avdd_sw_mdll,0,10.35777399481192
3,4,md11_cp_out0,3,-5.88006647211414,md11_cp_out1,2,-5.990779020752282,avdd_logic,1,1.5253728923476402,avdd_sw_mdll,0,10.554596303502022
