Info:,ch 100,testmode_8819h_0806.bin,8819,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
cm_mdllband_high_bit,cm_mdll_freg_bit,name,ana_test_bit,voltage(mV),name,ana_test_bit,voltage(mV),name,ana_test_bit,voltage(mV),name,ana_test_bit,voltage(mV)
2,1,md11_cp_out0,3,0.543,md11_cp_out1,2,0.553,avdd_logic,1,7.443,avdd_sw_mdll,0,9.36
2,2,md11_cp_out0,3,-0.17,md11_cp_out1,2,0.037,avdd_logic,1,6.703,avdd_sw_mdll,0,9.457
2,3,md11_cp_out0,3,-0.787,md11_cp_out1,2,-0.637,avdd_logic,1,6.027,avdd_sw_mdll,0,9.47
2,4,md11_cp_out0,3,-1.32,md11_cp_out1,2,-1.207,avdd_logic,1,5.313,avdd_sw_mdll,0,9.66
2,5,md11_cp_out0,3,-1.81,md11_cp_out1,2,-1.697,avdd_logic,1,4.77,avdd_sw_mdll,0,9.73
2,6,md11_cp_out0,3,-2.437,md11_cp_out1,2,-2.487,avdd_logic,1,4.23,avdd_sw_mdll,0,9.827
2,7,md11_cp_out0,3,-3.233,md11_cp_out1,2,-3.173,avdd_logic,1,3.64,avdd_sw_mdll,0,9.877
3,1,md11_cp_out0,3,-5.143,md11_cp_out1,2,-5.143,avdd_logic,1,2.03,avdd_sw_mdll,0,9.88
3,2,md11_cp_out0,3,-5.537,md11_cp_out1,2,-5.45,avdd_logic,1,1.883,avdd_sw_mdll,0,9.94
3,3,md11_cp_out0,3,-5.67,md11_cp_out1,2,-5.697,avdd_logic,1,1.71,avdd_sw_mdll,0,10.013
3,4,md11_cp_out0,3,-5.99,md11_cp_out1,2,-5.953,avdd_logic,1,1.44,avdd_sw_mdll,0,10.047
3,5,md11_cp_out0,3,-6.273,md11_cp_out1,2,-6.25,avdd_logic,1,1.157,avdd_sw_mdll,0,10.077
3,6,md11_cp_out0,3,-6.48,md11_cp_out1,2,-6.593,avdd_logic,1,1.183,avdd_sw_mdll,0,10.16
3,7,md11_cp_out0,3,-6.903,md11_cp_out1,2,-6.96,avdd_logic,1,0.897,avdd_sw_mdll,0,10.213
