CH, Rate, R403422c8, dtmx_tuning_cbit, pa_input1_cbit, pa_input2_cbit
42,0,2 7,0x053F475F,15,3,3
42,1,2 7,0x053F476A,15,3,3
42,2,2 7,0x053F4776,15,3,3
42,3,2 7,0x053F4785,15,3,3
42,4,2 7,0x053F4796,15,3,3
42,5,2 7,0x053F47A7,15,3,3
42,6,2 7,0x0E3F498D,15,3,3
42,7,2 7,0x0E3F499E,15,3,3
42,8,2 7,0x0E3F49B2,15,3,3
42,9,2 7,0x0E3F49C7,15,3,3
42,10,2 7,0x133F4C72,15,3,3
42,11,2 7,0x133F4C80,15,3,3
42,12,2 7,0x133F4C90,15,3,3
42,13,2 7,0x133F4CA1,15,3,3
42,14,2 7,0x133F4CB5,15,3,3
42,15,2 7,0x133F4CCB,15,3,3
42,16,2 7,0x1A3F4DA7,15,3,3
42,17,2 7,0x1A3F4DBB,15,3,3
42,18,2 7,0x1A3F4DD2,15,3,3
42,19,2 7,0x193F4EB8,15,3,3
42,20,2 7,0x193F4ECF,15,3,3
42,21,2 7,0x193F4EE8,15,3,3
42,22,2 7,0x193F4EE8,15,3,3
42,23,2 7,0x193F4EE8,15,3,3
42,24,2 7,0x193F4EE8,15,3,3
42,0,2 0,0x053F6759,15,3,3
42,1,2 0,0x053F6764,15,3,3
42,2,2 0,0x053F676F,15,3,3
42,3,2 0,0x053F677D,15,3,3
42,4,2 0,0x053F678D,15,3,3
42,5,2 0,0x053F679E,15,3,3
42,6,2 0,0x0E3F6985,15,3,3
42,7,2 0,0x0E3F6995,15,3,3
42,8,2 0,0x0E3F69A7,15,3,3
42,9,2 0,0x0E3F69BB,15,3,3
42,10,2 0,0x0B3F6C69,15,3,3
42,11,2 0,0x0B3F6C76,15,3,3
42,12,2 0,0x0B3F6C84,15,3,3
42,13,2 0,0x0B3F6C95,15,3,3
42,14,2 0,0x0B3F6CA7,15,3,3
42,15,2 0,0x0B3F6CBB,15,3,3
42,16,2 0,0x123F6D99,15,3,3
42,17,2 0,0x123F6DAC,15,3,3
42,18,2 0,0x123F6DC1,15,3,3
42,19,2 0,0x193F6EAB,15,3,3
42,20,2 0,0x193F6EC0,15,3,3
42,21,2 0,0x193F6ED7,15,3,3
42,22,2 0,0x183F2FA0,15,3,3
42,23,2 0,0x183F2FB3,15,3,3
42,24,2 0,0x183F2FC9,15,3,3
58,0,2 7,0x053F475E,15,3,3
58,1,2 7,0x053F4769,15,3,3
58,2,2 7,0x053F4776,15,3,3
58,3,2 7,0x053F4785,15,3,3
58,4,2 7,0x053F4796,15,3,3
58,5,2 7,0x053F47A7,15,3,3
58,6,2 7,0x0E3F4985,15,3,3
58,7,2 7,0x0E3F4995,15,3,3
58,8,2 7,0x0E3F49A7,15,3,3
58,9,2 7,0x0E3F49BB,15,3,3
58,10,2 7,0x133F4C6C,15,3,3
58,11,2 7,0x133F4C79,15,3,3
58,12,2 7,0x133F4C88,15,3,3
58,13,2 7,0x133F4C99,15,3,3
58,14,2 7,0x133F4CAB,15,3,3
58,15,2 7,0x133F4CC0,15,3,3
58,16,2 7,0x1A3F4DAB,15,3,3
58,17,2 7,0x1A3F4DC0,15,3,3
58,18,2 7,0x1A3F4DD8,15,3,3
58,19,2 7,0x193F4EC0,15,3,3
58,20,2 7,0x193F4ED8,15,3,3
58,21,2 7,0x193F4EE8,15,3,3
58,22,2 7,0x193F4EE8,15,3,3
58,23,2 7,0x193F4EE8,15,3,3
58,24,2 7,0x193F4EE8,15,3,3
58,0,2 0,0x053F6754,15,3,3
58,1,2 0,0x053F675E,15,3,3
58,2,2 0,0x053F676A,15,3,3
58,3,2 0,0x053F6777,15,3,3
58,4,2 0,0x053F6786,15,3,3
58,5,2 0,0x053F6796,15,3,3
58,6,2 0,0x0E3F6977,15,3,3
58,7,2 0,0x0E3F6986,15,3,3
58,8,2 0,0x0E3F6996,15,3,3
58,9,2 0,0x0E3F69A8,15,3,3
58,10,2 0,0x0B3F6C60,15,3,3
58,11,2 0,0x0B3F6C6B,15,3,3
58,12,2 0,0x0B3F6C78,15,3,3
58,13,2 0,0x0B3F6C87,15,3,3
58,14,2 0,0x0B3F6C98,15,3,3
58,15,2 0,0x0B3F6CAA,15,3,3
58,16,2 0,0x123F6D97,15,3,3
58,17,2 0,0x123F6DAA,15,3,3
58,18,2 0,0x123F6DBF,15,3,3
58,19,2 0,0x193F6EAB,15,3,3
58,20,2 0,0x193F6EC0,15,3,3
58,21,2 0,0x193F6ED7,15,3,3
58,22,2 0,0x183F2FA5,15,3,3
58,23,2 0,0x183F2FB9,15,3,3
58,24,2 0,0x183F2FD0,15,3,3
106,0,2 7,0x053F475F,10,3,1
106,1,2 7,0x053F476A,10,3,1
106,2,2 7,0x053F4777,10,3,1
106,3,2 7,0x053F4786,10,3,1
106,4,2 7,0x053F4797,10,3,1
106,5,2 7,0x053F47A9,10,3,1
106,6,2 7,0x053F47BD,10,3,1
106,7,2 7,0x0E3F4986,10,3,1
106,8,2 7,0x0E3F4996,10,3,1
106,9,2 7,0x0E3F49A8,10,3,1
106,10,2 7,0x0E3F49BD,10,3,1
106,11,2 7,0x133F4C66,10,3,1
106,12,2 7,0x133F4C72,10,3,1
106,13,2 7,0x133F4C80,10,3,1
106,14,2 7,0x133F4C90,10,3,1
106,15,2 7,0x133F4CA2,10,3,1
106,16,2 7,0x133F4CB5,10,3,1
106,17,2 7,0x133F4CCC,10,3,1
106,18,2 7,0x1A3F4DB3,10,3,1
106,19,2 7,0x1A3F4DC9,10,3,1
106,20,2 7,0x193F4EB3,10,3,1
106,21,2 7,0x193F4EC9,10,3,1
106,22,2 7,0x193F4EE1,10,3,1
106,23,2 7,0x193F4EE8,10,3,1
106,24,2 7,0x193F4EE8,10,3,1
106,0,2 0,0x053F6760,9,3,1
106,1,2 0,0x053F676C,9,3,1
106,2,2 0,0x053F6779,9,3,1
106,3,2 0,0x053F6788,9,3,1
106,4,2 0,0x053F6799,9,3,1
106,5,2 0,0x053F67AB,9,3,1
106,6,2 0,0x053F67C0,9,3,1
106,7,2 0,0x0E3F6988,9,3,1
106,8,2 0,0x0E3F6999,9,3,1
106,9,2 0,0x0E3F69AC,9,3,1
106,10,2 0,0x0E3F69C1,9,3,1
106,11,2 0,0x0B3F6C65,9,3,1
106,12,2 0,0x0B3F6C71,9,3,1
106,13,2 0,0x0B3F6C7F,9,3,1
106,14,2 0,0x0B3F6C8F,9,3,1
106,15,2 0,0x0B3F6CA0,9,3,1
106,16,2 0,0x0B3F6CB3,9,3,1
106,17,2 0,0x0B3F6CC9,9,3,1
106,18,2 0,0x123F6DB2,9,3,1
106,19,2 0,0x123F6DC8,9,3,1
106,20,2 0,0x193F6EB5,9,3,1
106,21,2 0,0x193F6ECB,9,3,1
106,22,2 0,0x193F6EE4,9,3,1
106,23,2 0,0x183F2FC4,9,3,1
106,24,2 0,0x183F2FDC,9,3,1
122,0,2 7,0x053F4767,8,3,0
122,1,2 7,0x053F4773,8,3,0
122,2,2 7,0x053F4782,8,3,0
122,3,2 7,0x053F4792,8,3,0
122,4,2 7,0x053F47A3,8,3,0
122,5,2 7,0x053F47B7,8,3,0
122,6,2 7,0x0E3F497A,8,3,0
122,7,2 7,0x0E3F4989,8,3,0
122,8,2 7,0x0E3F499A,8,3,0
122,9,2 7,0x0E3F49AD,8,3,0
122,10,2 7,0x0E3F49C2,8,3,0
122,11,2 7,0x133F4C66,8,3,0
