addr ,item,BITS,FIELD Name,ACC,Default,Description
40344030,reg 30,2:0,wf_pa5g_vl1_rfdyn_vthbit,rw,0x4,
4034400C,reg_0C,24,wf_test_enable_dtmx,rw,0x0,
40344008,reg_08,2:0,wf_test_bit,rw,0x0,
4034400C,reg_0C,25,wf_test_enable_pa,rw,0x0,
4034400C,reg_0C,15,wf_test_enable_vco,rw,0x0,
40509004,reg_04,19:17,cm_test_bit,rw,0x0,
40509004,reg_04,15,cm_test_enable_mdll,rw,0x0,
4034400C,reg_0C,16,wf_test_enable_rfpll,rw,0x0,
40622008,reg_08,24,bt_test_enable_dpa_ldo,rw,0x0,
40622008,reg_08,26,bt_test_enable_dpa,rw,0x0,
40622004,reg_04,2:0,bt_test_bit,rw,0x0,
40502018,ana_port_ctrl,0,test_enable_usb,rw,0x0,
40502018,ana_port_ctrl,14:11,io_test_bit,rw,0x0,
40502018,ana_port_ctrl,1,test_enable_pcie_pll,rw,0x0,
40509004,reg_04,16,cm_test_enable_xtal,rw,0x0,
4034400C,reg_0C,30,wf_test_enable_lna_5g_preamp,rw,0x0,
4034400C,reg_0C,29,wf_test_enable_lna,rw,0x0,
4034400C,reg_0C,28,wf_test_enable_rmx,rw,0x0,
4034400C,reg_0C,27:26,wf_test_enable_tia,rw,0x0,
40622008,reg_08,31,bt_test_enable_lna,rw,0x0,
40622008,reg_08,30,bt_test_enable_rmx,rw,0x0,
40622008,reg_08,29,bt_test_enable_tia,rw,0x0,
4010D008,cfg_msadc_sw_ctrl1,3:0,pmu_muxadc_bit_cpus,rw,0x0,
4034400C,reg_0C,19,wf_test_enable_adc,rw,0x0
4034400C,reg_0C,21:20,wf_test_enable_rxflt,rw,0x0
