Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,-40¡æ,,,,,20¡æ,,,,,70¡æ,,,
,,,,,,,,,,,,,,,,,,,,,,,
dtmx_dvdd_sw,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_ON,1032.68975,-291.9858949,1032.87427,1032.87427,,1011.801982,-66.98109193,1011.248419,1011.801982,,982.0203064,129.3860652,981.4298395,982.0203064
dtmx_vref_lo,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_ON,804.0314324,803.7731031,803.7731031,804.0314324,,818.5716804,818.5347763,818.3502554,818.5716804,,822.7787573,823.0739908,1214,822.7787573
dtmx_dac_vb,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,522.7846547,522.6739421,522.7108463,522.7846547,,-66.64895428,503.5575754,503.483767,503.5575754,,130.2348614,487.2090224,487.2828307,487.2828307
dtmx_dac_vb_cscd,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,319.7747446,-291.2478113,319.6640321,319.7747446,,325.9746474,-66.20610409,326.1960725,326.1960725,,333.576909,130.1979572,333.3185798,333.576909
dtmx_logen_reg,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,1082.325875,1082.178259,-291.2109071,1082.325875,,1070.848675,1070.553441,-66.02158317,1070.848675,,1047.377614,1047.303806,1047.599039,1047.599039
dtmx_logen_dvdd_dll,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b101,WF_TX_ON,1068.597519,1068.634424,1068.597519,1068.634424,,1053.68823,1053.909655,1053.87275,1053.909655,,1030.881445,1031.065965,1030.733828,1031.065965
dtmx_logen_vbn_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b110,WF_TX_ON,626.7437378,626.6330253,626.7437378,626.7437378,,604.3059946,604.3428988,604.2321863,604.3428988,,582.9015686,130.7515199,582.8646644,582.9015686
dtmx_logen_vbp_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b111,WF_TX_ON,413.0316148,412.9578064,-291.3216196,413.0316148,,772.478356,408.5662087,408.640017,408.5662087,,395.9080739,395.9080739,395.6128405,395.9080739
pa_bias_hb_vl2,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_hb_ON,390.2617339,390.9629134,390.8891051,390.9629134,,355.6087062,355.5348979,355.3134728,355.6087062,,323.1699295,323.3175462,323.2068337,323.3175462
pa_bias_hb_vl1,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_hb_ON,378.7107247,378.563108,378.6000122,378.7107247,,346.4933731,346.4195647,346.4933731,346.4933731,,316.5271766,316.3795598,316.3057515,316.5271766
pa_bias_lb_vl,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,-289.6240272,371.0715589,370.9977505,371.0715589,,-63.95494893,364.9454645,364.9085603,364.9454645,,132.9288667,330.0710117,329.9602991,330.0710117
pa_bias_vm,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,486.0649927,486.2864178,486.0649927,486.2864178,,484.8102505,-44.35882782,484.8102505,484.8102505,,476.433001,1114.100377,476.3960968,476.433001
