Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,,
,,,,,,,,,,,
dtmx_dvdd_sw,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_ON,,1051.806116
dtmx_vref_lo,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_ON,,816.6157588
dtmx_dac_vb,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,,546.661661
dtmx_dac_vb_cscd,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,,369.078733
dtmx_logen_reg,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,,10.70221304
dtmx_logen_dvdd_dll,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b101,WF_TX_ON,,10.81292558
dtmx_logen_vbn_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b110,WF_TX_ON,,-31.73759728
dtmx_logen_vbp_mont,WF,DTMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_dtmx,1'b1,wf_test_bit<2:0>,3'b111,WF_TX_ON,,10.88673395
pa_bias_hb_vl2,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b000,WF_TX_hb_ON,,332.2114543
pa_bias_hb_vl1,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b001,WF_TX_hb_ON,,317.9295355
pa_bias_lb_vl,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b010,WF_TX_ON,,-28.2316999
pa_bias_vm,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b011,WF_TX_ON,,483.4816999
pa_bg_v1v,WF,PA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_pa,1'b1,wf_test_bit<2:0>,3'b100,WF_TX_ON,,989.2166221
vco_reg_buf,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,,-40.66840953
vco_reg_core,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,,1078.155703
vco_avdd13_sw,WF,VCO,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_vco,1'b1,wf_test_bit<2:0>,3'b010,WF_PLL_ON,,-42.62433123
mdll_avdd_logic_dig,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b000,WF_PLL_ON,,1028.445768
mdll_avdd_logic,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b001,WF_PLL_ON,,1214
mdll_cp_out1,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b010,WF_PLL_ON,,304.8285506
mdll_cp_out0,CM,MDLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_mdll,1'b1,cm_test_bit<2:0>,3'b011,WF_PLL_ON,,305.0868799
rfpll_cp_outp,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b111,WF_PLL_ON,,437.7574173
rfpll_cp_outn,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b100,WF_PLL_ON,,624.2711576
avdd_pdt,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b001,WF_PLL_ON,,1040.439628
dvdd,WF,RFPLL,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rfpll,1'b1,wf_test_bit<2:0>,3'b000,WF_PLL_ON,,1006.783013
dpa_ldo,BT,DPA_LDO,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa_ldo,1'b1,bt_test_bit<2:0>,3'b000,BT_TX_ON,,-45.20762403
dvdd_dpa_reg,BT,DPA,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_dpa,1'b1,bt_test_bit<2:0>,3'b111,BT_TX_ON,,10.5545963
usb_refh,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b10100,USB_ON,,8.746291342
usb_refl,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_usb,1'b1,io_test_bit<3:0>,4'b10101,USB_ON,,-43.36241488
usb_dp,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1010,test_enable_usb,1'b1,io_test_bit<3:0>,4'b10000,USB_ON,,1.217838035
usb_dm,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1010,test_enable_usb,1'b1,io_test_bit<3:0>,4'b10000,USB_ON,,1.033317121
usb_vcal,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1010,test_enable_usb,1'b1,io_test_bit<3:0>,4'b10100,USB_ON,,8.96771644
usb_avss,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1010,test_enable_usb,1'b1,io_test_bit<3:0>,4'b10100,USB_ON,,8.96771644
pcie_pll_dvdd,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b001,PCIE_ON,,10.40697957
pcie_pll_avdd_vco,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b010,PCIE_ON,,10.5545963
