Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,2,7,15,12.41,-36.35
58,0,4,2,7,15,12.26,-36.36
106,0,4,2,7,15,12.61,-35.36
122,0,4,2,7,15,12.20,-36.21
138,0,4,2,7,15,12.84,-38.46
155,0,4,2,7,15,12.02,-38.46
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,2,0,15,13.43,-34.79
42,0,4,2,1,15,13.42,-35.02
42,0,4,2,2,15,13.36,-34.87
42,0,4,2,3,15,13.24,-35.07
42,0,4,2,4,15,13.08,-35.25
42,0,4,2,5,15,12.90,-35.28
42,0,4,2,6,15,12.67,-35.68
42,0,4,2,7,15,12.40,-35.95
58,0,4,2,0,15,13.36,-35.70
58,0,4,2,1,15,13.34,-35.72
58,0,4,2,2,15,13.28,-35.82
58,0,4,2,3,15,13.16,-35.87
58,0,4,2,4,15,13.00,-35.98
58,0,4,2,5,15,12.78,-36.19
58,0,4,2,6,15,12.54,-36.33
58,0,4,2,7,15,12.25,-36.67
106,0,4,2,0,15,13.71,-36.60
106,0,4,2,1,15,13.64,-36.98
106,0,4,2,2,15,13.57,-36.92
106,0,4,2,3,15,13.48,-36.60
106,0,4,2,4,15,13.35,-36.16
106,0,4,2,5,15,13.17,-35.76
106,0,4,2,6,15,12.92,-35.48
106,0,4,2,7,15,12.61,-35.13
122,0,4,2,0,15,13.29,-37.65
122,0,4,2,1,15,13.23,-38.18
122,0,4,2,2,15,13.17,-38.37
122,0,4,2,3,15,13.07,-38.24
122,0,4,2,4,15,12.95,-37.96
122,0,4,2,5,15,12.73,-37.46
122,0,4,2,6,15,12.49,-37.03
122,0,4,2,7,15,12.17,-36.46
138,0,4,2,0,15,13.79,-37.30
138,0,4,2,1,15,13.78,-37.39
138,0,4,2,2,15,13.76,-37.66
138,0,4,2,3,15,13.68,-38.16
138,0,4,2,4,15,13.55,-38.56
138,0,4,2,5,15,13.35,-38.92
138,0,4,2,6,15,13.12,-38.93
138,0,4,2,7,15,12.86,-38.22
