Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,0,0,0,0,11.24,-35.10
42,0,0,0,0,1,11.29,-35.47
42,0,0,0,0,2,11.28,-35.38
42,0,0,0,0,3,11.37,-35.97
42,0,0,0,0,4,11.34,-35.65
42,0,0,0,0,5,11.36,-35.55
42,0,0,0,0,6,11.38,-35.10
42,0,0,0,0,7,11.40,-35.92
42,0,0,0,0,8,11.36,-35.38
42,0,0,0,0,9,11.36,-35.35
42,0,0,0,0,10,11.37,-35.65
42,0,0,0,0,11,11.37,-35.54
42,0,0,0,0,12,11.34,-35.40
42,0,0,0,0,13,11.35,-35.44
42,0,0,0,0,14,11.35,-35.58
42,0,0,0,0,15,11.33,-36.17
42,0,0,0,1,0,11.06,-36.18
42,0,0,0,1,1,11.07,-35.08
42,0,0,0,1,2,11.09,-35.85
42,0,0,0,1,3,11.16,-36.18
42,0,0,0,1,4,11.17,-36.28
42,0,0,0,1,5,11.19,-36.32
42,0,0,0,1,6,11.15,-35.83
42,0,0,0,1,7,11.13,-35.11
42,0,0,0,1,8,11.20,-36.18
42,0,0,0,1,9,11.15,-36.16
42,0,0,0,1,10,11.13,-36.31
42,0,0,0,1,11,11.12,-35.84
42,0,0,0,1,12,11.11,-36.01
42,0,0,0,1,13,11.10,-35.78
42,0,0,0,1,14,11.06,-35.49
42,0,0,0,1,15,11.06,-36.43
42,0,0,0,2,0,10.80,-35.63
42,0,0,0,2,1,10.84,-35.73
42,0,0,0,2,2,10.86,-35.69
42,0,0,0,2,3,10.89,-35.58
42,0,0,0,2,4,10.90,-35.55
42,0,0,0,2,5,10.91,-36.24
42,0,0,0,2,6,10.90,-35.48
42,0,0,0,2,7,10.90,-36.02
42,0,0,0,2,8,10.92,-36.32
42,0,0,0,2,9,10.88,-36.57
42,0,0,0,2,10,10.87,-36.20
42,0,0,0,2,11,10.80,-35.73
42,0,0,0,2,12,10.78,-36.14
42,0,0,0,2,13,10.77,-36.48
42,0,0,0,2,14,10.76,-35.92
42,0,0,0,2,15,10.70,-36.04
42,0,0,0,3,0,10.46,-36.37
42,0,0,0,3,1,10.48,-35.74
42,0,0,0,3,2,10.49,-35.77
42,0,0,0,3,3,10.53,-36.66
42,0,0,0,3,4,10.51,-35.93
42,0,0,0,3,5,10.52,-35.99
42,0,0,0,3,6,10.52,-35.94
42,0,0,0,3,7,10.55,-37.43
42,0,0,0,3,8,10.51,-36.73
42,0,0,0,3,9,10.44,-36.91
42,0,0,0,3,10,10.46,-37.25
42,0,0,0,3,11,10.41,-37.64
42,0,0,0,3,12,10.38,-37.20
42,0,0,0,3,13,10.35,-37.44
42,0,0,0,3,14,10.32,-37.51
42,0,0,0,3,15,10.25,-36.64
42,0,0,0,4,0,10.00,-37.03
42,0,0,0,4,1,10.03,-37.00
42,0,0,0,4,2,10.04,-37.57
42,0,0,0,4,3,10.05,-37.39
42,0,0,0,4,4,10.03,-36.91
42,0,0,0,4,5,10.05,-37.15
42,0,0,0,4,6,9.98,-38.17
42,0,0,0,4,7,9.92,-37.15
42,0,0,0,4,8,9.96,-37.33
42,0,0,0,4,9,9.85,-37.25
42,0,0,0,4,10,9.90,-38.37
42,0,0,0,4,11,9.79,-37.52
42,0,0,0,4,12,9.79,-38.54
42,0,0,0,4,13,9.70,-38.13
42,0,0,0,4,14,9.68,-37.26
42,0,0,0,4,15,9.60,-37.98
42,0,0,0,5,0,9.17,-37.27
42,0,0,0,5,1,9.27,-38.06
42,0,0,0,5,2,9.16,-36.68
42,0,0,0,5,3,9.18,-37.33
42,0,0,0,5,4,9.20,-37.40
42,0,0,0,5,5,9.19,-38.17
42,0,0,0,5,6,9.14,-37.28
42,0,0,0,5,7,9.02,-37.19
42,0,0,0,5,8,8.99,-37.16
42,0,0,0,5,9,8.92,-38.33
42,0,0,0,5,10,8.88,-37.77
42,0,0,0,5,11,8.76,-38.35
42,0,0,0,5,12,8.68,-37.74
42,0,0,0,5,13,8.63,-38.26
42,0,0,0,5,14,8.64,-39.54
42,0,0,0,5,15,8.55,-38.24
42,0,0,0,6,0,8.02,-38.41
42,0,0,0,6,1,8.01,-38.68
42,0,0,0,6,2,8.01,-37.74
42,0,0,0,6,3,7.95,-37.49
42,0,0,0,6,4,7.99,-38.14
42,0,0,0,6,5,7.91,-38.35
42,0,0,0,6,6,7.80,-37.24
42,0,0,0,6,7,7.74,-38.25
42,0,0,0,6,8,7.75,-37.88
42,0,0,0,6,9,7.48,-37.49
42,0,0,0,6,10,7.46,-37.78
42,0,0,0,6,11,7.25,-37.12
42,0,0,0,6,12,7.27,-38.68
42,0,0,0,6,13,7.13,-38.87
42,0,0,0,6,14,7.16,-38.34
42,0,0,0,6,15,7.06,-37.11
42,0,0,0,7,0,6.11,-37.25
42,0,0,0,7,1,6.14,-37.24
42,0,0,0,7,2,6.07,-36.91
42,0,0,0,7,3,6.09,-36.97
42,0,0,0,7,4,6.08,-36.83
42,0,0,0,7,5,5.97,-37.05
42,0,0,0,7,6,6.00,-36.86
42,0,0,0,7,7,5.80,-36.55
42,0,0,0,7,8,5.73,-36.74
42,0,0,0,7,9,5.46,-36.71
42,0,0,0,7,10,5.40,-36.59
42,0,0,0,7,11,5.28,-36.77
