CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
7,5 11,0xC93F434D,6,2,6,2,16,16,16,16
7,5 11,0xC93F434D,6,2,6,2,16,16,16,16
7,5 11,0xC93F434D,6,2,6,2,16,16,16,16
7,5 11,0xC93F4356,6,2,6,2,16,16,16,16
7,5 11,0xC93F4361,6,2,6,2,16,16,16,16
7,5 11,0xC93F436D,6,2,6,2,16,16,16,16
7,5 11,0xCA3F454D,6,2,6,2,16,16,16,16
7,5 11,0xCA3F4556,6,2,6,2,16,16,16,16
7,5 11,0xCA3F4561,6,2,6,2,16,16,16,16
7,5 11,0xCA3F456D,6,2,6,2,16,16,16,16
7,5 11,0xCB3F474D,6,2,6,2,16,16,16,16
7,5 11,0xCB3F4756,6,2,6,2,16,16,16,16
7,5 11,0xCB3F4760,6,2,6,2,16,16,16,16
7,5 11,0xCB3F476C,6,2,6,2,16,16,16,16
7,5 11,0xCC3F4961,5,2,5,2,16,16,16,16
7,5 11,0xCC3F496D,5,2,5,2,16,16,16,16
7,5 11,0xCC3F497A,5,2,5,2,16,16,16,16
7,5 11,0xCC3F4989,5,2,5,2,16,16,16,16
7,5 11,0xD53F4B85,9,2,9,2,16,16,16,16
7,5 11,0xD53F4B95,9,2,9,2,16,16,16,16
7,5 11,0xD53F4BA8,9,2,9,2,16,16,16,16
7,5 0,0xC93F634C,6,5,6,5,16,16,16,16
7,5 0,0xC93F634C,6,5,6,5,16,16,16,16
7,5 0,0xC93F6355,6,5,6,5,16,16,16,16
7,5 0,0xC93F6360,6,5,6,5,16,16,16,16
7,5 0,0xC93F636B,6,5,6,5,16,16,16,16
7,5 0,0xCA3F654C,6,5,6,5,16,16,16,16
7,5 0,0xCA3F6555,6,5,6,5,16,16,16,16
7,5 0,0xCA3F6560,6,5,6,5,16,16,16,16
7,5 0,0xCA3F656B,6,5,6,5,16,16,16,16
7,5 0,0xCB3F674C,6,4,6,4,16,16,16,16
7,5 0,0xCB3F6756,6,4,6,4,16,16,16,16
7,5 0,0xCB3F6760,6,4,6,4,16,16,16,16
7,5 0,0xCB3F676C,6,4,6,4,16,16,16,16
7,5 0,0xCC3F6961,6,4,6,4,16,16,16,16
7,5 0,0xCC3F696D,6,4,6,4,16,16,16,16
7,5 0,0xCC3F697A,6,4,6,4,16,16,16,16
7,5 0,0xCC3F6989,6,4,6,4,16,16,16,16
