CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
7,5 11,0xC93F434C,8,3,8,3,16,16,16,16
7,5 11,0xC93F434C,8,3,8,3,16,16,16,16
7,5 11,0xC93F434C,8,3,8,3,16,16,16,16
7,5 11,0xC93F4355,8,3,8,3,16,16,16,16
7,5 11,0xC93F4360,8,3,8,3,16,16,16,16
7,5 11,0xC93F436C,8,3,8,3,16,16,16,16
7,5 11,0xCA3F454C,8,3,8,3,16,16,16,16
7,5 11,0xCA3F4555,8,3,8,3,16,16,16,16
7,5 11,0xCA3F4560,8,3,8,3,16,16,16,16
7,5 11,0xCA3F456C,8,3,8,3,16,16,16,16
7,5 11,0xCB3F474C,8,3,8,3,16,16,16,16
7,5 11,0xCB3F4756,8,3,8,3,16,16,16,16
7,5 11,0xCB3F4760,8,3,8,3,16,16,16,16
7,5 11,0xCB3F476C,8,3,8,3,16,16,16,16
7,5 11,0xCC3F4961,7,3,7,3,16,16,16,16
7,5 11,0xCC3F496D,7,3,7,3,16,16,16,16
7,5 11,0xCC3F497A,7,3,7,3,16,16,16,16
7,5 11,0xCC3F4989,7,3,7,3,16,16,16,16
7,5 11,0xD53F4B6B,11,3,11,3,16,16,16,16
7,5 11,0xD53F4B78,11,3,11,3,16,16,16,16
7,5 11,0xD53F4B86,11,3,11,3,16,16,16,16
7,5 11,0xD53F4B97,11,3,11,3,16,16,16,16
7,5 11,0xDE3F4D67,10,3,10,3,16,16,16,16
7,5 11,0xDE3F4D73,10,3,10,3,16,16,16,16
7,5 11,0xDE3F4D81,10,3,10,3,16,16,16,16
7,5 0,0xC93F634E,8,6,8,6,16,16,16,16
7,5 0,0xC93F634E,8,6,8,6,16,16,16,16
7,5 0,0xC93F6358,8,6,8,6,16,16,16,16
7,5 0,0xC93F6362,8,6,8,6,16,16,16,16
7,5 0,0xC93F636E,8,6,8,6,16,16,16,16
7,5 0,0xCA3F654E,8,6,8,6,16,16,16,16
7,5 0,0xCA3F6558,8,6,8,6,16,16,16,16
7,5 0,0xCA3F6562,8,6,8,6,16,16,16,16
7,5 0,0xCA3F656E,8,6,8,6,16,16,16,16
7,5 0,0xCB3F674E,8,5,8,5,16,16,16,16
7,5 0,0xCB3F6757,8,5,8,5,16,16,16,16
7,5 0,0xCB3F6762,8,5,8,5,16,16,16,16
7,5 0,0xCB3F676E,8,5,8,5,16,16,16,16
7,5 0,0xCC3F6961,8,5,8,5,16,16,16,16
7,5 0,0xCC3F696D,8,5,8,5,16,16,16,16
7,5 0,0xCC3F697A,8,5,8,5,16,16,16,16
7,5 0,0xCC3F6989,8,5,8,5,16,16,16,16
7,5 0,0xD0FFEB49,8,3,8,3,16,16,16,16
7,5 0,0xD0FFEB52,8,3,8,3,16,16,16,16
7,5 0,0xD0FFEB5C,8,3,8,3,16,16,16,16
7,5 0,0xD0FFEB68,8,3,8,3,16,16,16,16
7,5 0,0xD8FFED4E,8,2,8,2,16,16,16,16
7,5 0,0xD8FFED57,8,2,8,2,16,16,16,16
7,5 0,0xD8FFED62,8,2,8,2,16,16,16,16
7,5 0,0xD8FFED6E,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD07A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD07A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD07A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD16D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD17A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD26D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD27A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD36D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD37A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD46D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD47A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD56D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD57A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD66D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD67A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD76D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD77A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD86D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD87A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD96D,8,2,8,2,16,16,16,16
7,0 3,0xC0FFD97A,8,2,8,2,16,16,16,16
7,0 3,0xC0FFDA6B,12,2,12,2,16,16,16,16
7,0 3,0xC0FFDA78,12,2,12,2,16,16,16,16
7,0 3,0xC0FFDB66,12,2,12,2,16,16,16,16
7,0 3,0xC0FFDB72,12,2,12,2,16,16,16,16
42,5 11,0xC23F5574,8,8,8,8,9,16,9,16
42,5 11,0xC23F5582,8,8,8,8,9,16,9,16
42,5 11,0xC23F5592,8,8,8,8,9,16,9,16
42,5 11,0xC23F55A4,8,8,8,8,9,16,9,16
42,5 11,0xC33F5774,8,8,8,8,9,16,9,16
42,5 11,0xC33F5782,8,8,8,8,9,16,9,16
42,5 11,0xC33F5791,8,8,8,8,9,16,9,16
42,5 11,0xC33F57A3,8,8,8,8,9,16,9,16
42,5 11,0xD43F596D,8,8,8,8,9,16,9,16
42,5 11,0xD43F597A,8,8,8,8,9,16,9,16
42,5 11,0xD43F5989,8,8,8,8,9,16,9,16
42,5 11,0xD43F599A,8,8,8,8,9,16,9,16
