CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
42,5 11,0xC23F5587,8,8,8,8,8,16,8,16
42,5 11,0xC23F5597,8,8,8,8,8,16,8,16
42,5 11,0xC23F55AB,8,8,8,8,8,16,8,16
42,5 11,0xC33F5779,8,8,8,8,8,16,8,16
42,5 11,0xC33F5788,8,8,8,8,8,16,8,16
42,5 11,0xC33F5799,8,8,8,8,8,16,8,16
42,5 11,0xC33F57AB,8,8,8,8,8,16,8,16
42,5 11,0xD43F596E,8,8,8,8,8,16,8,16
42,5 11,0xD43F597B,8,8,8,8,8,16,8,16
42,5 11,0xD43F598A,8,8,8,8,8,16,8,16
42,5 11,0xD43F599B,8,8,8,8,8,16,8,16
42,5 11,0xD53F5B66,8,8,8,8,8,16,8,16
42,5 11,0xD53F5B72,8,8,8,8,8,16,8,16
42,5 11,0xD53F5B80,8,8,8,8,8,16,8,16
42,5 11,0xD53F5B90,8,8,8,8,8,16,8,16
42,5 11,0xDE3F5D63,8,8,8,8,8,16,8,16
42,5 11,0xDE3F5D6F,8,8,8,8,8,16,8,16
42,5 11,0xDE3F5D7D,8,8,8,8,8,16,8,16
42,5 11,0xDE3F5D8C,8,8,8,8,8,16,8,16
42,5 11,0xDF3F5F98,8,8,8,8,5,19,5,19
42,5 11,0xDF3F5FAA,8,8,8,8,5,19,5,19
42,5 11,0xDF3F5FBF,8,8,8,8,5,19,5,19
42,5 11,0xDF3F5FD6,8,8,8,8,5,19,5,19
42,5 11,0xDF3F5FD6,8,8,8,8,5,19,5,19
42,5 11,0xDF3F5FD6,8,8,8,8,5,19,5,19
58,5 11,0xC23F5591,8,8,8,8,8,14,8,14
58,5 11,0xC23F55A4,8,8,8,8,8,14,8,14
58,5 11,0xC33F5774,8,8,8,8,8,14,8,14
58,5 11,0xC33F5783,8,8,8,8,8,14,8,14
58,5 11,0xC33F5793,8,8,8,8,8,14,8,14
58,5 11,0xC33F57A5,8,8,8,8,8,14,8,14
58,5 11,0xD43F596B,8,8,8,8,8,14,8,14
58,5 11,0xD43F5978,8,8,8,8,8,14,8,14
58,5 11,0xD43F5987,8,8,8,8,8,14,8,14
58,5 11,0xD43F5997,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B66,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B72,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B80,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B90,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D63,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D6F,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D7D,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D8C,8,8,8,8,8,14,8,14
58,5 11,0xDF3F5F83,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5F93,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FA4,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB8,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB8,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB8,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB8,8,8,8,8,5,17,5,17
106,5 11,0xC23F556E,8,8,8,8,7,11,7,11
106,5 11,0xC23F557A,8,8,8,8,7,11,7,11
106,5 11,0xC23F558A,8,8,8,8,7,11,7,11
106,5 11,0xC23F559C,8,8,8,8,7,11,7,11
106,5 11,0xC33F576E,8,8,8,8,7,11,7,11
106,5 11,0xC33F577B,8,8,8,8,7,11,7,11
106,5 11,0xC33F578A,8,8,8,8,7,11,7,11
106,5 11,0xC33F579B,8,8,8,8,7,11,7,11
106,5 11,0xD43F5968,8,8,8,8,7,11,7,11
106,5 11,0xD43F5975,8,8,8,8,7,11,7,11
106,5 11,0xD43F5983,8,8,8,8,7,11,7,11
106,5 11,0xD43F5993,8,8,8,8,7,11,7,11
106,5 11,0xD53F5B66,8,8,8,8,7,11,7,11
106,5 11,0xD53F5B72,8,8,8,8,7,11,7,11
106,5 11,0xD53F5B80,8,8,8,8,7,11,7,11
106,5 11,0xD53F5B90,8,8,8,8,7,11,7,11
106,5 11,0xDE3F5D66,8,8,8,8,7,11,7,11
106,5 11,0xDE3F5D73,8,8,8,8,7,11,7,11
106,5 11,0xDE3F5D81,8,8,8,8,7,11,7,11
106,5 11,0xDE3F5D90,8,8,8,8,7,11,7,11
106,5 11,0xDF3F5F7C,8,8,8,8,2,14,2,14
106,5 11,0xDF3F5F8B,8,8,8,8,2,14,2,14
106,5 11,0xDF3F5F9C,8,8,8,8,2,14,2,14
106,5 11,0xDF3F5FAF,8,8,8,8,2,14,2,14
106,5 11,0xDF3F5FAF,8,8,8,8,2,14,2,14
122,5 11,0xC23F5570,8,8,8,8,5,10,5,10
122,5 11,0xC23F557C,8,8,8,8,5,10,5,10
122,5 11,0xC23F558D,8,8,8,8,5,10,5,10
122,5 11,0xC23F559F,8,8,8,8,5,10,5,10
122,5 11,0xC33F5770,8,8,8,8,5,10,5,10
122,5 11,0xC33F577D,8,8,8,8,5,10,5,10
122,5 11,0xC33F578D,8,8,8,8,5,10,5,10
122,5 11,0xC33F579E,8,8,8,8,5,10,5,10
122,5 11,0xD43F5969,8,8,8,8,5,10,5,10
122,5 11,0xD43F5976,8,8,8,8,5,10,5,10
122,5 11,0xD43F5985,8,8,8,8,5,10,5,10
122,5 11,0xD43F5995,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B66,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B72,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B80,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B90,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D67,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D74,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D82,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D92,8,8,8,8,5,10,5,10
122,5 11,0xDF3F5F84,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5F95,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5FA7,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5FBB,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5FBB,8,8,8,8,1,13,1,13
138,5 11,0xC23F5573,8,8,8,8,4,9,3,9
138,5 11,0xC23F557F,8,8,8,8,4,9,3,9
138,5 11,0xC23F5591,8,8,8,8,4,9,3,9
138,5 11,0xC23F55A3,8,8,8,8,4,9,3,9
138,5 11,0xC33F5773,8,8,8,8,4,9,3,9
138,5 11,0xC33F5781,8,8,8,8,4,9,3,9
138,5 11,0xC33F5791,8,8,8,8,4,9,3,9
138,5 11,0xC33F57A3,8,8,8,8,4,9,3,9
138,5 11,0xD43F596B,8,8,8,8,4,9,3,9
138,5 11,0xD43F5978,8,8,8,8,4,9,3,9
138,5 11,0xD43F5986,8,8,8,8,4,9,3,9
138,5 11,0xD43F5997,8,8,8,8,4,9,3,9
138,5 11,0xD53F5B66,8,8,8,8,4,9,3,9
138,5 11,0xD53F5B72,8,8,8,8,4,9,3,9
138,5 11,0xD53F5B80,8,8,8,8,4,9,3,9
138,5 11,0xD53F5B90,8,8,8,8,4,9,3,9
138,5 11,0xDE3F5D68,8,8,8,8,4,9,3,9
138,5 11,0xDE3F5D74,8,8,8,8,4,9,3,9
138,5 11,0xDE3F5D83,8,8,8,8,4,9,3,9
138,5 11,0xDE3F5D93,8,8,8,8,4,9,3,9
138,5 11,0xDF3F5F88,8,8,8,8,1,13,0,13
138,5 11,0xDF3F5F98,8,8,8,8,1,13,0,13
138,5 11,0xDF3F5FAB,8,8,8,8,1,13,0,13
138,5 11,0xDF3F5FC0,8,8,8,8,1,13,0,13
138,5 11,0xDF3F5FC0,8,8,8,8,1,13,0,13
155,5 11,0xC23F5570,8,8,8,8,3,6,3,6
155,5 11,0xC23F557C,8,8,8,8,3,6,3,6
155,5 11,0xC23F558D,8,8,8,8,3,6,3,6
155,5 11,0xC23F559F,8,8,8,8,3,6,3,6
155,5 11,0xC33F5770,8,8,8,8,3,6,3,6
155,5 11,0xC33F577D,8,8,8,8,3,6,3,6
155,5 11,0xC33F578D,8,8,8,8,3,6,3,6
155,5 11,0xC33F579E,8,8,8,8,3,6,3,6
155,5 11,0xD43F5969,8,8,8,8,3,6,3,6
155,5 11,0xD43F5976,8,8,8,8,3,6,3,6
155,5 11,0xD43F5984,8,8,8,8,3,6,3,6
155,5 11,0xD43F5995,8,8,8,8,3,6,3,6
155,5 11,0xD53F5B66,8,8,8,8,3,6,3,6
155,5 11,0xD53F5B72,8,8,8,8,3,6,3,6
155,5 11,0xD53F5B80,8,8,8,8,3,6,3,6
155,5 11,0xD53F5B90,8,8,8,8,3,6,3,6
155,5 11,0xDE3F5D66,8,8,8,8,3,6,3,6
155,5 11,0xDE3F5D72,8,8,8,8,3,6,3,6
155,5 11,0xDE3F5D80,8,8,8,8,3,6,3,6
155,5 11,0xDE3F5D90,8,8,8,8,3,6,3,6
155,5 11,0xDF3F5F80,8,8,8,8,0,9,0,9
155,5 11,0xDF3F5F8F,8,8,8,8,0,9,0,9
155,5 11,0xDF3F5FA1,8,8,8,8,0,9,0,9
155,5 11,0xDF3F5FB4,8,8,8,8,0,9,0,9
155,5 11,0xDF3F5FB4,8,8,8,8,0,9,0,9
