reg_name,bit_name,address,val,msb,lsb,n,pos_end,pos_start,access,comment
BUS_CFG0,rf_blk_cache_en0,0x40000000,0,0,0,1,0,0,rw,
BUS_CFG0,rf_blk_cache_en1,0x40000000,0,1,1,1,1,1,rw,
BUS_CFG0,rf_blk_cache_en2,0x40000000,0,2,2,1,2,2,rw,
BUS_CFG0,rf_blk_cache_en3,0x40000000,0,3,3,1,3,3,rw,
BUS_CFG0,rf_blk_cache_en4,0x40000000,0,4,4,1,4,4,rw,
BUS_CFG0,rf_blk_cache_en5,0x40000000,0,5,5,1,5,5,rw,
BUS_CFG0,rf_blk_cache_en6,0x40000000,0,6,6,1,6,6,rw,
BUS_CFG0,rf_blk_cache_en7,0x40000000,0,7,7,1,7,7,rw,
BUS_CFG0,rf_blk_remap_en0,0x40000000,0,8,8,1,8,8,rw,
BUS_CFG0,rf_blk_remap_en1,0x40000000,0,9,9,1,9,9,rw,
BUS_CFG0,rf_blk_remap_en2,0x40000000,0,10,10,1,10,10,rw,
BUS_CFG0,rf_blk_remap_en3,0x40000000,0,11,11,1,11,11,rw,
BUS_CFG0,rf_blk_remap_en4,0x40000000,0,12,12,1,12,12,rw,
BUS_CFG0,rf_blk_remap_en5,0x40000000,0,13,13,1,13,13,rw,
BUS_CFG0,rf_blk_remap_en6,0x40000000,0,14,14,1,14,14,rw,
BUS_CFG0,rf_blk_remap_en7,0x40000000,0,15,15,1,15,15,rw,
BUS_CFG0,rf_blk_prot_en0,0x40000000,0,16,16,1,16,16,rw,
BUS_CFG0,rf_blk_prot_en1,0x40000000,0,17,17,1,17,17,rw,
BUS_CFG0,rf_blk_prot_en2,0x40000000,0,18,18,1,18,18,rw,
BUS_CFG0,rf_blk_prot_en3,0x40000000,0,19,19,1,19,19,rw,
BUS_CFG0,rf_blk_prot_en4,0x40000000,0,20,20,1,20,20,rw,
BUS_CFG0,rf_blk_prot_en5,0x40000000,0,21,21,1,21,21,rw,
BUS_CFG0,rf_blk_prot_en6,0x40000000,0,22,22,1,22,22,rw,
BUS_CFG0,rf_blk_prot_en7,0x40000000,0,23,23,1,23,23,rw,
BUS_CFG1,rf_blk_base_addr1,0x40000004,0,28,13,16,28,13,rw,
BUS_CFG2,rf_blk_base_addr2,0x40000008,0,28,13,16,28,13,rw,
BUS_CFG3,rf_blk_base_addr3,0x4000000c,0,28,13,16,28,13,rw,
BUS_CFG4,rf_blk_base_addr4,0x40000010,0,28,13,16,28,13,rw,
BUS_CFG5,rf_blk_base_addr5,0x40000014,0,28,13,16,28,13,rw,
BUS_CFG6,rf_blk_base_addr6,0x40000018,0,28,13,16,28,13,rw,
BUS_CFG7,rf_blk_base_addr7,0x4000001c,0,28,13,16,28,13,rw,
BUS_REMAP0,rf_blk0_remap_offset,0x40000020,0,31,12,20,31,12,rw,
BUS_REMAP1,rf_blk1_remap_offset,0x40000024,0,31,12,20,31,12,rw,
BUS_REMAP2,rf_blk2_remap_offset,0x40000028,0,31,12,20,31,12,rw,
BUS_REMAP3,rf_blk3_remap_offset,0x4000002c,0,31,12,20,31,12,rw,
BUS_REMAP4,rf_blk4_remap_offset,0x40000030,0,31,12,20,31,12,rw,
BUS_REMAP5,rf_blk5_remap_offset,0x40000034,0,31,12,20,31,12,rw,
BUS_REMAP6,rf_blk6_remap_offset,0x40000038,0,31,12,20,31,12,rw,
BUS_REMAP7,rf_blk7_remap_offset,0x4000003c,0,31,12,20,31,12,rw,
CACHE_CFG0,rf_write_mode,0x40000040,0,1,0,2,1,0,rw,
CACHE_CFG0,rf_hprot_byp,0x40000040,0,5,2,4,5,2,rw,
CACHE_CFG0,rf_hprot_bus_reg,0x40000040,0,9,6,4,9,6,rw,
CACHE_CFG0,rf_hprot_cache_reg,0x40000040,0,13,10,4,13,10,rw,
CACHE_CFG0,ahb_ram_en,0x40000040,0,14,14,1,14,14,rw,
CACHE_CFG0,rf_cache_size_sel,0x40000040,0,29,28,2,29,28,rw,
CACHE_CFG0,rf_cmd_exec_mode,0x40000040,0,30,30,1,30,30,rw,
CACHE_CFG0,rf_debug_en,0x40000040,0,31,31,1,31,31,rw,
BUS_STS0,rf_prot_detect_addr,0x40000044,0,27,0,28,27,0,ro,
CACHE_STS0,rf_cache_st,0x40000048,0,3,0,4,3,0,ro,
CACHE_STS0,rf_cmd_st,0x40000048,0,6,4,3,6,4,ro,
CACHE_STS0,rf_write_ongoing,0x40000048,0,7,7,1,7,7,ro,
CMD_CFG0,rf_cmd_str_addr,0x40000050,0,27,0,28,27,0,rw,
CMD_CFG1,rf_cmd_end_addr,0x40000054,0,27,0,28,27,0,rw,
CMD_CFG2,rf_cmd_type,0x40000058,0,5,0,6,5,0,rw,
CMD_CFG2,rf_cmd_str,0x40000058,0,31,31,1,31,31,wo,
INT_EN,rf_cmd_irq_en,0x40000060,0,0,0,1,0,0,rw,
INT_EN,rf_prot_irq_en,0x40000060,0,1,1,1,1,1,rw,
INT_RAW,rf_cmd_irq_raw,0x40000064,0,0,0,1,0,0,ro,
INT_RAW,rf_prot_irq_raw,0x40000064,0,1,1,1,1,1,ro,
INT_MASK,rf_cmd_irq_mask,0x40000068,0,0,0,1,0,0,ro,
INT_MASK,rf_prot_irq_mask,0x40000068,0,1,1,1,1,1,ro,
INT_CLR,rf_cmd_irq_clr,0x4000006c,0,0,0,1,0,0,wo,
INT_CLR,rf_prot_irq_clr,0x4000006c,0,1,1,1,1,1,wo,
CACHE_WRITE_HIT_CNT,rf_write_hit_cnt,0x40000070,0,31,0,32,31,0,ro,
CACHE_WRITE_MISS_CNT,rf_write_miss_cnt,0x40000074,0,29,0,30,29,0,ro,
CACHE_WRITE_MISS_CNT,rf_write_cnt_run,0x40000074,0,30,30,1,30,30,rw,
CACHE_WRITE_MISS_CNT,rf_write_cnt_clr,0x40000074,0,31,31,1,31,31,wo,
CACHE_READ_HIT_CNT,rf_read_hit_cnt,0x40000078,0,31,0,32,31,0,ro,
CACHE_READ_MISS_CNT,rf_read_miss_cnt,0x4000007c,0,29,0,30,29,0,ro,
