Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,test_band
,,,,,,,,,,,,
loft_vi_volt_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_HB
bias_vlp_vln_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
isense_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
bias_vl_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF_HB
bias_vm_sense_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b100,WF0_TX_ON,WF_HB
bias_vh_sense_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b101,WF0_TX_ON,WF_HB
bg_v1v_diff,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b110,WF0_TX_ON,WF_HB
vsw,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,WF0_TX_ON,WF_HB
v13_sense,WF,pa_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF0_TX_ON,WF_HB
vh_sense_diff,WF,padrv_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_padrv,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_HB
vm_sense,WF,padrv_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_padrv,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
vsw,WF,padrv_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_padrv,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
vl_sense,WF,padrv_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_padrv,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
bg_1v1,WF,padrv_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_padrv,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
bias_vlp_vln_diff,WF,padrv_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_padrv,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF_HB
v1p1,WF,tmx_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_HB
vlo_sense,WF,tmx_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_HB
v0p5,WF,tmx_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
vh_sense,WF,tmx_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
vreg3_sense_diff,WF,tmx_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
vref_lo_sense_diff,WF,tmx_hb0,wf_pu_msadc,1'b1,wf_test_enable_hb0_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF_HB
loft_vi_volt_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_LB
bias_vlp_vln_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_LB
isense_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_LB
bias_vl_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF_LB
bias_vm_sense_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b100,WF0_TX_ON,WF_LB
bias_vh_sense_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b101,WF0_TX_ON,WF_LB
bg_v1v_diff,WF,pa_lb0,wf_pu_msadc,1'b1,wf_test_enable_lb0_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b110,WF0_TX_ON,WF_LB
