setpwr,,pwr,evm
0,0xC43F5650,0.17,-38.63
1,0xC43F5658,1.01,-39.25
2,0xC43F5664,2.12,-39.84
3,0xC43F5670,3.12,-40.07
4,0xC43F567C,3.98,-40.05
5,0xC43F568C,5.03,-39.77
6,0xC43F569C,5.99,-39.57
7,0xCF3F586C,7.03,-39.45
8,0xCF3F5878,7.95,-40.33
9,0xCF3F5888,9.04,-40.89
10,0xCF3F5898,10.01,-41.21
11,0xCF3F58AC,11.07,-41.16
12,0xCF3F58C0,12.02,-40.37
13,0xDB3F5C58,13.26,-39.55
14,0xDB3F5C60,13.98,-39.9
15,0xDB3F5C6C,14.99,-40.09
16,0xDB3F5C78,15.91,-39.94
17,0xDB3F5C88,16.99,-37.75
18,0xDA3F5D80,17.88,-35.51
19,0xDA3F5D94,19.08,-31.37
20,0xDA3F5DA8,20.05,-29.96
21,0xDA3F5DC4,21.13,-29.47
22,0xDA3F5DE4,21.99,-28.79
23,0xD83F5FEC,22.82,-27.58
