pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
1,56.12,13.33,12.56,3994517.0
1,56.95,14.15,13.40,3994480.0
1,57.71,14.88,14.15,3994492.0
1,58.40,15.54,14.85,3994471.0
1,59.05,16.16,15.48,3994439.0
1,59.65,16.73,16.09,3994439.0
1,60.21,17.28,16.63,3994440.0
1,60.73,17.79,17.15,3994411.0
1,61.23,18.25,17.63,3994396.0
1,61.70,18.66,18.11,3994382.0
1,62.14,19.07,18.55,3994376.0
1,62.57,19.45,18.95,3994328.0
1,62.97,19.80,19.34,3994336.0
1,63.36,20.12,19.71,3994308.0
1,63.73,20.43,20.05,3994258.0
1,64.08,20.75,20.40,3994253.0
1,64.42,21.02,20.71,3994192.0
1,64.75,21.31,21.02,3994144.0
1,65.07,21.55,21.31,3994096.0
1,65.37,21.77,21.59,3994064.0
1,65.67,21.99,21.85,3994047.0
1,65.95,22.21,22.10,3993987.0
1,66.23,22.41,22.34,3993903.0
1,66.49,22.60,22.56,3993828.0
1,66.75,22.78,22.77,3993742.0
1,67.00,22.98,22.98,3993670.0
1,67.25,23.10,23.17,3993624.0
1,67.49,23.26,23.34,3993541.0
1,67.72,23.40,23.51,3993502.0
1,67.94,23.51,23.66,3993440.0
1,68.16,23.64,23.81,3993400.0
1,68.38,23.74,23.94,3993338.0
1,68.59,23.87,24.06,3993266.0
1,68.79,23.97,24.18,3993244.0
1,68.99,24.06,24.29,3993217.0
1,69.19,24.13,24.40,3993147.0
1,69.38,24.21,24.49,3993119.0
1,69.57,24.29,24.58,3993082.0
1,69.75,24.37,24.67,3993057.0
1,69.93,24.43,24.75,3992982.0
1,70.10,24.52,24.83,3992908.0
1,70.28,24.56,24.89,3992876.0
1,70.44,24.63,24.96,3992824.0
1,70.61,24.69,25.02,3992747.0
1,70.77,24.74,25.09,3992712.0
1,70.93,24.76,25.14,3992675.0
1,71.09,24.82,25.20,3992643.0
1,71.24,24.87,25.25,3992595.0
1,71.39,24.92,25.30,3992570.0
1,71.54,24.95,25.35,3992495.0
1,71.69,25.00,25.39,3992470.0
1,71.83,25.01,25.44,3992441.0
1,71.97,25.08,25.48,3992388.0
1,72.11,25.10,25.52,3992370.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
7,56.12,13.22,12.14,3993587.0
7,56.95,14.04,12.98,3993601.0
7,57.71,14.77,13.74,3993676.0
7,58.40,15.43,14.45,3993714.0
7,59.05,16.08,15.08,3993753.0
7,59.65,16.65,15.68,3993783.0
7,60.21,17.19,16.23,3993788.0
7,60.73,17.69,16.76,3993814.0
7,61.23,18.17,17.26,3993810.0
7,61.70,18.58,17.72,3993802.0
7,62.14,18.95,18.16,3993800.0
7,62.57,19.40,18.58,3993790.0
7,62.97,19.71,18.98,3993784.0
7,63.36,20.10,19.35,3993759.0
7,63.73,20.43,19.71,3993742.0
7,64.08,20.68,20.06,3993753.0
7,64.42,21.02,20.38,3993730.0
7,64.75,21.28,20.70,3993698.0
7,65.07,21.51,20.98,3993677.0
7,65.37,21.80,21.28,3993681.0
7,65.67,22.03,21.55,3993654.0
7,65.95,22.26,21.80,3993623.0
7,66.23,22.44,22.05,3993595.0
7,66.49,22.62,22.29,3993578.0
7,66.75,22.81,22.50,3993536.0
7,67.00,23.02,22.72,3993528.0
7,67.25,23.17,22.91,3993507.0
7,67.49,23.30,23.10,3993458.0
7,67.72,23.48,23.27,3993455.0
7,67.94,23.61,23.43,3993383.0
7,68.16,23.72,23.59,3993316.0
7,68.38,23.85,23.74,3993290.0
7,68.59,23.95,23.86,3993225.0
7,68.79,24.08,23.99,3993169.0
7,68.99,24.17,24.11,3993150.0
7,69.19,24.27,24.22,3993126.0
7,69.38,24.34,24.33,3993101.0
7,69.57,24.42,24.42,3993077.0
7,69.75,24.51,24.51,3993025.0
7,69.93,24.57,24.60,3992985.0
7,70.10,24.63,24.68,3992985.0
7,70.28,24.70,24.75,3992915.0
7,70.44,24.76,24.83,3992899.0
7,70.61,24.81,24.90,3992853.0
7,70.77,24.87,24.96,3992808.0
7,70.93,24.93,25.02,3992786.0
7,71.09,24.97,25.08,3992678.0
7,71.24,25.03,25.13,3992684.0
7,71.39,25.05,25.18,3992657.0
7,71.54,25.10,25.23,3992675.0
7,71.69,25.14,25.28,3992647.0
7,71.83,25.18,25.32,3992656.0
7,71.97,25.22,25.37,3992657.0
7,72.11,25.25,25.41,3992632.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
13,56.12,12.45,11.21,3993752.0
13,56.95,13.26,12.04,3993795.0
13,57.71,14.01,12.80,3993819.0
13,58.40,14.72,13.50,3993831.0
13,59.05,15.34,14.13,3993851.0
13,59.65,15.93,14.73,3993846.0
13,60.21,16.48,15.29,3993891.0
13,60.73,16.97,15.82,3993907.0
13,61.23,17.45,16.31,3993908.0
13,61.70,17.85,16.78,3993929.0
13,62.14,18.32,17.23,3993967.0
13,62.57,18.73,17.65,3993961.0
