pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
42,56.12,10.88,11.86,3998052.0
42,56.95,11.64,12.67,3996376.0
42,57.71,12.32,13.41,3995045.0
42,58.40,13.02,14.08,3994073.0
42,59.05,13.70,14.70,3993263.0
42,59.65,14.24,15.28,3992558.0
42,60.21,14.80,15.80,3991826.0
42,60.73,15.33,16.31,3991212.0
42,61.23,15.77,16.79,3990681.0
42,61.70,16.20,17.24,3990109.0
42,62.14,16.59,17.66,3989587.0
42,62.57,17.00,18.07,3989080.0
42,62.97,17.41,18.47,3988705.0
42,63.36,17.80,18.85,3988272.0
42,63.73,18.17,19.21,3987927.0
42,64.08,18.45,19.55,3987523.0
42,64.42,18.77,19.89,3987162.0
42,64.75,19.08,20.20,3986719.0
42,65.07,19.33,20.50,3986307.0
42,65.37,19.64,20.78,3985925.0
42,65.67,19.89,21.05,3985581.0
42,65.95,20.13,21.31,3985207.0
42,66.23,20.35,21.56,3984801.0
42,66.49,20.59,21.79,3984339.0
42,66.75,20.79,22.02,3983926.0
42,67.00,20.98,22.23,3983613.0
42,67.25,21.17,22.44,3983234.0
42,67.49,21.35,22.63,3982928.0
42,67.72,21.52,22.80,3982533.0
42,67.94,21.65,22.98,3982220.0
42,68.16,21.81,23.13,3981895.0
42,68.38,21.96,23.29,3981646.0
42,68.59,22.09,23.43,3981387.0
42,68.79,22.23,23.56,3981164.0
42,68.99,22.32,23.69,3980849.0
42,69.19,22.44,23.80,3980630.0
42,69.38,22.51,23.91,3980402.0
42,69.57,22.63,24.01,3980220.0
42,69.75,22.71,24.10,3980081.0
42,69.93,22.78,24.18,3979858.0
42,70.10,22.86,24.26,3979665.0
42,70.28,22.93,24.33,3979539.0
42,70.44,22.97,24.40,3979352.0
42,70.61,23.04,24.47,3979213.0
42,70.77,23.10,24.54,3979083.0
42,70.93,23.16,24.60,3978881.0
42,71.09,23.20,24.66,3978812.0
42,71.24,23.25,24.72,3978685.0
42,71.39,23.30,24.77,3978605.0
42,71.54,23.33,24.82,3978507.0
42,71.69,23.39,24.86,3978268.0
42,71.83,23.40,24.90,3978225.0
42,71.97,23.44,24.94,3978023.0
42,72.11,23.47,24.97,3977941.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
58,56.12,2.11,2.58,3981751.0
58,56.95,3.23,3.42,3982425.0
58,57.71,3.15,4.18,3982844.0
58,58.40,3.93,4.88,3983201.0
58,59.05,4.65,5.52,3983507.0
58,59.65,5.31,6.12,3983775.0
58,60.21,5.96,6.68,3984073.0
58,60.73,6.00,7.19,3984276.0
58,61.23,6.50,7.67,3984421.0
58,61.70,7.07,8.14,3984614.0
58,62.14,7.46,8.57,3984720.0
58,62.57,7.98,8.99,3984796.0
58,62.97,8.10,9.38,3984904.0
58,63.36,8.39,9.76,3984930.0
58,63.73,8.75,10.11,3984931.0
58,64.08,9.02,10.47,3984928.0
58,64.42,9.42,10.81,3984886.0
58,64.75,9.75,11.12,3984901.0
58,65.07,10.11,11.43,3984866.0
58,65.37,10.46,11.73,3984894.0
58,65.67,10.74,12.03,3984863.0
58,65.95,11.09,12.31,3984904.0
58,66.23,11.23,12.56,3984875.0
58,66.49,11.46,12.83,3984879.0
58,66.75,11.75,13.09,3984923.0
58,67.00,12.06,13.33,3984885.0
58,67.25,12.08,13.57,3984891.0
58,67.49,12.40,13.80,3984941.0
58,67.72,12.61,14.03,3985005.0
58,67.94,12.81,14.26,3984920.0
58,68.16,13.01,14.47,3984903.0
58,68.38,13.27,14.69,3984902.0
58,68.59,13.49,14.90,3984758.0
58,68.79,13.57,15.10,3984627.0
58,68.99,13.78,15.29,3984747.0
58,69.19,14.06,15.48,3984586.0
58,69.38,14.20,15.67,3984540.0
58,69.57,14.36,15.86,3984526.0
58,69.75,14.53,16.04,3984430.0
58,69.93,14.76,16.21,3984364.0
58,70.10,14.86,16.38,3984357.0
58,70.28,15.08,16.56,3984270.0
58,70.44,15.20,16.72,3984184.0
58,70.61,15.37,16.88,3984122.0
58,70.77,15.57,17.05,3984055.0
58,70.93,15.72,17.20,3984025.0
58,71.09,15.86,17.35,3983893.0
58,71.24,15.96,17.50,3983767.0
58,71.39,16.10,17.65,3983720.0
58,71.54,16.31,17.79,3983649.0
58,71.69,16.43,17.94,3983623.0
58,71.83,16.56,18.09,3983485.0
58,71.97,16.66,18.22,3983460.0
58,72.11,16.79,18.36,3983357.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
106,56.12,2.30,3.63,3985151.0
106,56.95,2.66,4.44,3985236.0
106,57.71,3.31,5.19,3985467.0
106,58.40,4.76,5.87,3985541.0
106,59.05,5.31,6.52,3985676.0
106,59.65,6.08,7.11,3985721.0
106,60.21,6.50,7.66,3985787.0
106,60.73,7.01,8.19,3985819.0
106,61.23,7.71,8.68,3985921.0
106,61.70,7.82,9.13,3985969.0
106,62.14,8.59,9.56,3985932.0
106,62.57,9.02,9.98,3985963.0
106,62.97,9.33,10.36,3985932.0
106,63.36,9.54,10.74,3985926.0
106,63.73,9.89,11.11,3985874.0
106,64.08,10.51,11.44,3985919.0
106,64.42,10.84,11.78,3985874.0
106,64.75,11.25,12.10,3985848.0
106,65.07,11.34,12.40,3985841.0
106,65.37,11.68,12.71,3985822.0
106,65.67,11.99,13.00,3985838.0
106,65.95,12.32,13.28,3985777.0
106,66.23,12.56,13.54,3985686.0
106,66.49,12.86,13.81,3985631.0
106,66.75,13.11,14.05,3985535.0
106,67.00,13.40,14.30,3985591.0
106,67.25,13.55,14.55,3985608.0
106,67.49,13.80,14.78,3985553.0
106,67.72,14.02,15.01,3985517.0
106,67.94,14.26,15.23,3985455.0
106,68.16,14.46,15.44,3985419.0
106,68.38,14.68,15.66,3985348.0
106,68.59,14.85,15.86,3985274.0
106,68.79,15.08,16.07,3985201.0
106,68.99,15.29,16.26,3985133.0
106,69.19,15.52,16.46,3984977.0
106,69.38,15.65,16.65,3984852.0
106,69.57,15.84,16.83,3984726.0
106,69.75,16.01,17.01,3984561.0
106,69.93,16.18,17.19,3984391.0
106,70.10,16.33,17.37,3984385.0
106,70.28,16.55,17.54,3984300.0
106,70.44,16.71,17.69,3984177.0
106,70.61,16.82,17.87,3984047.0
106,70.77,16.95,18.02,3983903.0
106,70.93,17.13,18.19,3983772.0
106,71.09,17.28,18.33,3983568.0
106,71.24,17.44,18.48,3983342.0
106,71.39,17.54,18.62,3983189.0
106,71.54,17.73,18.77,3983017.0
106,71.69,17.85,18.91,3982896.0
106,71.83,17.99,19.05,3982751.0
106,71.97,18.14,19.20,3982570.0
106,72.11,18.30,19.32,3982523.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
122,56.12,1.23,3.79,3984924.0
122,56.95,3.23,4.61,3985046.0
122,57.71,3.23,5.36,3985176.0
122,58.40,3.59,6.05,3985550.0
122,59.05,4.96,6.69,3985700.0
122,59.65,5.26,7.29,3985717.0
122,60.21,5.67,7.83,3985820.0
122,60.73,6.24,8.35,3985889.0
122,61.23,7.01,8.84,3985909.0
122,61.70,7.79,9.30,3985944.0
122,62.14,7.90,9.73,3985942.0
122,62.57,8.37,10.13,3985953.0
122,62.97,8.95,10.53,3985934.0
122,63.36,9.25,10.91,3985906.0
122,63.73,9.62,11.28,3985879.0
122,64.08,9.95,11.62,3985788.0
122,64.42,10.31,11.95,3985789.0
122,64.75,10.90,12.28,3985824.0
122,65.07,10.90,12.57,3985747.0
122,65.37,11.20,12.87,3985839.0
122,65.67,11.57,13.16,3985678.0
122,65.95,11.94,13.44,3985687.0
122,66.23,12.13,13.71,3985650.0
122,66.49,12.38,13.98,3985558.0
122,66.75,12.65,14.23,3985490.0
122,67.00,12.81,14.48,3985434.0
122,67.25,13.07,14.72,3985390.0
122,67.49,13.35,14.96,3985346.0
122,67.72,13.63,15.19,3985351.0
122,67.94,13.80,15.42,3985198.0
122,68.16,13.99,15.63,3985153.0
122,68.38,14.30,15.84,3985143.0
122,68.59,14.39,16.05,3984976.0
122,68.79,14.63,16.26,3984872.0
122,68.99,14.92,16.46,3984775.0
122,69.19,15.10,16.64,3984763.0
122,69.38,15.23,16.83,3984666.0
122,69.57,15.41,17.02,3984540.0
122,69.75,15.57,17.20,3984399.0
122,69.93,15.73,17.37,3984218.0
122,70.10,15.90,17.54,3984100.0
122,70.28,16.06,17.71,3983925.0
122,70.44,16.27,17.89,3983842.0
122,70.61,16.39,18.05,3983873.0
122,70.77,16.56,18.22,3983717.0
122,70.93,16.68,18.37,3983485.0
122,71.09,16.87,18.51,3983313.0
122,71.24,17.02,18.67,3983192.0
122,71.39,17.17,18.82,3983034.0
122,71.54,17.28,18.96,3982902.0
122,71.69,17.46,19.10,3982764.0
122,71.83,17.60,19.24,3982672.0
122,71.97,17.72,19.37,3982562.0
122,72.11,17.82,19.51,3982372.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
138,56.12,4.12,4.64,3984846.0
138,56.95,4.96,5.47,3984974.0
138,57.71,5.12,6.21,3985123.0
138,58.40,5.80,6.91,3985205.0
138,59.05,6.74,7.54,3985354.0
138,59.65,7.34,8.13,3985486.0
138,60.21,7.74,8.68,3985591.0
138,60.73,8.00,9.19,3985611.0
138,61.23,8.48,9.68,3985590.0
138,61.70,9.09,10.13,3985661.0
138,62.14,9.70,10.57,3985632.0
138,62.57,9.85,10.97,3985654.0
138,62.97,10.50,11.38,3985541.0
138,63.36,10.67,11.75,3985501.0
138,63.73,11.00,12.11,3985485.0
138,64.08,11.26,12.45,3985404.0
138,64.42,11.58,12.79,3985369.0
138,64.75,11.94,13.11,3985298.0
138,65.07,12.31,13.42,3985300.0
138,65.37,12.55,13.71,3985266.0
138,65.67,12.91,14.00,3985115.0
138,65.95,13.19,14.29,3985062.0
138,66.23,13.39,14.56,3985056.0
138,66.49,13.71,14.82,3985014.0
138,66.75,13.98,15.08,3984984.0
138,67.00,14.29,15.33,3984950.0
138,67.25,14.40,15.57,3984961.0
138,67.49,14.59,15.80,3984875.0
138,67.72,14.90,16.03,3984816.0
138,67.94,15.08,16.27,3984603.0
138,68.16,15.31,16.48,3984558.0
138,68.38,15.51,16.69,3984531.0
138,68.59,15.79,16.90,3984391.0
138,68.79,15.98,17.10,3984350.0
138,68.99,16.07,17.30,3984261.0
138,69.19,16.32,17.49,3984131.0
138,69.38,16.51,17.69,3984061.0
138,69.57,16.70,17.86,3983928.0
138,69.75,16.83,18.04,3983714.0
138,69.93,17.05,18.22,3983653.0
138,70.10,17.21,18.39,3983398.0
138,70.28,17.34,18.57,3983322.0
138,70.44,17.56,18.72,3983175.0
138,70.61,17.67,18.89,3983127.0
138,70.77,17.87,19.05,3982992.0
138,70.93,18.02,19.20,3982809.0
138,71.09,18.15,19.35,3982610.0
138,71.24,18.30,19.50,3982591.0
138,71.39,18.46,19.65,3982611.0
138,71.54,18.59,19.80,3982630.0
138,71.69,18.70,19.94,3982430.0
138,71.83,18.82,20.07,3982245.0
138,71.97,18.97,20.21,3982214.0
138,72.11,19.09,20.34,3982204.0
pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
155,56.12,4.30,5.00,3984710.0
155,56.95,4.96,5.81,3984719.0
155,57.71,5.40,6.55,3984809.0
155,58.40,5.63,7.26,3984863.0
155,59.05,6.53,7.88,3985056.0
155,59.65,7.19,8.49,3985118.0
155,60.21,7.49,9.03,3985199.0
155,60.73,8.20,9.55,3985254.0
155,61.23,8.75,10.01,3985340.0
155,61.70,9.27,10.48,3985315.0
155,62.14,9.62,10.91,3985268.0
155,62.57,10.02,11.33,3985311.0
155,62.97,10.38,11.72,3985287.0
155,63.36,10.76,12.10,3985241.0
155,63.73,11.06,12.46,3985155.0
155,64.08,11.42,12.80,3985113.0
155,64.42,11.82,13.13,3985095.0
155,64.75,12.10,13.45,3985013.0
155,65.07,12.36,13.77,3984931.0
155,65.37,12.74,14.08,3984853.0
155,65.67,13.06,14.36,3984829.0
155,65.95,13.35,14.64,3984704.0
155,66.23,13.61,14.90,3984685.0
155,66.49,13.83,15.17,3984553.0
155,66.75,14.15,15.43,3984457.0
155,67.00,14.43,15.68,3984383.0
155,67.25,14.61,15.92,3984325.0
155,67.49,14.80,16.15,3984287.0
155,67.72,15.08,16.38,3984177.0
155,67.94,15.28,16.60,3984082.0
155,68.16,15.48,16.81,3983968.0
155,68.38,15.73,17.04,3983764.0
155,68.59,15.91,17.25,3983688.0
155,68.79,16.13,17.45,3983667.0
155,68.99,16.36,17.65,3983591.0
155,69.19,16.53,17.84,3983447.0
155,69.38,16.73,18.02,3983246.0
155,69.57,16.88,18.20,3983059.0
155,69.75,17.08,18.38,3982992.0
155,69.93,17.24,18.56,3982895.0
155,70.10,17.43,18.73,3982851.0
155,70.28,17.55,18.90,3982616.0
155,70.44,17.71,19.07,3982539.0
155,70.61,17.91,19.24,3982481.0
155,70.77,18.05,19.39,3982255.0
155,70.93,18.23,19.54,3982118.0
155,71.09,18.38,19.70,3981959.0
155,71.24,18.49,19.84,3981830.0
155,71.39,18.67,19.99,3981615.0
155,71.54,18.76,20.12,3981538.0
155,71.69,18.92,20.26,3981421.0
155,71.83,19.04,20.40,3981339.0
155,71.97,19.18,20.53,3981136.0
155,72.11,19.29,20.67,3980857.0
