pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180
56.12,12.65,11.26,3995202.0
56.95,13.47,12.09,3995165.0
57.71,14.22,12.85,3995182.0
58.40,14.81,13.54,3995180.0
59.05,15.47,14.18,3995135.0
59.65,16.03,14.78,3995120.0
60.21,16.58,15.34,3995129.0
60.73,17.08,15.87,3995126.0
61.23,17.53,16.36,3995099.0
61.70,18.02,16.84,3995099.0
62.14,18.38,17.27,3995057.0
62.57,18.78,17.69,3995038.0
62.97,19.15,18.10,3995030.0
63.36,19.48,18.47,3995007.0
63.73,19.83,18.83,3994983.0
64.08,20.14,19.18,3994981.0
64.42,20.45,19.52,3994917.0
64.75,20.70,19.84,3994887.0
65.07,20.99,20.15,3994852.0
65.37,21.23,20.44,3994783.0
65.67,21.48,20.72,3994753.0
65.95,21.71,20.99,3994734.0
66.23,21.97,21.24,3994684.0
66.49,22.16,21.49,3994606.0
66.75,22.34,21.72,3994536.0
67.00,22.55,21.95,3994458.0
67.25,22.74,22.16,3994411.0
67.49,22.92,22.36,3994344.0
67.72,23.06,22.56,3994276.0
67.94,23.22,22.75,3994208.0
68.16,23.36,22.91,3994141.0
68.38,23.50,23.07,3994105.0
68.59,23.61,23.23,3994013.0
68.79,23.73,23.38,3993938.0
68.99,23.85,23.52,3993864.0
69.19,23.96,23.65,3993813.0
69.38,24.05,23.78,3993739.0
69.57,24.16,23.90,3993714.0
69.75,24.26,24.01,3993659.0
69.93,24.34,24.12,3993626.0
70.10,24.40,24.22,3993598.0
70.28,24.50,24.30,3993314.0
70.44,24.56,24.40,3993329.0
70.61,24.63,24.48,3993322.0
70.77,24.70,24.56,3993240.0
70.93,24.77,24.64,3993233.0
71.09,24.83,24.71,3993239.0
71.24,24.88,24.78,3993195.0
71.39,24.95,24.84,3993140.0
71.54,24.99,24.90,3993140.0
71.69,25.04,24.96,3993080.0
71.83,25.08,25.01,3993024.0
71.97,25.14,25.06,3992996.0
72.11,25.18,25.11,3992940.0
