pwr_dig,pwr_msadc,pwr_cmp180,freq_cmp180,,
56.12,13.56,12.25,3998938,,1.31
56.95,14.33,13.09,3998437,,1.24
57.71,15,13.84,3998061,,1.16
58.4,15.68,14.54,3997784,,1.14
59.05,16.27,15.19,3997505,,1.08
59.65,16.84,15.78,3997287,,1.06
60.21,17.34,16.34,3997086,,1
60.73,17.8,16.86,3996875,,0.94
61.23,18.29,17.35,3996690,,0.94
61.7,18.71,17.81,3996521,,0.9
62.14,19.14,18.26,3996413,,0.88
62.57,19.51,18.68,3996283,,0.83
62.97,19.86,19.08,3996123,,0.78
63.36,20.16,19.45,3995977,,0.71
63.73,20.5,19.81,3995832,,0.69
64.08,20.8,20.15,3995698,,0.65
64.42,21.06,20.48,3995621,,0.58
64.75,21.35,20.78,3995485,,0.57
65.07,21.6,21.08,3995399,,0.52
65.37,21.85,21.37,3995277,,0.48
65.67,22.11,21.64,3995141,,0.47
65.95,22.29,21.89,3995035,,0.4
66.23,22.53,22.14,3994947,,0.39
66.49,22.71,22.37,3994824,,0.34
66.75,22.89,22.58,3994752,,0.31
67,23.04,22.79,3994666,,0.25
67.25,23.22,22.99,3994598,,0.23
67.49,23.37,23.17,3994506,,0.2
67.72,23.52,23.35,3994402,,0.17
67.94,23.65,23.51,3994286,,0.14
68.16,23.78,23.66,3994205,,0.12
68.38,23.86,23.8,3994091,,0.06
68.59,24,23.93,3994031,,0.07
68.79,24.11,24.06,3993983,,0.05
68.99,24.21,24.18,3993904,,0.03
69.19,24.3,24.29,3993828,,0.01
69.38,24.39,24.39,3993764,,0
69.57,24.46,24.48,3993673,,-0.02
69.75,24.52,24.57,3993604,,-0.05
69.93,24.59,24.66,3993587,,-0.07
70.1,24.66,24.74,3993529,,-0.08
70.28,24.72,24.82,3993510,,-0.1
70.44,24.79,24.89,3993469,,-0.1
70.61,24.85,24.95,3993420,,-0.1
70.77,24.9,25.02,3993344,,-0.12
70.93,24.96,25.07,3993251,,-0.11
71.09,25,25.13,3993198,,-0.13
71.24,25.04,25.19,3993182,,-0.15
71.39,25.07,25.24,3993147,,-0.17
71.54,25.12,25.29,3993150,,-0.17
71.69,25.16,25.33,3993114,,-0.17
71.83,25.2,25.38,3993037,,-0.18
71.97,25.25,25.42,3993015,,-0.17
72.11,25.29,25.46,3993016,,-0.17
