ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
42,640,56.12,8.32,10.65,6.79,11.62,0x80C0FFD1
42,704,56.95,9.27,11.40,8.45,13.80,0x80C0FFD1
42,768,57.71,10.13,12.12,10.30,16.28,0x80C0FFD1
42,832,58.40,10.58,12.81,11.44,19.10,0x80C0FFD1
42,896,59.05,11.40,13.60,13.80,22.90,0x80C0FFD1
42,960,59.65,11.99,14.16,15.79,26.07,0x80C0FFD1
42,1024,60.21,12.54,14.73,17.94,29.71,0x80C0FFD1
42,1088,60.73,12.95,15.22,19.74,33.24,0x80C0FFD1
42,1152,61.23,13.54,15.72,22.59,37.33,0x80C0FFD1
42,1216,61.70,14.00,16.20,25.09,41.64,0x80C0FFD1
42,1280,62.14,14.35,16.64,27.20,46.16,0x80C0FFD1
42,1344,62.57,14.81,17.09,30.26,51.18,0x80C0FFD1
42,1408,62.97,15.20,17.50,33.10,56.30,0x80C0FFD1
42,1472,63.36,15.55,17.90,35.91,61.63,0x80C0FFD1
42,1536,63.73,15.98,18.26,39.64,67.06,0x80C0FFD1
42,1600,64.08,16.32,18.63,42.81,72.86,0x80C0FFD1
42,1664,64.42,16.66,18.96,46.35,78.73,0x80C0FFD1
42,1728,64.75,16.95,19.30,49.53,85.19,0x80C0FFD1
42,1792,65.07,17.26,19.62,53.22,91.59,0x80C0FFD1
42,1856,65.37,17.58,19.92,57.28,98.25,0x80C0FFD1
42,1920,65.67,17.84,20.19,60.85,104.55,0x80C0FFD1
42,1984,65.95,18.09,20.47,64.43,111.37,0x80C0FFD1
42,2048,66.23,18.34,20.73,68.24,118.40,0x80C0FFD1
42,2112,66.49,18.59,20.98,72.22,125.46,0x80C0FFD1
42,2176,66.75,18.82,21.18,76.28,131.13,0x80C0FFD1
42,2240,67.00,19.05,21.41,80.41,138.47,0x80C0FFD1
42,2304,67.25,19.26,21.63,84.40,145.41,0x80C0FFD1
42,2368,67.49,19.50,21.84,89.16,152.88,0x80C0FFD1
42,2432,67.72,19.66,22.07,92.44,161.05,0x80C0FFD1
42,2496,67.94,19.87,22.27,97.06,168.47,0x80C0FFD1
42,2560,68.16,20.04,22.45,100.90,175.94,0x80C0FFD1
42,2624,68.38,20.22,22.64,105.14,183.77,0x80C0FFD1
42,2688,68.59,20.38,22.81,109.13,190.98,0x80C0FFD1
42,2752,68.79,20.55,22.97,113.41,198.12,0x80C0FFD1
42,2816,68.99,20.68,23.13,117.02,205.55,0x80C0FFD1
42,2880,69.19,20.82,23.27,120.75,212.39,0x80C0FFD1
42,2944,69.38,20.93,23.42,123.81,219.74,0x80C0FFD1
42,3008,69.57,21.04,23.54,127.13,226.17,0x80C0FFD1
42,3072,69.75,21.19,23.66,131.38,232.51,0x80C0FFD1
42,3136,69.93,21.26,23.78,133.52,238.92,0x80C0FFD1
42,3200,70.10,21.36,23.89,136.91,244.82,0x80C0FFD1
42,3264,70.28,21.44,23.99,139.46,250.38,0x80C0FFD1
42,3328,70.44,21.54,24.08,142.49,255.76,0x80C0FFD1
42,3392,70.61,21.62,24.17,145.11,261.09,0x80C0FFD1
42,3456,70.77,21.71,24.25,148.10,266.33,0x80C0FFD1
42,3520,70.93,21.77,24.32,150.20,270.62,0x80C0FFD1
42,3584,71.09,21.82,24.39,152.05,274.97,0x80C0FFD1
42,3648,71.24,21.90,24.47,155.00,279.84,0x80C0FFD1
42,3712,71.39,21.96,24.54,157.10,284.18,0x80C0FFD1
42,3776,71.54,22.02,24.60,159.06,288.10,0x80C0FFD1
42,3840,71.69,22.03,24.65,159.76,291.67,0x80C0FFD1
42,3904,71.83,22.11,24.72,162.42,296.14,0x80C0FFD1
42,3968,71.97,22.16,24.77,164.56,300.02,0x80C0FFD1
42,4032,72.11,22.22,24.82,166.66,303.15,0x80C0FFD1
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
58,640,56.12,-0.53,2.27,0.89,1.69,0x80C03F51
58,704,56.95,0.86,3.11,1.22,2.04,0x80C03F51
