ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
1,640,56.12,16.45,17.96,44.17,62.45,39.49,15.96
1,704,56.95,17.28,18.80,53.47,75.82,48.33,16.84
1,768,57.71,17.95,19.54,62.44,90.04,57.04,17.56
1,832,58.40,18.59,20.24,72.33,105.64,66.83,18.25
1,896,59.05,19.17,20.86,82.63,121.92,77.26,18.88
1,960,59.65,19.69,21.46,93.18,140.02,88.18,19.45
1,1024,60.21,20.21,22.00,104.84,158.35,100.52,20.02
1,1088,60.73,20.62,22.49,115.40,177.55,111.95,20.49
1,1152,61.23,20.98,22.92,125.40,196.08,122.99,20.90
1,1216,61.70,21.26,23.23,133.56,210.58,132.15,21.21
1,1280,62.14,21.57,23.59,143.59,228.34,143.63,21.57
1,1344,62.57,22.00,24.08,158.58,256.13,161.16,22.07
1,1408,62.97,22.23,24.35,167.03,272.43,171.26,22.34
1,1472,63.36,22.46,24.59,176.11,287.85,182.28,22.61
1,1536,63.73,22.61,24.80,182.56,302.18,190.22,22.79
1,1600,64.08,22.81,25.01,190.83,316.65,200.52,23.02
1,1664,64.42,22.95,25.17,197.36,328.96,208.77,23.20
1,1728,64.75,23.09,25.32,203.82,340.51,217.01,23.36
1,1792,65.07,23.22,25.46,209.73,351.51,224.62,23.51
1,1856,65.37,23.30,25.58,213.97,361.53,230.14,23.62
1,1920,65.67,23.41,25.69,219.32,370.80,237.15,23.75
1,1984,65.95,23.49,25.79,223.20,379.57,242.26,23.84
1,2048,66.23,23.58,25.89,228.29,387.72,249.03,23.96
1,2112,66.49,23.68,25.97,233.23,395.81,255.66,24.08
1,2176,66.75,23.74,26.05,236.63,402.97,260.24,24.15
1,2240,67.00,23.80,26.13,240.06,410.18,264.90,24.23
1,2304,67.25,23.89,26.20,244.79,416.62,271.35,24.34
1,2368,67.49,23.95,26.27,248.29,423.53,276.17,24.41
1,2432,67.72,23.95,26.32,248.44,428.71,276.37,24.41
1,2496,67.94,23.99,26.37,250.73,433.99,279.53,24.46
1,2560,68.16,24.03,26.42,253.05,438.57,282.75,24.51
1,2624,68.38,24.08,26.47,256.08,443.33,286.96,24.58
1,2688,68.59,24.11,26.51,257.89,447.42,289.49,24.62
1,2752,68.79,24.15,26.55,259.77,451.39,292.12,24.66
1,2816,68.99,24.18,26.58,261.87,454.64,295.08,24.70
1,2880,69.19,24.20,26.61,262.91,458.18,296.53,24.72
1,2944,69.38,24.21,26.64,263.72,461.09,297.68,24.74
1,3008,69.57,24.24,26.66,265.34,463.74,299.97,24.77
1,3072,69.75,24.27,26.69,267.15,466.15,302.53,24.81
1,3136,69.93,24.27,26.71,267.52,468.98,303.06,24.82
1,3200,70.10,24.30,26.73,268.99,471.28,305.15,24.85
1,3264,70.28,24.32,26.76,270.69,473.72,307.57,24.88
1,3328,70.44,24.32,26.77,270.14,475.69,306.78,24.87
1,3392,70.61,24.35,26.80,272.50,478.19,310.15,24.92
1,3456,70.77,24.35,26.81,272.35,480.03,309.94,24.91
1,3520,70.93,24.35,26.83,272.57,482.03,310.26,24.92
1,3584,71.09,24.38,26.85,274.01,483.79,312.32,24.95
1,3648,71.24,24.36,26.85,273.02,484.46,310.89,24.93
1,3712,71.39,24.40,26.86,275.27,485.73,314.12,24.97
1,3776,71.54,24.39,26.87,275.08,486.80,313.85,24.97
1,3840,71.69,24.41,26.89,275.97,488.37,315.13,24.98
1,3904,71.83,24.41,26.90,276.38,489.53,315.71,24.99
1,3968,71.97,24.42,26.91,276.89,490.61,316.45,25.00
1,4032,72.11,24.40,26.92,275.60,491.78,314.60,24.98
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
7,640,56.12,16.12,17.58,40.89,57.34,36.41,15.61
7,704,56.95,16.92,18.42,49.19,69.47,44.24,16.46
7,768,57.71,17.61,19.19,57.68,82.94,52.39,17.19
7,832,58.40,18.31,19.88,67.79,97.35,62.31,17.95
7,896,59.05,18.86,20.53,76.95,112.97,71.48,18.54
7,960,59.65,19.41,21.14,87.39,129.96,82.16,19.15
7,1024,60.21,19.89,21.67,97.46,146.84,92.68,19.67
7,1088,60.73,20.33,22.18,107.87,165.35,103.77,20.16
7,1152,61.23,20.75,22.63,118.83,183.23,115.71,20.63
7,1216,61.70,21.10,23.03,128.83,200.92,126.83,21.03
7,1280,62.14,21.33,23.31,135.96,214.29,134.88,21.30
7,1344,62.57,21.63,23.63,145.40,230.63,145.72,21.64
7,1408,62.97,21.91,23.93,155.22,247.11,157.19,21.96
7,1472,63.36,22.12,24.21,163.01,263.40,166.43,22.21
7,1536,63.73,22.34,24.45,171.57,278.34,176.74,22.47
7,1600,64.08,22.52,24.66,178.54,292.35,185.26,22.68
7,1664,64.42,22.68,24.85,185.41,305.39,193.75,22.87
7,1728,64.75,22.80,25.03,190.72,318.27,200.38,23.02
7,1792,65.07,22.97,25.18,197.99,329.47,209.56,23.21
7,1856,65.37,23.11,25.32,204.45,340.20,217.81,23.38
7,1920,65.67,23.21,25.45,209.21,350.56,223.95,23.50
7,1984,65.95,23.30,25.56,213.93,359.62,230.09,23.62
7,2048,66.23,23.40,25.66,218.88,368.09,236.56,23.74
7,2112,66.49,23.50,25.76,223.75,376.63,243.00,23.86
7,2176,66.75,23.56,25.85,226.85,384.59,247.11,23.93
7,2240,67.00,23.63,25.93,230.87,391.86,252.49,24.02
7,2304,67.25,23.71,26.01,234.71,398.78,257.65,24.11
7,2368,67.49,23.75,26.08,237.40,405.10,261.29,24.17
7,2432,67.72,23.82,26.14,241.24,411.20,266.51,24.26
7,2496,67.94,23.86,26.20,242.98,416.81,268.87,24.30
7,2560,68.16,23.94,26.26,247.48,422.35,275.05,24.39
7,2624,68.38,23.94,26.31,248.00,427.14,275.76,24.41
7,2688,68.59,24.02,26.35,252.57,431.69,282.09,24.50
7,2752,68.79,24.04,26.39,253.49,435.69,283.37,24.52
7,2816,68.99,24.05,26.43,254.31,439.53,284.50,24.54
7,2880,69.19,24.08,26.47,256.12,443.44,287.01,24.58
7,2944,69.38,24.12,26.50,258.18,446.90,289.90,24.62
7,3008,69.57,24.16,26.54,260.80,450.33,293.57,24.68
7,3072,69.75,24.19,26.57,262.17,454.23,295.49,24.71
7,3136,69.93,24.19,26.60,262.17,457.01,295.49,24.71
7,3200,70.10,24.22,26.63,264.42,459.90,298.67,24.75
