ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
1,640,56.12,11.02,12.41,12.66,17.42,10.89,10.37
1,704,56.95,11.79,13.26,15.09,21.20,13.02,11.15
1,768,57.71,12.56,14.07,18.05,25.53,15.63,11.94
1,832,58.40,13.27,14.77,21.26,29.99,18.48,12.67
1,896,59.05,13.87,15.32,24.36,34.08,21.26,13.27
1,960,59.65,14.48,15.98,28.08,39.65,24.62,13.91
1,1024,60.21,15.04,16.55,31.89,45.24,28.08,14.48
1,1088,60.73,15.57,17.15,36.06,51.89,31.92,15.04
1,1152,61.23,16.12,17.65,40.93,58.19,36.44,15.62
1,1216,61.70,16.52,18.14,44.88,65.16,40.15,16.04
1,1280,62.14,16.98,18.58,49.89,72.14,44.90,16.52
1,1344,62.57,17.39,19.01,54.77,79.64,49.57,16.95
1,1408,62.97,17.73,19.40,59.27,87.17,53.93,17.32
1,1472,63.36,18.14,19.78,65.10,95.15,59.65,17.76
1,1536,63.73,18.46,20.16,70.15,103.67,64.66,18.11
1,1600,64.08,18.75,20.50,74.95,112.22,69.47,18.42
1,1664,64.42,19.06,20.84,80.52,121.22,75.11,18.76
1,1728,64.75,19.33,21.17,85.73,131.00,80.44,19.05
1,1792,65.07,19.62,21.47,91.60,140.23,86.52,19.37
1,1856,65.37,19.89,21.76,97.43,149.97,92.64,19.67
1,1920,65.67,20.17,22.03,103.96,159.68,99.58,19.98
1,1984,65.95,20.38,22.30,109.20,169.91,105.21,20.22
1,2048,66.23,20.59,22.54,114.62,179.53,111.10,20.46
1,2112,66.49,20.79,22.77,119.86,189.44,116.85,20.68
1,2176,66.75,21.02,22.99,126.47,198.95,124.18,20.94
1,2240,67.00,21.12,23.13,129.53,205.40,127.62,21.06
1,2304,67.25,21.29,23.32,134.59,214.95,133.33,21.25
1,2368,67.49,21.49,23.51,140.97,224.45,140.61,21.48
1,2432,67.72,21.67,23.69,146.88,233.82,147.43,21.69
1,2496,67.94,21.80,23.85,151.27,242.74,152.55,21.83
1,2560,68.16,21.92,24.01,155.77,251.66,157.84,21.98
1,2624,68.38,22.08,24.16,161.60,260.60,164.76,22.17
1,2688,68.59,22.19,24.29,165.48,268.76,169.39,22.29
1,2752,68.79,22.29,24.43,169.35,277.37,174.06,22.41
1,2816,68.99,22.40,24.55,173.82,285.13,179.48,22.54
1,2880,69.19,22.50,24.67,177.92,292.94,184.49,22.66
1,2944,69.38,22.61,24.78,182.38,300.37,189.99,22.79
1,3008,69.57,22.65,24.88,183.93,307.43,191.91,22.83
1,3072,69.75,22.77,24.97,189.39,314.11,198.72,22.98
1,3136,69.93,22.82,25.07,191.57,321.66,201.45,23.04
1,3200,70.10,22.92,25.16,196.00,327.99,207.04,23.16
1,3264,70.28,22.99,25.24,199.25,333.83,211.16,23.25
1,3328,70.44,23.04,25.31,201.39,339.96,213.89,23.30
1,3392,70.61,23.15,25.38,206.41,345.23,220.33,23.43
1,3456,70.77,23.20,25.45,209.03,350.83,223.71,23.50
1,3520,70.93,23.24,25.52,210.87,356.17,226.10,23.54
1,3584,71.09,23.30,25.58,213.90,361.18,230.04,23.62
1,3648,71.24,23.37,25.63,217.22,365.65,234.38,23.70
1,3712,71.39,23.42,25.69,219.95,370.84,237.97,23.77
1,3776,71.54,23.45,25.75,221.28,375.66,239.72,23.80
1,3840,71.69,23.50,25.79,224.05,379.60,243.39,23.86
1,3904,71.83,23.53,25.84,225.48,383.77,245.30,23.90
1,3968,71.97,23.58,25.89,227.96,387.72,248.59,23.95
1,4032,72.11,23.59,25.93,228.55,391.81,249.38,23.97
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
7,640,56.12,10.46,11.94,11.11,15.64,9.54,9.79
7,704,56.95,11.39,12.81,13.77,19.11,11.86,10.74
7,768,57.71,12.16,13.59,16.46,22.86,14.22,11.53
7,832,58.40,12.82,14.33,19.15,27.11,16.61,12.20
7,896,59.05,13.52,14.98,22.47,31.48,19.57,12.92
7,960,59.65,14.00,15.55,25.13,35.89,21.95,13.41
7,1024,60.21,14.64,16.15,29.12,41.20,25.56,14.08
7,1088,60.73,15.16,16.70,32.84,46.76,28.96,14.62
7,1152,61.23,15.73,17.26,37.38,53.19,33.14,15.20
7,1216,61.70,16.20,17.72,41.70,59.09,37.17,15.70
7,1280,62.14,16.64,18.19,46.09,65.89,41.30,16.16
7,1344,62.57,17.06,18.61,50.78,72.63,45.75,16.60
7,1408,62.97,17.43,19.02,55.39,79.81,50.18,17.01
7,1472,63.36,17.81,19.41,60.41,87.31,55.05,17.41
7,1536,63.73,18.17,19.78,65.65,94.98,60.19,17.80
7,1600,64.08,18.44,20.13,69.86,103.15,64.37,18.09
7,1664,64.42,18.84,20.47,76.54,111.38,71.07,18.52
7,1728,64.75,19.09,20.79,81.12,119.97,75.71,18.79
7,1792,65.07,19.37,21.11,86.58,128.99,81.32,19.10
7,1856,65.37,19.67,21.40,92.59,137.96,87.56,19.42
7,1920,65.67,19.94,21.68,98.64,147.35,93.92,19.73
7,1984,65.95,20.12,21.95,102.82,156.70,98.35,19.93
7,2048,66.23,20.38,22.21,109.09,166.49,105.09,20.22
7,2112,66.49,20.58,22.45,114.37,175.96,110.82,20.45
7,2176,66.75,20.79,22.68,119.86,185.17,116.85,20.68
7,2240,67.00,20.99,22.89,125.62,194.65,123.24,20.91
7,2304,67.25,21.04,23.02,127.13,200.65,124.93,20.97
7,2368,67.49,21.24,23.22,133.08,209.82,131.61,21.19
7,2432,67.72,21.38,23.40,137.54,218.95,136.68,21.36
7,2496,67.94,21.54,23.57,142.67,227.64,142.57,21.54
7,2560,68.16,21.69,23.74,147.43,236.53,148.07,21.70
7,2624,68.38,21.81,23.89,151.79,244.80,153.15,21.85
7,2688,68.59,21.96,24.06,156.99,254.59,159.28,22.02
7,2752,68.79,22.10,24.19,162.16,262.40,165.42,22.19
7,2816,68.99,22.20,24.32,166.00,270.66,170.01,22.30
7,2880,69.19,22.31,24.45,170.20,278.46,175.09,22.43
7,2944,69.38,22.42,24.57,174.70,286.21,180.56,22.57
7,3008,69.57,22.52,24.68,178.65,293.84,185.40,22.68
7,3072,69.75,22.59,24.78,181.75,300.47,189.22,22.77
7,3136,69.93,22.69,24.88,185.92,307.29,194.39,22.89
7,3200,70.10,22.77,24.97,189.13,313.70,198.40,22.98
7,3264,70.28,22.87,25.06,193.78,320.54,204.24,23.10
7,3328,70.44,22.94,25.14,196.96,326.47,208.25,23.19
7,3392,70.61,23.00,25.21,199.32,332.22,211.25,23.25
7,3456,70.77,23.03,25.29,200.87,338.02,213.23,23.29
7,3520,70.93,23.11,25.36,204.41,343.57,217.76,23.38
7,3584,71.09,23.17,25.43,207.33,349.15,221.52,23.45
7,3648,71.24,23.23,25.49,210.54,354.18,225.67,23.53
7,3712,71.39,23.28,25.55,212.64,359.12,228.40,23.59
7,3776,71.54,23.33,25.61,215.45,363.64,232.06,23.66
7,3840,71.69,23.38,25.66,217.81,368.13,235.16,23.71
7,3904,71.83,23.44,25.72,220.69,372.89,238.95,23.78
7,3968,71.97,23.46,25.76,221.90,377.04,240.55,23.81
7,4032,72.11,23.52,25.81,224.78,381.00,244.37,23.88
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
13,640,56.12,9.63,11.10,9.19,12.88,7.87,8.96
13,704,56.95,10.67,11.93,11.66,15.59,10.02,10.01
13,768,57.71,11.39,12.71,13.77,18.65,11.86,10.74
13,832,58.40,12.09,13.40,16.16,21.87,13.96,11.45
13,896,59.05,12.61,14.03,18.23,25.30,15.79,11.98
13,960,59.65,13.29,14.64,21.33,29.12,18.55,12.68
13,1024,60.21,13.83,15.26,24.17,33.60,21.09,13.24
13,1088,60.73,14.28,15.79,26.79,37.94,23.45,13.70
13,1152,61.23,14.89,16.28,30.85,42.49,27.14,14.34
13,1216,61.70,15.32,16.75,34.06,47.33,30.08,14.78
13,1280,62.14,15.81,17.22,38.12,52.72,33.83,15.29
13,1344,62.57,16.15,17.65,41.22,58.16,36.72,15.65
13,1408,62.97,16.57,18.06,45.39,63.93,40.63,16.09
13,1472,63.36,16.96,18.45,49.64,70.01,44.66,16.50
13,1536,63.73,17.32,18.83,53.95,76.39,48.79,16.88
13,1600,64.08,17.65,19.17,58.20,82.68,52.89,17.23
13,1664,64.42,17.92,19.52,61.93,89.52,56.53,17.52
13,1728,64.75,18.27,19.85,67.17,96.56,61.69,17.90
13,1792,65.07,18.60,20.16,72.44,103.81,66.95,18.26
13,1856,65.37,18.85,20.46,76.76,111.30,71.29,18.53
13,1920,65.67,19.08,20.75,80.89,118.72,75.49,18.78
13,1984,65.95,19.39,21.03,86.95,126.64,81.70,19.12
13,2048,66.23,19.63,21.30,91.74,134.78,86.68,19.38
13,2112,66.49,19.84,21.54,96.43,142.59,91.59,19.62
13,2176,66.75,20.06,21.78,101.41,150.77,96.86,19.86
13,2240,67.00,20.29,22.02,106.87,159.27,102.70,20.12
