ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
1,640,56.12,12.85,12.40,19.26,17.37,0x87C0FFD0
1,704,56.95,13.77,13.25,23.84,21.14,0x87C0FFD0
1,768,57.71,14.54,14.05,28.45,25.41,0x87C0FFD0
1,832,58.40,15.17,14.73,32.88,29.74,0x87C0FFD0
1,896,59.05,15.78,15.29,37.83,33.78,0x87C0FFD0
1,960,59.65,16.33,15.88,42.96,38.69,0x87C0FFD0
1,1024,60.21,16.90,16.49,49.01,44.52,0x87C0FFD0
1,1088,60.73,17.43,17.07,55.28,50.90,0x87C0FFD0
1,1152,61.23,17.90,17.56,61.67,56.99,0x87C0FFD0
1,1216,61.70,18.33,18.03,68.09,63.60,0x87C0FFD0
1,1280,62.14,18.77,18.48,75.32,70.51,0x87C0FFD0
1,1344,62.57,19.16,18.90,82.33,77.63,0x87C0FFD0
1,1408,62.97,19.48,19.29,88.79,84.95,0x87C0FFD0
1,1472,63.36,19.82,19.67,95.99,92.67,0x87C0FFD0
1,1536,63.73,20.17,20.02,103.96,100.41,0x87C0FFD0
1,1600,64.08,20.47,20.36,111.38,108.72,0x87C0FFD0
1,1664,64.42,20.74,20.69,118.68,117.22,0x87C0FFD0
1,1728,64.75,21.03,21.00,126.80,125.76,0x87C0FFD0
1,1792,65.07,21.28,21.32,134.37,135.49,0x87C0FFD0
1,1856,65.37,21.54,21.60,142.71,144.55,0x87C0FFD0
1,1920,65.67,21.78,21.88,150.72,154.02,0x87C0FFD0
1,1984,65.95,22.01,22.14,158.95,163.70,0x87C0FFD0
1,2048,66.23,22.17,22.38,164.70,173.16,0x87C0FFD0
1,2112,66.49,22.42,22.63,174.56,183.12,0x87C0FFD0
1,2176,66.75,22.59,22.84,181.38,192.35,0x87C0FFD0
1,2240,67.00,22.73,22.99,187.58,199.15,0x87C0FFD0
1,2304,67.25,22.91,23.19,195.59,208.31,0x87C0FFD0
1,2368,67.49,23.04,23.38,201.39,217.88,0x87C0FFD0
1,2432,67.72,23.20,23.55,208.99,226.70,0x87C0FFD0
1,2496,67.94,23.34,23.72,215.70,235.75,0x87C0FFD0
1,2560,68.16,23.49,23.88,223.16,244.09,0x87C0FFD0
1,2624,68.38,23.59,24.03,228.55,253.07,0x87C0FFD0
1,2688,68.59,23.73,24.17,236.11,261.24,0x87C0FFD0
1,2752,68.79,23.83,24.30,241.80,269.18,0x87C0FFD0
1,2816,68.99,23.92,24.41,246.34,276.37,0x87C0FFD0
1,2880,69.19,24.01,24.53,251.58,283.86,0x87C0FFD0
1,2944,69.38,24.10,24.63,256.82,290.61,0x87C0FFD0
1,3008,69.57,24.18,24.74,261.65,297.71,0x87C0FFD0
1,3072,69.75,24.27,24.83,267.04,304.25,0x87C0FFD0
1,3136,69.93,24.33,24.91,270.80,309.62,0x87C0FFD0
1,3200,70.10,24.41,25.01,275.75,317.02,0x87C0FFD0
1,3264,70.28,24.48,25.09,280.29,322.95,0x87C0FFD0
1,3328,70.44,24.54,25.16,284.13,328.38,0x87C0FFD0
1,3392,70.61,24.59,25.23,287.56,333.55,0x87C0FFD0
1,3456,70.77,24.65,25.30,291.84,338.87,0x87C0FFD0
1,3520,70.93,24.72,25.36,296.56,343.93,0x87C0FFD0
1,3584,71.09,24.76,25.43,299.40,348.85,0x87C0FFD0
