ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
1,640,56.12,13.29,12.57,21.33,18.09,18.55,12.68
1,704,56.95,13.99,13.42,25.06,21.96,21.89,13.40
1,768,57.71,14.84,14.23,30.48,26.47,26.80,14.28
1,832,58.40,15.40,14.91,34.69,30.98,30.66,14.87
1,896,59.05,15.89,15.47,38.82,35.20,34.48,15.38
1,960,59.65,16.55,16.11,45.13,40.85,40.39,16.06
1,1024,60.21,17.10,16.67,51.33,46.40,46.28,16.65
1,1088,60.73,17.62,17.25,57.83,53.12,52.54,17.20
1,1152,61.23,18.06,17.74,63.99,59.43,58.56,17.68
1,1216,61.70,18.48,18.22,70.49,66.33,64.99,18.13
1,1280,62.14,18.92,18.67,77.94,73.54,72.49,18.60
1,1344,62.57,19.27,19.06,84.62,80.63,79.30,18.99
1,1408,62.97,19.65,19.45,92.19,88.18,87.14,19.40
1,1472,63.36,19.98,19.84,99.60,96.32,94.94,19.77
1,1536,63.73,20.35,20.19,108.35,104.40,104.29,20.18
1,1600,64.08,20.59,20.52,114.59,112.76,111.06,20.46
1,1664,64.42,20.89,20.85,122.82,121.62,120.12,20.80
1,1728,64.75,21.16,21.18,130.57,131.34,128.78,21.10
1,1792,65.07,21.45,21.48,139.50,140.74,138.92,21.43
1,1856,65.37,21.69,21.77,147.47,150.25,148.12,21.71
1,1920,65.67,21.93,22.04,155.85,159.83,157.93,21.98
1,1984,65.95,22.11,22.30,162.56,169.77,165.90,22.20
1,2048,66.23,22.35,22.54,171.86,179.61,177.10,22.48
1,2112,66.49,22.55,22.77,179.72,189.28,186.72,22.71
1,2176,66.75,22.70,22.99,186.26,199.03,194.80,22.90
1,2240,67.00,22.83,23.13,192.09,205.77,202.10,23.06
1,2304,67.25,23.01,23.32,200.09,214.92,212.24,23.27
