ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,640,56.12,-3.19,-0.9,0.48,0.81,0.14,-8.47,,,,,
58,640,56.12,7.95,9.73,6.24,9.39,9.05,9.57,,,,,
106,640,56.12,9.58,11.25,9.08,13.34,13.44,11.29,,,,,
122,640,56.12,9.97,11.57,9.93,14.37,14.76,11.69,,,,,
138,640,56.12,10.38,12.05,10.92,16.05,16.3,12.12,,,,,
155,640,56.12,10.65,12.3,11.62,16.98,17.38,12.4,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,768,57.71,10.03,12.04,10.07,16,14.99,11.76,,,,,
58,768,57.71,9.34,11.2,8.6,13.18,12.7,11.04,,,,,
106,768,57.71,10.84,12.84,12.14,19.21,18.18,12.6,,,,,
122,768,57.71,11.48,13.15,14.06,20.66,21.15,13.25,,,,,
138,768,57.71,11.8,13.58,15.13,22.8,22.81,13.58,,,,,
155,768,57.71,12.12,13.89,16.31,24.47,24.63,13.92,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,896,59.05,11.38,13.46,13.73,22.21,20.64,13.15,,,,,
58,896,59.05,10.79,12.61,11.99,18.25,17.95,12.54,,,,,
106,896,59.05,12.35,14.08,17.16,25.56,25.95,14.14,,,,,
122,896,59.05,12.66,14.35,18.45,27.25,27.95,14.46,,,,,
138,896,59.05,13.06,14.94,20.22,31.21,30.69,14.87,,,,,
155,896,59.05,13.38,15.17,21.77,32.89,33.08,15.2,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,FSQ,MSADC,DIFF
42,1024,60.21,12.3,14.51,16.98,28.26,25.66,14.09,,42,14.51,14.09,-0.42
58,1024,60.21,11.92,13.79,15.57,23.94,23.49,13.71,,58,13.79,13.71,-0.08
106,1024,60.21,13.46,15.12,22.18,32.52,33.71,15.28,,106,15.12,15.28,0.16
122,1024,60.21,13.83,15.45,24.17,35.04,36.79,15.66,,122,15.45,15.66,0.21
138,1024,60.21,14.18,16.07,26.17,40.47,39.88,16.01,,138,16.07,16.01,-0.06
155,1024,60.21,14.37,16.29,27.35,42.53,41.7,16.2,,155,16.29,16.2,-0.09
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1152,61.23,13.36,15.42,21.66,34.79,32.91,15.17,,,,,
58,1152,61.23,12.99,14.76,19.93,29.9,30.23,14.8,,,,,
106,1152,61.23,14.43,16.18,27.75,41.5,42.33,16.27,,,,,
122,1152,61.23,14.74,16.45,29.78,44.14,45.47,16.58,,,,,
138,1152,61.23,15.09,17.01,32.25,50.26,49.3,16.93,,,,,
155,1152,61.23,15.37,17.27,34.43,53.36,52.67,17.22,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1280,62.14,14.15,16.26,25.98,42.29,39.59,15.98,,,,,
58,1280,62.14,13.79,15.62,23.91,36.48,36.39,15.61,,,,,
106,1280,62.14,15.25,16.98,33.47,49.85,51.18,17.09,,,,,
122,1280,62.14,15.56,17.27,35.94,53.35,55.01,17.4,,,,,
138,1280,62.14,16.03,17.96,40.04,62.49,61.34,17.88,,,,,
155,1280,62.14,16.22,18.11,41.92,64.74,64.26,18.08,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1408,62.97,15,17.1,31.63,51.34,48.33,16.84,,,,,
58,1408,62.97,14.56,16.43,28.56,43.94,43.59,16.39,,,,,
106,1408,62.97,16.06,17.81,40.37,60.41,61.86,17.91,,,,,
122,1408,62.97,16.33,18.08,42.92,64.23,65.8,18.18,,,,,
138,1408,62.97,16.82,18.79,48.12,75.75,73.85,18.68,,,,,
155,1408,62.97,17,18.92,50.08,77.9,76.87,18.86,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1536,63.73,15.74,17.86,37.53,61.16,57.46,17.59,,,,,
58,1536,63.73,15.45,17.22,35.06,52.77,53.64,17.29,,,,,
106,1536,63.73,16.82,18.63,48.05,72.91,73.73,18.68,,,,,
122,1536,63.73,17.04,18.82,50.63,76.13,77.73,18.91,,,,,
138,1536,63.73,17.56,19.53,57.05,89.67,87.66,19.43,,,,,
155,1536,63.73,17.73,19.65,59.34,92.22,91.2,19.6,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1664,64.42,16.33,18.53,42.92,71.33,65.8,18.18,,,,,
58,1664,64.42,15.99,17.88,39.75,61.4,60.89,17.85,,,,,
106,1664,64.42,17.43,19.24,55.39,83.91,85.09,19.3,,,,,
122,1664,64.42,17.78,19.53,59.97,89.68,92.17,19.65,,,,,
138,1664,64.42,18.18,20.15,65.8,103.52,101.19,20.05,,,,,
155,1664,64.42,18.35,20.33,68.38,107.97,105.19,20.22,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1792,65.07,17,19.18,50.08,82.76,76.87,18.86,,,,,
58,1792,65.07,16.65,18.45,46.24,69.96,70.93,18.51,,,,,
106,1792,65.07,18.02,19.84,63.4,96.28,97.48,19.89,,,,,
122,1792,65.07,18.44,20.24,69.9,105.62,107.53,20.32,,,,,
138,1792,65.07,18.78,20.75,75.54,118.97,116.26,20.65,,,,,
155,1792,65.07,19.06,21.01,80.45,126.16,123.86,20.93,,,,,
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,1920,65.67,17.59,19.75,57.42,94.51,88.23,19.46,,,,,
58,1920,65.67,17.2,19.06,52.44,80.62,80.53,19.06,,,,,
106,1920,65.67,18.65,20.49,73.25,111.96,112.73,20.52,,,,,
122,1920,65.67,18.98,20.78,79.12,119.61,121.8,20.86,,,,,
138,1920,65.67,19.27,21.23,84.62,132.72,130.31,21.15,,,,,
155,1920,65.67,19.54,21.55,90.05,142.91,138.7,21.42,,,,,
