ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,640,56.12,9.47,11.05,8.86,12.75,7.58,8.8,,,-1.58,,-2.25
42,704,56.95,10.2,11.81,10.48,15.17,8.99,9.54,,,-1.61,,-2.27
42,768,57.71,10.74,12.5,11.85,17.78,10.18,10.08,,,-1.76,,-2.42
42,832,58.4,11.58,13.34,14.39,21.58,12.41,10.94,,,-1.76,,-2.4
42,896,59.05,12.16,13.97,16.46,24.94,14.22,11.53,,,-1.81,,-2.44
42,960,59.65,12.71,14.5,18.67,28.21,16.18,12.09,,,-1.79,,-2.41
42,1024,60.21,13.31,15.02,21.4,31.76,18.61,12.7,,,-1.71,,-2.32
42,1088,60.73,13.83,15.54,24.14,35.78,21.06,13.23,,,-1.71,,-2.31
42,1152,61.23,14.35,16.02,27.2,39.98,23.82,13.77,,,-1.67,,-2.25
42,1216,61.7,14.73,16.48,29.74,44.46,26.13,14.17,,,-1.75,,-2.31
42,1280,62.14,15.12,16.93,32.51,49.26,28.66,14.57,,,-1.81,,-2.36
42,1344,62.57,15.58,17.36,36.13,54.45,31.98,15.05,,,-1.78,,-2.31
42,1408,62.97,15.96,17.75,39.45,59.54,35.06,15.45,,,-1.79,,-2.3
42,1472,63.36,16.37,18.14,43.33,65.11,38.69,15.88,,,-1.77,,-2.26
42,1536,63.73,16.72,18.5,46.98,70.73,42.13,16.25,,,-1.78,,-2.25
42,1600,64.08,17.07,18.85,50.89,76.66,45.86,16.61,,,-1.78,,-2.24
42,1664,64.42,17.38,19.2,54.69,83.24,49.5,16.95,,,-1.82,,-2.25
42,1728,64.75,17.7,19.52,58.86,89.54,53.54,17.29,,,-1.82,,-2.23
42,1792,65.07,17.99,19.82,62.88,95.92,57.47,17.59,,,-1.83,,-2.23
42,1856,65.37,18.27,20.11,67.13,102.59,61.65,17.9,,,-1.84,,-2.21
42,1920,65.67,18.54,20.4,71.37,109.68,65.87,18.19,,,-1.86,,-2.21
42,1984,65.95,18.78,20.68,75.43,117,69.95,18.45,,,-1.9,,-2.23
42,2048,66.23,19.09,20.96,81,124.67,75.6,18.79,,,-1.87,,-2.17
42,2112,66.49,19.33,21.18,85.69,131.11,80.4,19.05,,,-1.85,,-2.13
42,2176,66.75,19.56,21.42,90.38,138.57,85.25,19.31,,,-1.86,,-2.11
42,2240,67,19.77,21.65,94.73,146.19,89.8,19.53,,,-1.88,,-2.12
42,2304,67.25,20.01,21.87,100.19,153.75,95.57,19.8,,,-1.86,,-2.07
42,2368,67.49,20.17,22.1,103.89,162.37,99.5,19.98,,,-1.93,,-2.12
42,2432,67.72,20.37,22.3,108.94,170,104.93,20.21,,,-1.93,,-2.09
42,2496,67.94,20.55,22.5,113.41,177.86,109.77,20.4,,,-1.95,,-2.1
42,2560,68.16,20.73,22.69,118.28,185.94,115.1,20.61,,,-1.96,,-2.08
42,2624,68.38,20.89,22.87,122.78,193.83,120.08,20.79,,,-1.98,,-2.08
42,2688,68.59,21.04,23.03,126.99,201.08,124.76,20.96,,,-1.99,,-2.07
42,2752,68.79,21.2,23.19,131.9,208.38,130.28,21.15,,,-1.99,,-2.04
42,2816,68.99,21.33,23.34,135.81,215.87,134.71,21.29,,,-2.01,,-2.05
42,2880,69.19,21.45,23.49,139.5,223.14,138.92,21.43,,,-2.04,,-2.06
42,2944,69.38,21.57,23.62,143.7,229.96,143.76,21.58,,,-2.05,,-2.04
42,3008,69.57,21.68,23.74,147.28,236.48,147.9,21.7,,,-2.06,,-2.04
42,3072,69.75,21.8,23.86,151.23,242.94,152.51,21.83,,,-2.06,,-2.03
42,3136,69.93,21.89,23.97,154.67,249.55,156.54,21.95,,,-2.08,,-2.02
42,3200,70.1,21.98,24.07,157.88,255.13,160.33,22.05,,,-2.09,,-2.02
42,3264,70.28,22.07,24.16,161.09,260.82,164.14,22.15,,,-2.09,,-2.01
42,3328,70.44,22.14,24.25,163.6,266.09,167.14,22.23,,,-2.11,,-2.02
42,3392,70.61,22.18,24.28,165.22,268.12,169.08,22.28,,,-2.1,,-2
42,3456,70.77,22.24,24.36,167.58,272.66,171.92,22.35,,,-2.12,,-2.01
42,3520,70.93,22.33,24.42,170.83,276.88,175.85,22.45,,,-2.09,,-1.97
42,3584,71.09,22.37,24.48,172.45,280.58,177.82,22.5,,,-2.11,,-1.98
42,3648,71.24,22.39,24.52,173.3,283.02,178.85,22.52,,,-2.13,,-2
42,3712,71.39,22.44,24.56,175.48,285.64,181.51,22.59,,,-2.12,,-1.97
42,3776,71.54,22.47,24.6,176.51,288.45,182.77,22.62,,,-2.13,,-1.98
42,3840,71.69,22.51,24.63,178.36,290.11,185.04,22.67,,,-2.12,,-1.96
42,3904,71.83,22.55,24.66,179.8,292.41,186.81,22.71,,,-2.11,,-1.95
42,3968,71.97,22.58,24.69,180.98,294.66,188.26,22.75,,,-2.11,,-1.94
42,4032,72.11,22.61,24.72,182.27,296.47,189.86,22.78,,,-2.11,,-1.94
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,#VALUE!,,#VALUE!
58,640,56.12,10.37,11.84,10.89,15.29,9.34,9.71,,,-1.47,,-2.13
58,704,56.95,11.38,12.63,13.73,18.31,11.82,10.73,,,-1.25,,-1.9
58,768,57.71,11.92,13.4,15.57,21.9,13.44,11.29,,,-1.48,,-2.11
58,832,58.4,12.76,14.1,18.89,25.68,16.38,12.14,,,-1.34,,-1.96
58,896,59.05,13.33,14.75,21.52,29.86,18.71,12.72,,,-1.42,,-2.03
58,960,59.65,13.8,15.32,23.99,34.07,20.92,13.21,,,-1.52,,-2.11
58,1024,60.21,14.39,15.89,27.49,38.82,24.08,13.82,,,-1.5,,-2.07
58,1088,60.73,14.92,16.42,31.04,43.81,27.31,14.36,,,-1.5,,-2.06
58,1152,61.23,15.42,16.92,34.84,49.23,30.79,14.88,,,-1.5,,-2.04
58,1216,61.7,15.91,17.39,38.97,54.87,34.62,15.39,,,-1.48,,-2
58,1280,62.14,16.35,17.85,43.14,60.89,38.51,15.86,,,-1.5,,-1.99
58,1344,62.57,16.78,18.27,47.61,67.15,42.73,16.31,,,-1.49,,-1.96
58,1408,62.97,17.15,18.68,51.92,73.75,46.84,16.71,,,-1.53,,-1.97
58,1472,63.36,17.55,19.08,56.83,80.89,51.57,17.12,,,-1.53,,-1.96
58,1536,63.73,17.93,19.44,62.11,87.98,56.71,17.54,,,-1.51,,-1.9
58,1600,64.08,18.28,19.79,67.28,95.33,61.8,17.91,,,-1.51,,-1.88
58,1664,64.42,18.6,20.13,72.52,103.15,67.02,18.26,,,-1.53,,-1.87
58,1728,64.75,18.89,20.46,77.46,111.22,72,18.57,,,-1.57,,-1.89
58,1792,65.07,19.18,20.76,82.85,119,77.49,18.89,,,-1.58,,-1.87
58,1856,65.37,19.66,21.13,92.44,129.87,87.41,19.42,,,-1.47,,-1.71
58,1920,65.67,19.89,21.41,97.57,138.32,92.79,19.68,,,-1.52,,-1.73
58,1984,65.95,20.15,21.68,103.52,147.26,99.1,19.96,,,-1.53,,-1.72
