ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
42,640,56.12,2.2,3.41,1.66,2.19
42,704,56.95,2.75,4.21,1.88,2.63
42,768,57.71,3.38,4.94,2.18,3.12
42,832,58.4,4.42,5.63,2.77,3.65
42,896,59.05,5.02,6.27,3.17,4.23
42,960,59.65,5.31,6.85,3.4,4.84
42,1024,60.21,5.58,7.44,3.62,5.55
42,1088,60.73,6.08,7.95,4.06,6.23
42,1152,61.23,6.53,8.42,4.5,6.96
42,1216,61.7,7.37,8.87,5.46,7.71
42,1280,62.14,7.31,9.44,5.39,8.8
42,1344,62.57,8.08,9.85,6.42,9.67
42,1408,62.97,8.44,10.18,6.97,10.43
42,1472,63.36,8.55,10.57,7.16,11.4
42,1536,63.73,9.13,10.93,8.19,12.38
42,1600,64.08,9.4,11.27,8.71,13.39
42,1664,64.42,9.63,11.61,9.19,14.47
42,1728,64.75,10.25,11.92,10.59,15.55
42,1792,65.07,10.37,12.19,10.89,16.55
42,1856,65.37,10.53,12.48,11.29,17.7
42,1920,65.67,10.87,12.77,12.22,18.93
42,1984,65.95,11.27,13.2,13.4,20.91
42,2048,66.23,11.39,13.48,13.77,22.27
42,2112,66.49,11.75,13.74,14.95,23.64
42,2176,66.75,12.22,13.99,16.68,25.06
42,2240,67,12.3,14.16,16.98,26.09
42,2304,67.25,12.58,14.42,18.12,27.64
42,2368,67.49,12.78,14.65,18.97,29.18
42,2432,67.72,13.08,14.87,20.33,30.67
42,2496,67.94,13.2,15.04,20.89,31.88
42,2560,68.16,13.44,15.26,22.07,33.55
42,2624,68.38,13.65,15.46,23.18,35.2
42,2688,68.59,13.89,15.67,24.47,36.89
42,2752,68.79,14.05,15.87,25.39,38.64
42,2816,68.99,14.25,16.06,26.61,40.4
42,2880,69.19,14.44,16.26,27.79,42.28
42,2944,69.38,14.65,16.45,29.15,44.12
42,3008,69.57,14.85,16.63,30.56,46.04
42,3072,69.75,15.04,16.81,31.89,47.94
42,3136,69.93,15.2,17,33.1,50.16
42,3200,70.1,15.31,17.18,33.99,52.2
42,3264,70.28,15.56,17.35,35.98,54.31
42,3328,70.44,15.63,17.52,36.57,56.47
42,3392,70.61,15.82,17.68,38.2,58.62
42,3456,70.77,16.05,17.84,40.26,60.82
42,3520,70.93,16.14,18,41.11,63.06
42,3584,71.09,16.26,18.14,42.22,65.23
42,3648,71.24,16.47,18.29,44.36,67.47
42,3712,71.39,16.63,18.44,46.06,69.88
42,3776,71.54,16.79,18.59,47.72,72.36
42,3840,71.69,16.93,18.74,49.3,74.81
42,3904,71.83,17.1,18.88,51.26,77.3
42,3968,71.97,17.18,19.04,52.26,80.11
42,4032,72.11,17.25,19.18,53.14,82.86
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
58,640,56.12,0.44,2.7,1.11,1.86
58,704,56.95,2.48,3.5,1.77,2.24
58,768,57.71,2.48,4.24,1.77,2.65
58,832,58.4,3.8,4.95,2.4,3.13
58,896,59.05,4.06,5.6,2.55,3.63
58,960,59.65,4.96,6.19,3.14,4.16
58,1024,60.21,5.92,6.73,3.91,4.71
58,1088,60.73,5.31,7.29,3.4,5.36
58,1152,61.23,6.46,7.77,4.43,5.98
58,1216,61.7,6.97,8.22,4.98,6.63
58,1280,62.14,7.22,8.66,5.28,7.35
58,1344,62.57,7.55,9.13,5.68,8.19
58,1408,62.97,8.2,9.52,6.61,8.96
58,1472,63.36,8.22,9.92,6.64,9.81
58,1536,63.73,8.93,10.28,7.82,10.66
58,1600,64.08,9.11,10.62,8.16,11.55
58,1664,64.42,9.56,10.98,9.04,12.52
58,1728,64.75,9.67,11.3,9.26,13.48
58,1792,65.07,10.03,11.6,10.07,14.45
58,1856,65.37,10.43,11.9,11.03,15.48
58,1920,65.67,10.72,12.19,11.81,16.54
58,1984,65.95,11.06,12.46,12.77,17.64
58,2048,66.23,11.06,12.73,12.77,18.75
58,2112,66.49,11.5,13.03,14.13,20.09
58,2176,66.75,11.84,13.29,15.28,21.33
58,2240,67,12.08,13.52,16.13,22.51
58,2304,67.25,12.28,13.77,16.9,23.81
58,2368,67.49,12.53,14.01,17.9,25.18
58,2432,67.72,12.79,14.24,19.01,26.53
58,2496,67.94,12.91,14.46,19.52,27.9
58,2560,68.16,13.22,14.68,21,29.37
58,2624,68.38,13.32,14.88,21.48,30.75
58,2688,68.59,13.57,15.08,22.77,32.2
58,2752,68.79,13.79,15.28,23.91,33.74
58,2816,68.99,13.94,15.47,24.8,35.27
58,2880,69.19,14.11,15.67,25.76,36.88
58,2944,69.38,14.32,15.85,27.01,38.45
58,3008,69.57,14.48,16.04,28.05,40.22
58,3072,69.75,14.73,16.23,29.71,41.99
58,3136,69.93,14.87,16.4,30.7,43.64
58,3200,70.1,15.05,16.56,31.96,45.34
58,3264,70.28,15.24,16.73,33.44,47.11
58,3328,70.44,15.42,16.92,34.84,49.21
58,3392,70.61,15.64,17.08,36.61,51.09
58,3456,70.77,15.78,17.24,37.83,52.95
58,3520,70.93,15.89,17.4,38.82,54.98
58,3584,71.09,16.03,17.55,40.08,56.95
58,3648,71.24,16.17,17.71,41.37,58.99
58,3712,71.39,16.37,17.86,43.4,61.1
58,3776,71.54,16.52,18.01,44.91,63.31
58,3840,71.69,16.7,18.16,46.72,65.49
58,3904,71.83,16.78,18.31,47.61,67.69
58,3968,71.97,16.95,18.45,49.53,69.94
58,4032,72.11,17.04,18.59,50.56,72.2
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
106,640,56.12,2.01,3.54,1.59,2.26
106,704,56.95,2.57,4.34,1.81,2.72
106,768,57.71,4.48,5.11,2.8,3.24
106,832,58.4,4.12,5.77,2.58,3.78
106,896,59.05,4.91,6.51,3.1,4.48
106,960,59.65,5.58,7.02,3.62,5.04
106,1024,60.21,6.46,7.57,4.43,5.71
106,1088,60.73,6.35,8.27,4.32,6.72
106,1152,61.23,7.16,8.76,5.2,7.52
106,1216,61.7,7.66,9.22,5.83,8.35
106,1280,62.14,8.08,9.65,6.42,9.22
106,1344,62.57,8.17,10.03,6.57,10.08
106,1408,62.97,8.66,10.42,7.34,11.02
106,1472,63.36,8.79,10.8,7.57,12.01
106,1536,63.73,9.68,11.13,9.3,12.97
106,1600,64.08,9.72,11.48,9.37,14.05
106,1664,64.42,10.22,11.82,10.52,15.21
106,1728,64.75,10.49,12.25,11.18,16.79
106,1792,65.07,10.65,12.56,11.62,18.04
106,1856,65.37,11.04,12.85,12.7,19.27
106,1920,65.67,11.45,13.14,13.95,20.62
106,1984,65.95,11.79,13.42,15.09,21.99
106,2048,66.23,12.01,13.7,15.87,23.42
106,2112,66.49,12.25,13.95,16.79,24.85
106,2176,66.75,12.55,14.15,18.01,26.02
106,2240,67,12.76,14.4,18.89,27.57
106,2304,67.25,12.96,14.65,19.78,29.19
106,2368,67.49,13.18,14.89,20.81,30.81
106,2432,67.72,13.47,15.09,22.25,32.26
106,2496,67.94,13.82,15.31,24.1,33.93
106,2560,68.16,13.93,15.52,24.73,35.67
106,2624,68.38,14.15,15.73,26.02,37.42
106,2688,68.59,14.33,15.94,27.09,39.27
106,2752,68.79,14.55,16.19,28.49,41.56
106,2816,68.99,14.75,16.38,29.86,43.42
106,2880,69.19,14.95,16.57,31.26,45.38
106,2944,69.38,15.14,16.75,32.62,47.31
106,3008,69.57,15.41,16.94,34.73,49.41
106,3072,69.75,15.49,17.11,35.43,51.43
106,3136,69.93,15.69,17.29,37.05,53.54
106,3200,70.1,15.86,17.46,38.56,55.66
106,3264,70.28,16.05,17.63,40.26,57.93
106,3328,70.44,16.23,17.8,41.96,60.28
106,3392,70.61,16.37,17.97,43.4,62.62
106,3456,70.77,16.56,18.12,45.32,64.93
106,3520,70.93,16.66,18.27,46.31,67.21
106,3584,71.09,16.81,18.43,48.01,69.73
106,3648,71.24,16.98,18.59,49.93,72.24
106,3712,71.39,17.1,18.74,51.3,74.8
106,3776,71.54,17.25,18.88,53.11,77.33
106,3840,71.69,17.4,19.05,54.91,80.3
106,3904,71.83,17.57,19.19,57.16,82.99
106,3968,71.97,17.66,19.33,58.35,85.74
106,4032,72.11,17.81,19.47,60.41,88.51
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
122,640,56.12,3.59,4.13,2.29,2.59
122,704,56.95,3.73,4.94,2.36,3.12
122,768,57.71,4.12,5.69,2.58,3.71
122,832,58.4,5.07,6.38,3.21,4.34
122,896,59.05,5.49,6.97,3.54,4.98
122,960,59.65,6.12,7.55,4.1,5.69
122,1024,60.21,6.78,8.14,4.76,6.52
122,1088,60.73,7.28,8.67,5.35,7.35
122,1152,61.23,7.9,9.15,6.16,8.22
122,1216,61.7,7.9,9.6,6.16,9.12
122,1280,62.14,8.5,10.04,7.09,10.08
122,1344,62.57,8.68,10.45,7.38,11.08
