ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
42,640,56.12,8.17,10.14,6.57,10.32,5.61,7.49,,,1.97
42,704,56.95,8.81,10.94,7.6,12.42,6.5,8.13,,,2.13
42,768,57.71,9.62,11.66,9.15,14.65,7.84,8.94,,,2.04
42,832,58.4,10.44,12.31,11.07,17.01,9.5,9.78,,,1.87
42,896,59.05,10.8,12.9,12.03,19.51,10.34,10.15,,,2.1
42,960,59.65,11.61,13.62,14.5,23.04,12.5,10.97,,,2.01
42,1024,60.21,12.08,14.11,16.13,25.74,13.93,11.44,,,2.03
42,1088,60.73,12.56,14.61,18.05,28.88,15.63,11.94,,,2.05
42,1152,61.23,13.1,15.04,20.41,31.94,17.72,12.49,,,1.94
42,1216,61.7,13.53,15.5,22.55,35.48,19.63,12.93,,,1.97
42,1280,62.14,13.94,15.92,24.8,39.09,21.65,13.36,,,1.98
42,1344,62.57,14.29,16.33,26.87,42.97,23.52,13.71,,,2.04
42,1408,62.97,14.79,16.73,30.11,47.05,26.46,14.23,,,1.94
42,1472,63.36,15.18,17.13,32.96,51.64,29.06,14.63,,,1.95
42,1536,63.73,15.57,17.5,36.02,56.28,31.88,15.04,,,1.93
42,1600,64.08,15.83,17.86,38.27,61.06,33.97,15.31,,,2.03
42,1664,64.42,16.26,18.23,42.22,66.51,37.65,15.76,,,1.97
42,1728,64.75,16.6,18.54,45.69,71.46,40.91,16.12,,,1.94
42,1792,65.07,16.84,18.85,48.34,76.74,43.43,16.38,,,2.01
42,1856,65.37,17.14,19.16,51.78,82.35,46.7,16.69,,,2.02
42,1920,65.67,17.42,19.44,55.25,87.87,50.04,16.99,,,2.02
42,1984,65.95,17.67,19.67,58.46,92.69,53.15,17.25,,,2
42,2048,66.23,17.88,19.92,61.41,98.28,56.02,17.48,,,2.04
42,2112,66.49,18.11,20.16,64.77,103.84,59.32,17.73,,,2.05
42,2176,66.75,18.36,20.4,68.57,109.63,63.08,18,,,2.04
42,2240,67,18.54,20.63,71.48,115.68,65.99,18.19,,,2.09
42,2304,67.25,18.81,20.86,76.06,121.82,70.58,18.49,,,2.05
