ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,8.93,10.72,7.82,11.81,11.50,10.61
42,704,56.95,9.82,11.44,9.60,13.93,14.24,11.54
42,768,57.71,10.26,12.13,10.63,16.33,15.84,12.00
42,832,58.40,10.93,12.80,12.40,19.03,18.58,12.69
42,896,59.05,11.51,13.52,14.17,22.51,21.32,13.29
42,960,59.65,12.19,14.07,16.57,25.54,25.03,13.99
42,1024,60.21,12.61,14.53,18.23,28.37,27.60,14.41
42,1088,60.73,13.21,15.03,20.92,31.82,31.77,15.02
42,1152,61.23,13.57,15.43,22.77,34.90,34.63,15.39
42,1216,61.70,13.94,15.87,24.76,38.64,37.71,15.76
42,1280,62.14,14.35,16.25,27.24,42.15,41.53,16.18
42,1344,62.57,14.70,16.64,29.52,46.13,45.07,16.54
42,1408,62.97,15.10,17.04,32.36,50.62,49.47,16.94
42,1472,63.36,15.51,17.42,35.58,55.26,54.44,17.36
42,1536,63.73,15.82,17.77,38.23,59.81,58.55,17.67
42,1600,64.08,16.23,18.17,42.00,65.67,64.37,18.09
42,1664,64.42,16.50,18.49,44.69,70.69,68.54,18.36
42,1728,64.75,16.77,18.79,47.57,75.72,72.99,18.63
42,1792,65.07,17.12,19.10,51.56,81.26,79.16,18.98
42,1856,65.37,17.44,19.38,55.43,86.62,85.15,19.30
42,1920,65.67,17.65,19.63,58.23,91.89,89.49,19.52
42,1984,65.95,17.88,19.84,61.45,96.38,94.46,19.75
42,2048,66.23,18.09,20.07,64.40,101.73,99.02,19.96
42,2112,66.49,18.31,20.29,67.76,106.93,104.22,20.18
42,2176,66.75,18.53,20.52,71.26,112.82,109.64,20.40
42,2240,67.00,18.75,20.75,74.95,118.75,115.35,20.62
42,2304,67.25,18.97,20.98,78.83,125.20,121.35,20.84
42,2368,67.49,19.24,21.16,83.96,130.55,129.28,21.12
42,2432,67.72,19.41,21.37,87.32,137.06,134.48,21.29
42,2496,67.94,19.59,21.57,91.08,143.50,140.30,21.47
42,2560,68.16,19.77,21.76,94.84,150.07,146.12,21.65
42,2624,68.38,19.91,21.95,97.94,156.65,150.92,21.79
42,2688,68.59,20.06,22.10,101.38,162.28,156.23,21.94
42,2752,68.79,20.23,22.28,105.47,169.22,162.57,22.11
42,2816,68.99,20.42,22.47,110.23,176.50,169.93,22.30
42,2880,69.19,20.60,22.64,114.74,183.77,176.90,22.48
42,2944,69.38,20.73,22.82,118.24,191.49,182.32,22.61
42,3008,69.57,20.88,22.97,122.56,198.11,189.00,22.76
42,3072,69.75,21.02,23.15,126.54,206.34,195.16,22.90
42,3136,69.93,21.20,23.32,131.67,214.93,203.10,23.08
42,3200,70.10,21.37,23.48,136.95,222.90,211.26,23.25
42,3264,70.28,21.50,23.63,141.20,230.90,217.83,23.38
42,3328,70.44,21.61,23.78,144.85,238.60,223.48,23.49
42,3392,70.61,21.67,23.84,146.95,242.05,226.74,23.56
42,3456,70.77,21.84,24.01,152.67,252.03,235.58,23.72
42,3520,70.93,22.00,24.18,158.54,261.55,244.66,23.89
42,3584,71.09,22.12,24.32,163.12,270.46,251.74,24.01
42,3648,71.24,22.21,24.46,166.51,278.96,256.99,24.10
42,3712,71.39,22.35,24.58,171.64,287.22,264.93,24.23
42,3776,71.54,22.49,24.76,177.29,299.49,273.66,24.37
42,3840,71.69,22.59,24.85,181.64,305.79,280.40,24.48
42,3904,71.83,22.68,24.93,185.26,311.26,286.00,24.56
42,3968,71.97,22.73,25.03,187.58,318.08,289.59,24.62
