ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,16.48,16.39,44.43,43.54,67.24,18.28
58,640,56.12,11.19,11.36,13.14,13.67,20.71,13.16
106,640,56.12,9.65,10.75,9.23,11.88,15.02,11.77
122,640,56.12,9.47,10.98,8.86,12.54,14.48,11.61
138,640,56.12,9.60,11.39,9.12,13.77,14.85,11.72
155,640,56.12,9.65,11.52,9.23,14.19,15.02,11.77
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,832,58.40,14.55,14.68,28.49,29.38,43.31,16.37
58,832,58.40,13.56,13.54,22.70,22.62,34.73,15.41
106,832,58.40,11.75,13.08,14.95,20.31,23.35,13.68
122,832,58.40,11.96,13.25,15.72,21.13,24.48,13.89
138,832,58.40,11.84,13.57,15.28,22.73,23.83,13.77
155,832,58.40,11.91,13.78,15.54,23.88,24.21,13.84
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1024,60.21,16.19,16.27,41.55,42.38,62.88,17.99
58,1024,60.21,15.28,15.28,33.69,33.72,51.07,17.08
106,1024,60.21,13.43,14.69,22.03,29.42,33.75,15.28
122,1024,60.21,13.50,14.87,22.40,30.66,34.29,15.35
138,1024,60.21,13.69,15.37,23.40,34.42,35.76,15.53
155,1024,60.21,13.60,15.46,22.92,35.19,35.05,15.45
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1216,61.70,17.58,17.75,57.28,59.57,86.86,19.39
58,1216,61.70,16.72,16.71,47.02,46.86,71.16,18.52
106,1216,61.70,14.95,16.17,31.29,41.38,47.48,16.77
122,1216,61.70,15.05,16.36,31.96,43.21,48.48,16.86
138,1216,61.70,15.06,16.80,32.07,47.88,48.64,16.87
155,1216,61.70,15.18,16.92,32.96,49.24,49.96,16.99
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1408,62.97,18.88,19.00,77.20,79.51,117.90,20.72
58,1408,62.97,17.92,17.93,61.96,62.11,94.09,19.74
106,1408,62.97,16.16,17.34,41.26,54.23,62.44,17.95
122,1408,62.97,16.18,17.53,41.48,56.63,62.77,17.98
138,1408,62.97,16.19,17.99,41.55,62.99,62.88,17.99
155,1408,62.97,16.35,18.13,43.18,65.06,65.34,18.15
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1600,64.08,19.84,19.98,96.39,99.51,148.48,21.72
58,1600,64.08,19.06,19.05,80.60,80.28,123.26,20.91
106,1600,64.08,17.24,18.48,52.99,70.55,80.28,19.05
122,1600,64.08,17.33,18.66,54.03,73.44,81.87,19.13
138,1600,64.08,17.33,19.13,54.10,81.92,81.98,19.14
155,1600,64.08,17.33,19.20,54.03,83.18,81.87,19.13
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1792,65.07,20.95,21.01,124.33,126.14,194.22,22.88
58,1792,65.07,20.01,19.92,100.31,98.17,154.80,21.90
106,1792,65.07,18.04,19.26,63.62,84.26,96.67,19.85
122,1792,65.07,18.17,19.52,65.69,89.49,99.88,19.99
138,1792,65.07,18.34,20.09,68.31,102.08,103.96,20.17
155,1792,65.07,18.37,20.16,68.75,103.74,104.65,20.20
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1984,65.95,21.79,21.79,151.12,151.11,239.43,23.79
58,1984,65.95,20.82,20.79,120.68,120.03,188.16,22.75
106,1984,65.95,18.92,20.18,78.02,104.30,119.18,20.76
122,1984,65.95,18.97,20.40,78.94,109.59,120.64,20.81
138,1984,65.95,19.16,20.83,82.33,121.16,126.01,21.00
155,1984,65.95,19.19,20.96,83.07,124.88,127.18,21.04
