ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,
42,640,56.12,16.43,14.81,43.99,30.26,66.57,18.23,,,,3.42
58,640,56.12,11.35,9.84,13.65,9.64,21.46,13.32,,,,3.48
106,640,56.12,8.93,9.14,7.82,8.21,12.98,11.13,,,,1.99
122,640,56.12,9.89,9.64,9.74,9.21,15.77,11.98,,,,2.34
138,640,56.12,10.23,10.02,10.55,10.05,16.94,12.29,,,,2.27
155,640,56.12,10.31,10.19,10.74,10.44,17.21,12.36,,,,2.17
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,832,58.4,14.55,13.13,28.49,20.58,43.31,16.37,,,,3.24
58,832,58.4,13.74,12.21,23.66,16.62,36.14,15.58,,,,3.37
106,832,58.4,11.42,11.23,13.88,13.28,21.78,13.38,,,,2.15
122,832,58.4,11.91,11.74,15.54,14.94,24.21,13.84,,,,2.1
138,832,58.4,12.14,12.1,16.39,16.22,25.45,14.06,,,,1.96
155,832,58.4,12.55,12.47,17.97,17.66,27.78,14.44,,,,1.97
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,1024,60.21,16.4,14.81,43.62,30.28,66.01,18.2,,,,3.39
58,1024,60.21,15.48,13.91,35.35,24.62,53.55,17.29,,,,3.38
106,1024,60.21,13.12,13.13,20.52,20.57,31.52,14.99,,,,1.86
122,1024,60.21,13.68,13.59,23.32,22.87,35.65,15.52,,,,1.93
138,1024,60.21,14.04,14.07,25.35,25.5,38.65,15.87,,,,1.8
155,1024,60.21,14.09,14.11,25.65,25.79,39.09,15.92,,,,1.81
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,1216,61.7,17.8,16.2,60.3,41.66,91.52,19.62,,,,3.42
58,1216,61.7,17.03,15.42,50.41,34.8,76.33,18.83,,,,3.41
106,1216,61.7,14.73,14.5,29.71,28.2,45.12,16.54,,,,2.04
122,1216,61.7,15.14,14.93,32.62,31.13,49.47,16.94,,,,2.01
138,1216,61.7,15.39,15.44,34.58,34.96,52.39,17.19,,,,1.75
155,1216,61.7,15.58,15.52,36.13,35.61,54.72,17.38,,,,1.86
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,1408,62.97,19.12,17.46,81.71,55.73,125.01,20.97,,,,3.51
58,1408,62.97,18.35,16.68,68.42,46.53,104.13,20.18,,,,3.5
106,1408,62.97,15.95,15.7,39.38,37.12,59.6,17.75,,,,2.05
122,1408,62.97,16.42,16.15,43.81,41.25,66.29,18.21,,,,2.06
138,1408,62.97,16.67,16.76,46.5,47.43,70.38,18.47,,,,1.71
155,1408,62.97,16.8,16.79,47.83,47.73,72.4,18.6,,,,1.81
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,1600,64.08,20.27,18.62,106.51,72.82,164.87,22.17,,,,3.55
58,1600,64.08,19.41,17.74,87.28,59.37,133.87,21.27,,,,3.53
106,1600,64.08,17.09,16.89,51.15,48.82,77.46,18.89,,,,2
122,1600,64.08,17.52,17.24,56.46,52.93,85.61,19.33,,,,2.09
138,1600,64.08,17.73,17.84,59.31,60.84,89.99,19.54,,,,1.7
155,1600,64.08,17.96,17.9,62.48,61.72,94.89,19.77,,,,1.87
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,1792,65.07,21.23,19.59,132.67,90.95,208.15,23.18,,,,3.59
58,1792,65.07,20.42,18.74,110.12,74.81,170.78,22.32,,,,3.58
106,1792,65.07,18.03,17.82,63.48,60.58,96.44,19.84,,,,2.02
122,1792,65.07,18.5,18.25,70.86,66.83,107.93,20.33,,,,2.08
138,1792,65.07,18.73,18.83,74.58,76.3,113.78,20.56,,,,1.73
155,1792,65.07,18.87,18.87,77.02,77.12,117.61,20.7,,,,1.83
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,#VALUE!
42,1984,65.95,21.97,20.36,157.36,108.74,250.14,23.98,,,,3.62
58,1984,65.95,21.23,19.58,132.74,90.85,208.27,23.19,,,,3.61
106,1984,65.95,18.88,18.66,77.24,73.4,117.96,20.72,,,,2.06
122,1984,65.95,19.35,19.11,86.06,81.46,131.93,21.2,,,,2.09
138,1984,65.95,19.55,19.67,90.19,92.68,138.53,21.42,,,,1.75
155,1984,65.95,19.68,19.72,92.85,93.74,142.79,21.55,,,,1.83
