ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,13.00,15.02,19.97,31.80,30.70,14.87
58,640,56.12,8.72,10.13,7.45,10.31,12.45,10.95
106,640,56.12,9.38,11.34,8.67,13.61,14.21,11.53
122,640,56.12,9.75,11.59,9.45,14.43,15.34,11.86
138,640,56.12,10.26,12.05,10.63,16.02,17.05,12.32
155,640,56.12,10.63,12.47,11.55,17.65,18.39,12.65
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,832,58.40,11.02,12.94,12.66,19.69,20.01,13.01
58,832,58.40,10.80,12.37,12.03,17.26,19.09,12.81
106,832,58.40,11.83,13.70,15.24,23.43,23.78,13.76
122,832,58.40,11.95,13.79,15.68,23.95,24.42,13.88
138,832,58.40,12.39,14.43,17.34,27.75,26.86,14.29
155,832,58.40,12.54,14.50,17.94,28.20,27.72,14.43
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1024,60.21,12.88,14.76,19.41,29.95,29.89,14.76
58,1024,60.21,12.42,14.09,17.46,25.66,27.02,14.32
106,1024,60.21,13.62,15.29,22.99,33.77,35.16,15.46
122,1024,60.21,13.73,15.48,23.58,35.36,36.03,15.57
138,1024,60.21,14.03,16.10,25.32,40.76,38.60,15.87
155,1024,60.21,14.17,16.24,26.13,42.12,39.80,16.00
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1216,61.70,14.36,16.23,27.27,42.00,41.50,16.18
58,1216,61.70,13.77,15.52,23.84,35.62,36.42,15.61
106,1216,61.70,14.94,16.78,31.18,47.69,47.32,16.75
122,1216,61.70,15.23,17.00,33.36,50.06,50.57,17.04
138,1216,61.70,15.52,17.55,35.65,56.86,54.00,17.32
155,1216,61.70,15.71,17.67,37.27,58.50,56.43,17.52
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1408,62.97,15.47,17.39,35.21,54.83,53.33,17.27
58,1408,62.97,15.09,16.76,32.29,47.47,48.97,16.90
106,1408,62.97,16.26,18.04,42.26,63.74,63.94,18.06
122,1408,62.97,16.34,18.10,43.03,64.61,65.12,18.14
138,1408,62.97,16.64,18.73,46.17,74.72,69.87,18.44
155,1408,62.97,16.95,18.97,49.56,78.90,75.04,18.75
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1600,64.08,16.56,18.53,45.24,71.36,68.47,18.36
58,1600,64.08,16.17,17.85,41.41,60.91,62.66,17.97
106,1600,64.08,17.32,19.14,53.92,82.04,81.70,19.12
122,1600,64.08,17.52,19.29,56.54,84.95,85.72,19.33
138,1600,64.08,17.90,19.95,61.63,98.75,93.58,19.71
155,1600,64.08,18.01,20.04,63.18,100.86,95.98,19.82
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1792,65.07,17.48,19.51,56.02,89.29,84.93,19.29
58,1792,65.07,17.20,18.86,52.48,76.93,79.49,19.00
106,1792,65.07,18.26,20.08,66.94,101.86,101.83,20.08
122,1792,65.07,18.38,20.23,68.90,105.51,104.88,20.21
138,1792,65.07,18.80,20.88,75.84,122.53,115.75,20.64
155,1792,65.07,18.95,20.96,78.61,124.68,120.11,20.80
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1984,65.95,18.23,20.29,66.58,107.00,101.25,20.05
58,1984,65.95,18.00,19.68,63.14,92.82,95.92,19.82
106,1984,65.95,19.07,20.94,80.67,124.05,123.38,20.91
122,1984,65.95,19.28,21.14,84.70,130.15,129.76,21.13
138,1984,65.95,19.56,21.54,90.42,142.71,138.88,21.43
155,1984,65.95,19.70,21.77,93.22,150.32,143.38,21.56
