ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,640,56.12,13.00,15.02,19.97,31.80,30.70,14.87
58,640,56.12,8.72,10.13,7.45,10.31,12.45,10.95
106,640,56.12,9.38,11.34,8.67,13.61,14.21,11.53
122,640,56.12,9.75,11.59,9.45,14.43,15.34,11.86
138,640,56.12,10.26,12.05,10.63,16.02,17.05,12.32
155,640,56.12,10.63,12.47,11.55,17.65,18.39,12.65
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,832,58.40,11.02,12.94,12.66,19.69,20.01,13.01
58,832,58.40,10.80,12.37,12.03,17.26,19.09,12.81
106,832,58.40,11.83,13.70,15.24,23.43,23.78,13.76
122,832,58.40,11.95,13.79,15.68,23.95,24.42,13.88
138,832,58.40,12.39,14.43,17.34,27.75,26.86,14.29
155,832,58.40,12.54,14.50,17.94,28.20,27.72,14.43
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1024,60.21,12.88,14.76,19.41,29.95,29.89,14.76
58,1024,60.21,12.42,14.09,17.46,25.66,27.02,14.32
106,1024,60.21,13.62,15.29,22.99,33.77,35.16,15.46
122,1024,60.21,13.73,15.48,23.58,35.36,36.03,15.57
138,1024,60.21,14.03,16.10,25.32,40.76,38.60,15.87
155,1024,60.21,14.17,16.24,26.13,42.12,39.80,16.00
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1216,61.70,14.36,16.23,27.27,42.00,41.50,16.18
58,1216,61.70,13.77,15.52,23.84,35.62,36.42,15.61
106,1216,61.70,14.94,16.78,31.18,47.69,47.32,16.75
122,1216,61.70,15.23,17.00,33.36,50.06,50.57,17.04
138,1216,61.70,15.52,17.55,35.65,56.86,54.00,17.32
155,1216,61.70,15.71,17.67,37.27,58.50,56.43,17.52
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1408,62.97,15.47,17.39,35.21,54.83,53.33,17.27
58,1408,62.97,15.09,16.76,32.29,47.47,48.97,16.90
106,1408,62.97,16.26,18.04,42.26,63.74,63.94,18.06
122,1408,62.97,16.34,18.10,43.03,64.61,65.12,18.14
138,1408,62.97,16.64,18.73,46.17,74.72,69.87,18.44
155,1408,62.97,16.95,18.97,49.56,78.90,75.04,18.75
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
42,1600,64.08,16.56,18.53,45.24,71.36,68.47,18.36
58,1600,64.08,16.17,17.85,41.41,60.91,62.66,17.97
106,1600,64.08,17.32,19.14,53.92,82.04,81.70,19.12
