ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
42,640,56.12,13.44,15,22.07,31.61,33.8,15.29,,,,,0.29
58,640,56.12,8.81,9.97,7.6,9.93,12.66,11.02,,,,,1.05
106,640,56.12,9.44,10.99,8.78,12.57,14.37,11.58,,,,,0.59
122,640,56.12,10.03,11.24,10.07,13.3,16.25,12.11,,,,,0.87
138,640,56.12,9.95,11.77,9.89,15.04,15.98,12.04,,,,,0.27
155,640,56.12,10.29,12.04,10.7,15.98,17.16,12.35,,,,,0.31
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,832,58.4,11.02,12.8,12.66,19.04,20.01,13.01,,,,,0.21
58,832,58.4,10.79,12.26,11.99,16.84,19.04,12.8,,,,,0.54
106,832,58.4,11.7,13.42,14.8,21.96,23.13,13.64,,,,,0.22
122,832,58.4,11.96,13.63,15.72,23.06,24.48,13.89,,,,,0.26
138,832,58.4,12.06,14.11,16.05,25.74,24.96,13.97,,,,,-0.14
155,832,58.4,12.4,14.31,17.38,27,26.91,14.3,,,,,-0.01
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,1024,60.21,12.9,14.64,19.49,29.07,30,14.77,,,,,0.13
58,1024,60.21,12.42,13.94,17.46,24.79,27.02,14.32,,,,,0.38
106,1024,60.21,13.44,15.02,22.07,31.76,33.8,15.29,,,,,0.27
122,1024,60.21,13.75,15.28,23.73,33.75,36.25,15.59,,,,,0.31
138,1024,60.21,13.83,15.74,24.17,37.52,36.91,15.67,,,,,-0.07
155,1024,60.21,14.14,16.06,25.94,40.33,39.53,15.97,,,,,-0.09
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,1216,61.7,14.34,16,27.16,39.85,41.34,16.16,,,,,0.16
58,1216,61.7,14.07,15.38,25.54,34.55,38.93,15.9,,,,,0.52
106,1216,61.7,14.8,16.41,30.22,43.77,45.89,16.62,,,,,0.21
122,1216,61.7,15.05,16.73,32,47.1,48.53,16.86,,,,,0.13
138,1216,61.7,15.33,17.22,34.1,52.78,51.68,17.13,,,,,-0.09
155,1216,61.7,15.63,17.46,36.54,55.67,55.33,17.43,,,,,-0.03
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,1408,62.97,15.57,17.29,36.06,53.64,54.61,17.37,,,,,0.08
58,1408,62.97,15.16,16.59,32.84,45.65,49.8,16.97,,,,,0.38
106,1408,62.97,16.06,17.74,40.37,59.37,61.1,17.86,,,,,0.12
122,1408,62.97,16.27,17.92,42.33,61.88,64.06,18.07,,,,,0.15
138,1408,62.97,16.55,18.43,45.13,69.73,68.3,18.34,,,,,-0.09
155,1408,62.97,16.71,18.61,46.91,72.63,70.99,18.51,,,,,-0.1
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,1600,64.08,16.61,18.35,45.83,68.46,69.37,18.41,,,,,0.06
58,1600,64.08,16.35,17.73,43.1,59.32,65.23,18.14,,,,,0.41
106,1600,64.08,17.25,18.85,53.03,76.78,80.34,19.05,,,,,0.2
122,1600,64.08,17.29,19.03,53.62,79.95,81.25,19.1,,,,,0.07
138,1600,64.08,17.6,19.57,57.53,90.57,87.26,19.41,,,,,-0.16
155,1600,64.08,17.86,19.74,61.15,94.1,92.84,19.68,,,,,-0.06
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,1792,65.07,17.57,19.3,57.13,85.13,86.63,19.38,,,,,0.08
58,1792,65.07,17.28,18.71,53.4,74.39,80.91,19.08,,,,,0.37
106,1792,65.07,18.05,19.7,63.88,93.27,97.07,19.87,,,,,0.17
122,1792,65.07,18.23,19.96,66.46,99.13,101.08,20.05,,,,,0.09
138,1792,65.07,18.58,20.52,72.18,112.64,110.01,20.41,,,,,-0.11
155,1792,65.07,18.8,20.73,75.84,118.34,115.75,20.64,,,,,-0.09
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,#VALUE!
42,1984,65.95,18.37,20.15,68.75,103.62,104.65,20.2,,,,,0.05
58,1984,65.95,18.13,19.57,65.03,90.5,98.84,19.95,,,,,0.38
106,1984,65.95,18.95,20.65,78.5,116.09,119.94,20.79,,,,,0.14
122,1984,65.95,19.06,20.81,80.49,120.48,123.09,20.9,,,,,0.09
138,1984,65.95,19.3,21.18,85.21,131.31,130.58,21.16,,,,,-0.02
155,1984,65.95,19.56,21.53,90.38,142.11,138.82,21.42,,,,,-0.11
,,,,,,,,,,,,,0
